n_qubits,n_layers,n_samples,grad_mean,grad_var,grad_std,grad_abs_mean,mean_sq_grad,n_parameters
2,1,200,-0.015346040263611272,0.028426425694866107,0.16860138105859662,0.06659873734788484,0.03863985976720488,6
2,2,200,0.01663611613188014,0.06706811662129264,0.2589751274182381,0.14880923920425312,0.08227098107753847,12
2,4,200,0.011497563459107076,0.08877837187982213,0.29795699669553344,0.21221088282363204,0.09787108197595047,24
2,6,200,0.01925657375540809,0.07990354412350914,0.2826721495363651,0.2013928428094169,0.09416316024740069,36
3,1,200,0.0028350010171892194,0.0719031145662513,0.26814756117901073,0.13544327928002484,0.04772893627349238,9
3,2,200,-0.022819024957555924,0.037373596645186864,0.19332251975697726,0.12703495746650195,0.040915458747016784,18
3,4,200,-0.003327300804560571,0.04779879003718875,0.21862934395270173,0.15711672804080454,0.05186352107936529,36
3,6,200,-0.011807965151003595,0.0471534385586789,0.2171484251812085,0.1630529176697887,0.053555521280366315,54
4,1,200,0.0056354602577959965,0.028863855800631357,0.16989366027204003,0.08775713849742588,0.022238234259920553,12
4,2,200,-0.0028917315778329115,0.013697674144991963,0.11703706312528507,0.053762585376371526,0.02122850118891488,24
4,4,200,0.0031432909242101077,0.02452901385416068,0.15661741235942023,0.11057956678751545,0.026588578440341185,48
4,6,200,-0.002891089856175362,0.02361746467668035,0.15367974712589927,0.11680929178449792,0.027258153459923867,72
5,1,200,0.021660783384097125,0.010973580536151852,0.10475485924839884,0.05168473360004044,0.010772555409962237,15
5,2,200,-0.005860157650630363,0.009252664083760553,0.09619076922325007,0.05539894247020345,0.008944082327122268,30
5,4,200,0.0033584157115295853,0.011316332479831381,0.1063782519118987,0.07416631255335043,0.012708233290661673,60
5,6,200,-0.0041315017569675825,0.011891728280104154,0.10904920118966555,0.0823019443376443,0.013606363478744062,90
6,1,200,0.007239260926377088,0.006612665333851378,0.08131829642738084,0.039507293638031606,0.005276439321955051,18
6,2,200,0.002100262639455248,0.008693193598863327,0.0932372972520296,0.04309865894854431,0.009425396728594104,36
6,4,200,-0.0022702426554890077,0.0058942916912382935,0.07677429056160853,0.05103023779335893,0.0058758242562269095,72
6,6,200,0.008729595415721589,0.006252193126463852,0.07907081083727327,0.06104066001086553,0.0072607053249006135,108
7,1,200,0.0024913723713541097,0.0028372875691807724,0.05326619536986636,0.025463747408026417,0.0024410775768045775,21
7,2,200,0.00034986291718078905,0.002060378169616175,0.045391388716541546,0.02621423942895381,0.0022304921587779965,42
7,4,200,-0.004616640727583544,0.002322799650671528,0.048195431844434464,0.03136837916014878,0.002565155602970502,84
7,6,200,-0.005552154056643232,0.0038311590862299652,0.061896357616825604,0.04307832606950109,0.003236688856883379,126
8,1,200,-0.0014012309587795048,0.0011932934623888137,0.034544079990481924,0.011976766907165688,0.0012024702927332974,24
8,2,200,0.00010531605770285335,0.001386764227167211,0.037239283386864615,0.01750205550725191,0.0022755545075122904,48
8,4,200,0.00022142915532868775,0.0013793318804702118,0.0371393575667406,0.021024685415315197,0.0011169422286333407,96
8,6,200,-0.0021271527919829065,0.0017509777774673183,0.0418446863707606,0.029185076292932103,0.0014798531421316868,144
