fold,model,family,reduction,optimizer,n_train,n_test,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,dataset,inner_f1,n_evaluations,convergence,stopped_early
0,LogReg,classical,PCA,default,1200,905,3.00002284348011e-07,{},0.6265193370165746,0.1859838274932614,0.6571428571428571,0.2899159663865546,0.6398214285714285,0.1820898719169927,0.6645595238095239,498,302,36,69,ok,0.0690272999927401,4,Bank Marketing,,,,
1,LogReg,classical,PCA,default,1200,904,3.00002284348011e-07,{},0.6117256637168141,0.1724137931034483,0.625,0.2702702702702703,0.6174999999999999,0.152073500448642,0.6846995192307692,488,312,39,65,ok,0.0766313000349327,4,Bank Marketing,,,,
2,LogReg,classical,PCA,default,1200,904,4.00003045797348e-07,{},0.6570796460176991,0.1897590361445783,0.6057692307692307,0.2889908256880734,0.6347596153846153,0.1783956931420337,0.6985937500000001,531,269,41,63,ok,0.0765485999872908,4,Bank Marketing,,,,
3,LogReg,classical,PCA,default,1200,904,3.00002284348011e-07,{},0.6382743362831859,0.1911357340720221,0.6634615384615384,0.2967741935483871,0.6492307692307693,0.1944448838593794,0.6926442307692308,508,292,35,69,ok,0.0491525999968871,4,Bank Marketing,,,,
4,LogReg,classical,PCA,default,1200,904,5.00003807246685e-07,{},0.5763274336283186,0.1748251748251748,0.7211538461538461,0.2814258911819887,0.6393269230769231,0.1780538029986051,0.7200000000000001,446,354,29,75,ok,0.0825651999912224,4,Bank Marketing,,,,
5,LogReg,classical,PCA,default,1200,905,3.00002284348011e-07,{},0.6320441988950276,0.1742857142857143,0.580952380952381,0.2681318681318681,0.6098511904761905,0.144475395748589,0.67725,511,289,44,61,ok,0.0478443999891169,4,Bank Marketing,,,,
6,LogReg,classical,PCA,default,1200,904,6.00004568696022e-07,{},0.6825221238938053,0.1960132890365448,0.5673076923076923,0.291358024691358,0.6324038461538461,0.1792876422086712,0.6780168269230769,558,242,45,59,ok,0.0716515000094659,4,Bank Marketing,,,,
7,LogReg,classical,PCA,default,1200,904,3.00002284348011e-07,{},0.5973451327433629,0.1766169154228855,0.6826923076923077,0.2806324110671936,0.6344711538461538,0.1726855130034823,0.6959615384615384,469,331,33,71,ok,0.0592374000116251,4,Bank Marketing,,,,
8,LogReg,classical,PCA,default,1200,904,2.00001522898674e-07,{},0.6736725663716814,0.2043343653250774,0.6346153846153846,0.3091334894613583,0.6566826923076923,0.2086523867651822,0.6821514423076923,543,257,38,66,ok,0.0481181999784894,4,Bank Marketing,,,,
9,LogReg,classical,PCA,default,1200,904,4.00003045797348e-07,{},0.6283185840707964,0.1795580110497237,0.625,0.278969957081545,0.6268750000000001,0.1652394670356601,0.6999519230769231,503,297,39,65,ok,0.0580556000350043,4,Bank Marketing,,,,
10,LogReg,classical,PCA,default,1200,905,3.00002284348011e-07,{},0.6386740331491713,0.2016129032258064,0.7142857142857143,0.3144654088050314,0.6715178571428572,0.2232769579407146,0.7296547619047619,503,297,30,75,ok,0.0559891000157222,4,Bank Marketing,,,,
11,LogReg,classical,PCA,default,1200,904,3.00002284348011e-07,{},0.6073008849557522,0.1790281329923273,0.6730769230769231,0.2828282828282828,0.6359134615384616,0.1750681212337718,0.7255769230769231,479,321,34,70,ok,0.0579316000221297,4,Bank Marketing,,,,
12,LogReg,classical,PCA,default,1200,904,4.00003045797348e-07,{},0.540929203539823,0.1521252796420581,0.6538461538461539,0.2468239564428312,0.5900480769230769,0.1149355132745525,0.6376322115384616,421,379,36,68,ok,0.060365899989847,4,Bank Marketing,,,,
