fold,model,family,reduction,optimizer,n_train,n_test,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,balance,dataset
0,VQC,quantum,LDA,default,1200,2000,3.00002284348011e-07,{},0.6435,0.31866825208085614,0.6568627450980392,0.4291433146517214,0.6484690609912307,0.24239734286346126,0.6558066065622228,1019,573,140,268,ok,6.099920300010126,1,undersample,Bank Customer Churn
1,VQC,quantum,LDA,default,1200,2000,3.00002284348011e-07,{},0.737,0.401006711409396,0.5857843137254902,0.4760956175298805,0.6807690412848557,0.3185290012520507,0.6972115479357572,1235,357,169,239,ok,5.91928850003751,1,undersample,Bank Customer Churn
2,VQC,quantum,LDA,default,1200,2000,3.00002284348011e-07,{},0.663,0.336996336996337,0.6781326781326781,0.45024469820554647,0.6686331940569228,0.27612851321250265,0.6719477566935194,1050,543,131,276,ok,6.2174160000286065,1,undersample,Bank Customer Churn
3,VQC,quantum,LDA,default,1200,2000,2.00001522898674e-07,{},0.56,0.2492046659597031,0.5773955773955773,0.34814814814814815,0.5664755664755665,0.10722691101394481,0.5781405442422392,885,708,172,235,ok,5.965095999999903,1,undersample,Bank Customer Churn
4,VQC,quantum,LDA,default,1200,2000,2.00001522898674e-07,{},0.725,0.3790186125211506,0.5503685503685504,0.44889779559118237,0.6599928125351855,0.28234904566842733,0.6618945601996449,1226,367,183,224,ok,6.202686199976597,1,undersample,Bank Customer Churn
5,VQC,quantum,LDA,default,1200,2000,4.00003045797348e-07,{},0.5485,0.2364217252396166,0.5441176470588235,0.32962138084632514,0.5468703813183564,0.07569019212363498,0.5426812370676914,875,717,186,222,ok,5.782235699996818,1,undersample,Bank Customer Churn
6,VQC,quantum,LDA,default,1200,2000,2.00001522898674e-07,{},0.69,0.35597826086956524,0.6421568627450981,0.458041958041958,0.6722090846388806,0.2877896844884554,0.7359422726376984,1118,474,146,262,ok,5.843437500006985,1,undersample,Bank Customer Churn
7,VQC,quantum,LDA,default,1200,2000,3.00002284348011e-07,{},0.6305,0.3028503562945368,0.6265356265356266,0.40832666132906326,0.6290242476683154,0.2104244003043851,0.6449500347805432,1006,587,152,255,ok,6.072673499991652,1,undersample,Bank Customer Churn
8,VQC,quantum,LDA,default,1200,2000,4.00003045797348e-07,{},0.7245,0.39156626506024095,0.6388206388206388,0.48552754435107376,0.6926055485377519,0.3293188676600963,0.6952175596243392,1189,404,147,260,ok,6.036149799998384,1,undersample,Bank Customer Churn
9,VQC,quantum,LDA,default,1200,2000,4.00003045797348e-07,{},0.6415,0.30179028132992325,0.5798525798525799,0.3969722455845248,0.6185515253311864,0.1956208824358267,0.6328963786590904,1047,546,171,236,ok,5.731488699966576,1,undersample,Bank Customer Churn
10,VQC,quantum,LDA,default,1200,2000,2.00001522898674e-07,{},0.711,0.3554421768707483,0.5122549019607843,0.41967871485943775,0.6370947876638092,0.24251943108062946,0.6859912306631195,1213,379,199,209,ok,6.059692899987567,1,undersample,Bank Customer Churn
11,VQC,quantum,LDA,default,1200,2000,3.00002284348011e-07,{},0.419,0.23709902370990238,0.8333333333333334,0.3691639522258415,0.573073701842546,0.13074043526168685,0.6623389619666963,498,1094,68,340,ok,5.879742700024508,1,undersample,Bank Customer Churn
12,VQC,quantum,LDA,default,1200,2000,3.00002284348011e-07,{},0.585,0.24970414201183433,0.5184275184275184,0.33706070287539935,0.5602181534384925,0.09816194964074848,0.5935488647353054,959,634,196,211,ok,6.045461000001524,1,undersample,Bank Customer Churn
13,VQC,quantum,LDA,default,1200,2000,2.00001522898674e-07,{},0.634,0.3305526590198123,0.7788697788697788,0.46412884333821375,0.6879282980977897,0.30289534610995683,0.7494150544998002,951,642,90,317,ok,6.1488370999577455,1,undersample,Bank Customer Churn
14,VQC,quantum,LDA,default,1200,2000,2.00001522898674e-07,{},0.6685,0.3265582655826558,0.5921375921375921,0.42096069868995634,0.6400738180399197,0.23374062250761501,0.6681812783507698,1096,497,166,241,ok,6.147916799993254,1,undersample,Bank Customer Churn
0,QSVC,quantum,LDA,default,1200,2000,5.00003807246685e-07,{},0.5695,0.2598091198303287,0.6004901960784313,0.3626943005181347,0.5810239925115774,0.1308133020355457,0.6144332261799192,894,698,163,245,ok,10.350038899981882,1,undersample,Bank Customer Churn
