fold,model,family,reduction,optimizer,n_train,n_test,inner_f1,n_evaluations,convergence,stopped_early,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,dataset
0,VQC,quantum,LDA,gwo,1200,2000,0.4681065777572269,96,"[0.4389656110479909, 0.4566700281669196, 0.4566700281669196, 0.4566700281669196, 0.4566700281669196, 0.4592441218135112, 0.4592441218135112, 0.4592441218135112, 0.4681065777572269, 0.4681065777572269, 0.4681065777572269, 0.4681065777572269]",False,962.4685226999572,"{'n_layers': 1, 'learning_rate': 0.49999999999999994, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'linear', 'init_scale': 0.35377616893867736}",0.636,0.3340248962655601,0.7892156862745098,0.4693877551020408,0.6929746773081091,0.3112529939622286,0.7670013671297665,950,642,86,322,ok,2.8484510999987838,1,Bank Customer Churn
1,VQC,quantum,LDA,gwo,1200,2000,0.4675270540959011,96,"[0.46144515455849744, 0.4658180203938931, 0.46642079794684926, 0.46642079794684926, 0.46642079794684926, 0.46693255611801404, 0.46693255611801404, 0.46693255611801404, 0.46752443483816597, 0.46752443483816597, 0.4675270540959011, 0.4675270540959011]",False,1250.9994767000317,"{'n_layers': 4, 'learning_rate': 0.01017534005490126, 'map_reps': 1, 'feature_map': 'zz', 'entanglement': 'full', 'init_scale': 0.4595355831680737}",0.683,0.3430555555555555,0.6053921568627451,0.4379432624113475,0.654140802049463,0.258808174998679,0.7149534436890335,1119,473,161,247,ok,4.303506499971263,1,Bank Customer Churn
2,VQC,quantum,LDA,gwo,1200,2000,0.4891706390158402,56,"[0.4824059329521116, 0.4829044141039824, 0.4891706390158402, 0.4891706390158402, 0.4891706390158402, 0.4891706390158402, 0.4891706390158402]",True,792.056709699973,"{'n_layers': 1, 'learning_rate': 0.04378622401685114, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'circular', 'init_scale': 0.2234688596852108}",0.657,0.3451720310765815,0.7641277641277642,0.4755351681957186,0.6968786968786969,0.3186196620353861,0.7662068848509527,1003,590,96,311,ok,4.041212000011001,1,Bank Customer Churn
3,VQC,quantum,LDA,gwo,1200,2000,0.4621776991023853,56,"[0.4539668180894509, 0.4561054902318233, 0.4621776991023853, 0.4621776991023853, 0.4621776991023853, 0.4621776991023853, 0.4621776991023853]",True,1064.6763180000123,"{'n_layers': 6, 'learning_rate': 0.018200542512485204, 'map_reps': 2, 'feature_map': 'angle', 'entanglement': 'linear', 'init_scale': 0.28650780532325876}",0.657,0.3271375464684015,0.6486486486486487,0.4349258649093904,0.6538911793149081,0.2525758520752678,0.7035571781334493,1050,543,143,264,ok,6.773500900017098,1,Bank Customer Churn
4,VQC,quantum,LDA,gwo,1200,2000,0.5093156528666513,88,"[0.4940136310427155, 0.503490808624417, 0.503490808624417, 0.5069569712747436, 0.5069569712747436, 0.5069569712747436, 0.5093156528666513, 0.5093156528666513, 0.5093156528666513, 0.5093156528666513, 0.5093156528666513]",True,1354.3449297000188,"{'n_layers': 3, 'learning_rate': 0.010297462958582141, 'map_reps': 2, 'feature_map': 'angle', 'entanglement': 'full', 'init_scale': 0.5}",0.7275,0.4014285714285714,0.6904176904176904,0.5076784101174345,0.7136959764078408,0.3607536527047343,0.777387557048574,1174,419,126,281,ok,3.4802591999759898,1,Bank Customer Churn
5,VQC,quantum,LDA,gwo,1200,2000,0.45982773211564,56,"[0.44600158051798905, 0.44817728919963895, 0.45982773211564004, 0.45982773211564004, 0.45982773211564004, 0.45982773211564004, 0.45982773211564004]",True,897.4985635000048,"{'n_layers': 3, 'learning_rate': 0.0016273704766344736, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'linear', 'init_scale': 0.36636134104402024}",0.7035,0.3748308525033829,0.678921568627451,0.4829991281604184,0.6943602818011627,0.3245333751760234,0.7582674401418859,1130,462,131,277,ok,5.408971400000155,1,Bank Customer Churn
6,VQC,quantum,LDA,gwo,1200,2000,0.5155421543882235,56,"[0.49564253157684696, 0.5132685742441839, 0.5155421543882235, 0.5155421543882235, 0.5155421543882235, 0.5155421543882235, 0.5155421543882235]",True,929.2689596000127,"{'n_layers': 4, 'learning_rate': 0.0026215295446616704, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'linear', 'init_scale': 0.3336550978230402}",0.71,0.3834688346883468,0.6936274509803921,0.493891797556719,0.7039117154399448,0.3405774808197819,0.7565708444181694,1137,455,125,283,ok,6.281647199997678,1,Bank Customer Churn
7,VQC,quantum,LDA,gwo,1200,2000,0.5275923408342295,88,"[0.5161341173132399, 0.516470971950424, 0.516470971950424, 0.5201898077661051, 0.5259582293031743, 0.5259582293031743, 0.5275923408342295, 0.5275923408342295, 0.5275923408342295, 0.5275923408342295, 0.5275923408342295]",True,1002.413833700004,"{'n_layers': 1, 'learning_rate': 0.009794265779893632, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'linear', 'init_scale': 0.27633733511185254}",0.692,0.3685534591194968,0.7199017199017199,0.4875207986688852,0.702386515945838,0.3329964277081701,0.7712566187142458,1091,502,114,293,ok,2.634912999987137,1,Bank Customer Churn
8,VQC,quantum,LDA,gwo,1200,2000,0.4860598447323299,96,"[0.46246750085742416, 0.465268583020624, 0.4785654008438818, 0.4785654008438818, 0.48382226469182993, 0.48382226469182993, 0.48382226469182993, 0.48382226469182993, 0.48605984473232994, 0.48605984473232994, 0.48605984473232994, 0.48605984473232994]",False,1387.576050899981,"{'n_layers': 5, 'learning_rate': 0.11698011738174444, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'full', 'init_scale': 0.47531999478975756}",0.671,0.3463892288861689,0.6953316953316954,0.4624183006535948,0.6800575614134936,0.2949463673497984,0.7449051516848126,1059,534,124,283,ok,4.543351000000257,1,Bank Customer Churn
9,VQC,quantum,LDA,gwo,1200,2000,0.4582040864393805,56,"[0.45449329654929005, 0.45449329654929005, 0.45820408643938054, 0.45820408643938054, 0.45820408643938054, 0.45820408643938054, 0.45820408643938054]",True,769.5121892000316,"{'n_layers': 3, 'learning_rate': 0.015649167777273924, 'map_reps': 1, 'feature_map': 'zz', 'entanglement': 'linear', 'init_scale': 0.433925212750028}",0.699,0.3773584905660377,0.7371007371007371,0.4991680532445923,0.7131831369119505,0.3507606359422638,0.7714926020010765,1098,495,107,300,ok,7.1526124000083655,1,Bank Customer Churn
