optimizer,step,progress,loss,final_loss_full,final_f1,n_steps,step_unit,n_parameters
ADAM,0,0.0,0.7063979123932287,,,,,
ADAM,1,0.034482758620689655,0.6742904842748495,,,,,
ADAM,2,0.06896551724137931,0.6671112800363808,,,,,
ADAM,3,0.10344827586206896,0.6579140885974282,,,,,
ADAM,4,0.13793103448275862,0.6558086981833597,,,,,
ADAM,5,0.1724137931034483,0.6550687051606686,,,,,
ADAM,6,0.20689655172413793,0.6468881879462602,,,,,
ADAM,7,0.2413793103448276,0.6522239709506725,,,,,
ADAM,8,0.27586206896551724,0.6459237386707678,,,,,
ADAM,9,0.3103448275862069,0.6566171180993028,,,,,
ADAM,10,0.3448275862068966,0.6546940782743833,,,,,
ADAM,11,0.3793103448275862,0.6404232947078173,,,,,
ADAM,12,0.41379310344827586,0.6448650398364969,,,,,
ADAM,13,0.4482758620689655,0.6515993835603092,,,,,
ADAM,14,0.4827586206896552,0.64090803035014,,,,,
ADAM,15,0.5172413793103449,0.6448562954172783,,,,,
ADAM,16,0.5517241379310345,0.6373904207387537,,,,,
ADAM,17,0.5862068965517241,0.6312210540822807,,,,,
ADAM,18,0.6206896551724138,0.6332283058633613,,,,,
ADAM,19,0.6551724137931034,0.6432202804599171,,,,,
ADAM,20,0.6896551724137931,0.6544449728529561,,,,,
ADAM,21,0.7241379310344828,0.6371704387193378,,,,,
ADAM,22,0.7586206896551724,0.6535831941775287,,,,,
ADAM,23,0.7931034482758621,0.6463103879199212,,,,,
ADAM,24,0.8275862068965517,0.6425189379220347,,,,,
ADAM,25,0.8620689655172413,0.6397023042527092,,,,,
ADAM,26,0.896551724137931,0.6398455966560523,,,,,
ADAM,27,0.9310344827586207,0.6323000162260026,,,,,
ADAM,28,0.9655172413793104,0.6295826161573955,,,,,
ADAM,29,1.0,0.6339880296348743,,,,,
ADAM,29,1.0,0.6339880296348743,0.6266796248075657,0.6636568848758465,30.0,epoch,38.0
SPSA,0,0.0,0.7551829328105668,,,,,
SPSA,1,0.034482758620689655,0.7460603055502804,,,,,
SPSA,2,0.06896551724137931,0.7393499294599881,,,,,
SPSA,3,0.10344827586206896,0.7409207122207058,,,,,
SPSA,4,0.13793103448275862,0.7396069413802958,,,,,
SPSA,5,0.1724137931034483,0.7332479170233538,,,,,
SPSA,6,0.20689655172413793,0.7323422937953044,,,,,
SPSA,7,0.2413793103448276,0.7364609819779021,,,,,
SPSA,8,0.27586206896551724,0.7347803450647847,,,,,
SPSA,9,0.3103448275862069,0.732364952208521,,,,,
SPSA,10,0.3448275862068966,0.7323893726611265,,,,,
SPSA,11,0.3793103448275862,0.7257511545999009,,,,,
SPSA,12,0.41379310344827586,0.7271530042766856,,,,,
SPSA,13,0.4482758620689655,0.727447297877422,,,,,
SPSA,14,0.4827586206896552,0.7282070295959288,,,,,
SPSA,15,0.5172413793103449,0.7188700574241309,,,,,
SPSA,16,0.5517241379310345,0.7197961528802103,,,,,
SPSA,17,0.5862068965517241,0.7206770099241804,,,,,
SPSA,18,0.6206896551724138,0.7232958444194078,,,,,
SPSA,19,0.6551724137931034,0.7228402117066725,,,,,
SPSA,20,0.6896551724137931,0.7178139645122142,,,,,
SPSA,21,0.7241379310344828,0.7235791996286639,,,,,
SPSA,22,0.7586206896551724,0.7209940936945812,,,,,
SPSA,23,0.7931034482758621,0.718641316567819,,,,,
SPSA,24,0.8275862068965517,0.7209259110571024,,,,,
SPSA,25,0.8620689655172413,0.7174766753639077,,,,,
SPSA,26,0.896551724137931,0.7167965185864408,,,,,
SPSA,27,0.9310344827586207,0.7176027661808495,,,,,
SPSA,28,0.9655172413793104,0.7151819148732647,,,,,
SPSA,29,1.0,0.7150857736032908,,,,,
SPSA,29,1.0,0.7150857736032908,0.7155691972888621,0.6375227686703097,30.0,epoch,38.0
COBYLA,0,0.0,0.7595884434596658,,,,,
COBYLA,1,0.001669449081803005,0.7595392852177772,,,,,
COBYLA,2,0.00333889816360601,0.7588976127466386,,,,,
COBYLA,3,0.005008347245409015,0.7591499350526999,,,,,
COBYLA,4,0.00667779632721202,0.7588434778355062,,,,,
COBYLA,5,0.008347245409015025,0.7583092048948916,,,,,
COBYLA,6,0.01001669449081803,0.7584655605006135,,,,,
COBYLA,7,0.011686143572621035,0.7590827826947976,,,,,
COBYLA,8,0.01335559265442404,0.7584736619989931,,,,,
COBYLA,9,0.015025041736227046,0.7590605778032444,,,,,
COBYLA,10,0.01669449081803005,0.7582817352111129,,,,,
COBYLA,11,0.018363939899833055,0.7401880206946063,,,,,
COBYLA,12,0.02003338898163606,0.7399385457527893,,,,,
COBYLA,13,0.021702838063439065,0.7400627661521918,,,,,
COBYLA,14,0.02337228714524207,0.7398845384267669,,,,,
COBYLA,15,0.025041736227045076,0.740014821863889,,,,,
COBYLA,16,0.02671118530884808,0.7400335081668854,,,,,
COBYLA,17,0.028380634390651086,0.7405135771106695,,,,,
COBYLA,18,0.03005008347245409,0.7400652026546158,,,,,
COBYLA,19,0.03171953255425709,0.7395258507627416,,,,,
COBYLA,20,0.0333889816360601,0.7164334268006669,,,,,
COBYLA,21,0.035058430717863104,0.71652874621475,,,,,
COBYLA,22,0.03672787979966611,0.7197206800247371,,,,,
COBYLA,23,0.038397328881469114,0.6972996456496168,,,,,
COBYLA,24,0.04006677796327212,0.6992936183248468,,,,,
COBYLA,25,0.041736227045075125,0.6974601845090753,,,,,
COBYLA,26,0.04340567612687813,0.7079556638620699,,,,,
COBYLA,27,0.045075125208681135,0.6972996456496168,,,,,
COBYLA,28,0.04674457429048414,0.699293618324847,,,,,
COBYLA,29,0.048414023372287146,0.6876174773775101,,,,,
COBYLA,30,0.05008347245409015,0.6876174773775101,,,,,
COBYLA,31,0.05175292153589316,0.6876174773775102,,,,,
COBYLA,32,0.05342237061769616,0.6876174773775102,,,,,
COBYLA,33,0.05509181969949917,0.6876174773775101,,,,,
COBYLA,34,0.05676126878130217,0.6876174773775102,,,,,
COBYLA,35,0.05843071786310518,0.6876174773775102,,,,,
COBYLA,36,0.06010016694490818,0.6876174773775102,,,,,
COBYLA,37,0.06176961602671119,0.6933740375841997,,,,,
COBYLA,38,0.06343906510851419,0.7278861374582539,,,,,
COBYLA,39,0.0651085141903172,0.7124512166795037,,,,,
COBYLA,40,0.0667779632721202,0.686947933504483,,,,,
COBYLA,41,0.06844741235392321,0.6872371526374272,,,,,
COBYLA,42,0.07011686143572621,0.6844451378312134,,,,,
COBYLA,43,0.07178631051752922,0.6836703443231947,,,,,
COBYLA,44,0.07345575959933222,0.6854277856516248,,,,,
COBYLA,45,0.07512520868113523,0.6836734003110598,,,,,
COBYLA,46,0.07679465776293823,0.6840843484258758,,,,,
COBYLA,47,0.07846410684474124,0.6831174187673593,,,,,
COBYLA,48,0.08013355592654424,0.6847562020411021,,,,,
COBYLA,49,0.08180300500834725,0.6849206986285467,,,,,
COBYLA,50,0.08347245409015025,0.6835183014885134,,,,,
COBYLA,51,0.08514190317195326,0.6850017473495693,,,,,
COBYLA,52,0.08681135225375626,0.6819532089596353,,,,,
COBYLA,53,0.08848080133555926,0.6830054639191416,,,,,
COBYLA,54,0.09015025041736227,0.6817780481997727,,,,,
COBYLA,55,0.09181969949916527,0.6817874608823752,,,,,
COBYLA,56,0.09348914858096828,0.6838507747018083,,,,,
COBYLA,57,0.09515859766277128,0.6834034046917526,,,,,
COBYLA,58,0.09682804674457429,0.6809993662584557,,,,,
COBYLA,59,0.09849749582637729,0.6811038077571291,,,,,
COBYLA,60,0.1001669449081803,0.6783312514423705,,,,,
COBYLA,61,0.1018363939899833,0.6844365050096376,,,,,
COBYLA,62,0.10350584307178631,0.6788312831993959,,,,,
COBYLA,63,0.10517529215358931,0.6847842028870172,,,,,
COBYLA,64,0.10684474123539232,0.6770198558853358,,,,,
COBYLA,65,0.10851419031719532,0.7003818438370764,,,,,
COBYLA,66,0.11018363939899833,0.6760751940969364,,,,,
COBYLA,67,0.11185308848080133,0.6975969136185336,,,,,
COBYLA,68,0.11352253756260434,0.6761788503323853,,,,,
COBYLA,69,0.11519198664440734,0.6828739465007037,,,,,
COBYLA,70,0.11686143572621036,0.6780507237095279,,,,,
COBYLA,71,0.11853088480801335,0.6858188598373798,,,,,
COBYLA,72,0.12020033388981637,0.6760751940969365,,,,,
COBYLA,73,0.12186978297161936,0.6786791475882407,,,,,
COBYLA,74,0.12353923205342238,0.6760751940969364,,,,,
COBYLA,75,0.12520868113522537,0.6773986613542498,,,,,
COBYLA,76,0.12687813021702837,0.6760751940969365,,,,,
COBYLA,77,0.1285475792988314,0.6783244071170031,,,,,
COBYLA,78,0.1302170283806344,0.6760751940969365,,,,,
COBYLA,79,0.1318864774624374,0.6775491237947594,,,,,
COBYLA,80,0.1335559265442404,0.6760751940969365,,,,,
COBYLA,81,0.1352253756260434,0.6790374017574345,,,,,
COBYLA,82,0.13689482470784642,0.6756395150728909,,,,,
COBYLA,83,0.13856427378964942,0.6787675405679141,,,,,
COBYLA,84,0.14023372287145242,0.6750221477896119,,,,,
COBYLA,85,0.1419031719532554,0.6775383904528721,,,,,
COBYLA,86,0.14357262103505844,0.6763088300527257,,,,,
COBYLA,87,0.14524207011686144,0.6767612364062097,,,,,
COBYLA,88,0.14691151919866444,0.6764001421004064,,,,,
COBYLA,89,0.14858096828046743,0.6748519686677141,,,,,
COBYLA,90,0.15025041736227046,0.6749989623187389,,,,,
COBYLA,91,0.15191986644407346,0.674917086112037,,,,,
COBYLA,92,0.15358931552587646,0.6747826484117097,,,,,
COBYLA,93,0.15525876460767946,0.6747168485946494,,,,,
COBYLA,94,0.15692821368948248,0.6755107304977165,,,,,
COBYLA,95,0.15859766277128548,0.6749609008945425,,,,,
COBYLA,96,0.16026711185308848,0.675344345701824,,,,,
COBYLA,97,0.16193656093489148,0.6743694123110585,,,,,
COBYLA,98,0.1636060100166945,0.6769177538239256,,,,,
COBYLA,99,0.1652754590984975,0.6741840863415541,,,,,
COBYLA,100,0.1669449081803005,0.676760296390338,,,,,
COBYLA,101,0.1686143572621035,0.6738630630114705,,,,,
COBYLA,102,0.17028380634390652,0.6800468204131914,,,,,
COBYLA,103,0.17195325542570952,0.6737230959322137,,,,,
COBYLA,104,0.17362270450751252,0.6742236524636956,,,,,
COBYLA,105,0.17529215358931552,0.6732041610274984,,,,,
COBYLA,106,0.17696160267111852,0.6740309156939436,,,,,
COBYLA,107,0.17863105175292154,0.6734802748678544,,,,,
COBYLA,108,0.18030050083472454,0.6731889602260555,,,,,
COBYLA,109,0.18196994991652754,0.6732333051298379,,,,,
COBYLA,110,0.18363939899833054,0.6741633420819179,,,,,
COBYLA,111,0.18530884808013356,0.673517960697398,,,,,
COBYLA,112,0.18697829716193656,0.6730622906207481,,,,,
COBYLA,113,0.18864774624373956,0.673210755262208,,,,,
COBYLA,114,0.19031719532554256,0.6743769746589788,,,,,
COBYLA,115,0.19198664440734559,0.6734165849237095,,,,,
COBYLA,116,0.19365609348914858,0.6743138845717183,,,,,
COBYLA,117,0.19532554257095158,0.6731884964296249,,,,,
COBYLA,118,0.19699499165275458,0.6743223623215369,,,,,
COBYLA,119,0.1986644407345576,0.6730821138394117,,,,,
COBYLA,120,0.2003338898163606,0.6737112883882688,,,,,
COBYLA,121,0.2020033388981636,0.6730389704181016,,,,,
COBYLA,122,0.2036727879799666,0.6736500081582645,,,,,
COBYLA,123,0.20534223706176963,0.6730385348115653,,,,,
COBYLA,124,0.20701168614357263,0.6737877607130223,,,,,
COBYLA,125,0.20868113522537562,0.6730132605847174,,,,,
COBYLA,126,0.21035058430717862,0.6734405753317515,,,,,
COBYLA,127,0.21202003338898165,0.6730132605847174,,,,,
COBYLA,128,0.21368948247078465,0.6736202493480428,,,,,
COBYLA,129,0.21535893155258765,0.6732699727181298,,,,,
COBYLA,130,0.21702838063439064,0.673507414970642,,,,,
COBYLA,131,0.21869782971619364,0.6731690527552661,,,,,
COBYLA,132,0.22036727879799667,0.6732648653626344,,,,,
COBYLA,133,0.22203672787979967,0.6730491756953021,,,,,
COBYLA,134,0.22370617696160267,0.6748108075099168,,,,,
COBYLA,135,0.22537562604340566,0.6741723958353845,,,,,
COBYLA,136,0.2270450751252087,0.6727959854997494,,,,,
COBYLA,137,0.2287145242070117,0.6724313705394451,,,,,
COBYLA,138,0.2303839732888147,0.6759314048835899,,,,,
COBYLA,139,0.23205342237061768,0.6725088612760931,,,,,
COBYLA,140,0.2337228714524207,0.6724669498439451,,,,,
COBYLA,141,0.2353923205342237,0.6688680605815887,,,,,
COBYLA,142,0.2370617696160267,0.6667378282496432,,,,,
COBYLA,143,0.2387312186978297,0.6674229990051573,,,,,
COBYLA,144,0.24040066777963273,0.670325157048996,,,,,
COBYLA,145,0.24207011686143573,0.6667095454736756,,,,,
COBYLA,146,0.24373956594323873,0.6663727086227849,,,,,
COBYLA,147,0.24540901502504173,0.6664130897362597,,,,,
COBYLA,148,0.24707846410684475,0.6665237319361103,,,,,
COBYLA,149,0.24874791318864775,0.6673862804128706,,,,,
COBYLA,150,0.25041736227045075,0.6686513852603639,,,,,
COBYLA,151,0.25208681135225375,0.6665456638611588,,,,,
COBYLA,152,0.25375626043405675,0.6667255226751411,,,,,
COBYLA,153,0.25542570951585974,0.6664456283577891,,,,,
COBYLA,154,0.2570951585976628,0.6668888438590476,,,,,
COBYLA,155,0.2587646076794658,0.6663882971568661,,,,,
COBYLA,156,0.2604340567612688,0.6681541729879231,,,,,
COBYLA,157,0.2621035058430718,0.6666784014987251,,,,,
COBYLA,158,0.2637729549248748,0.667433077121967,,,,,
COBYLA,159,0.2654424040066778,0.6669720597803351,,,,,
COBYLA,160,0.2671118530884808,0.6658266287250169,,,,,
COBYLA,161,0.2687813021702838,0.665946042584323,,,,,
COBYLA,162,0.2704507512520868,0.6666934847054793,,,,,
COBYLA,163,0.27212020033388984,0.6656587654412618,,,,,
COBYLA,164,0.27378964941569284,0.6656252072923587,,,,,
COBYLA,165,0.27545909849749584,0.6655361819570373,,,,,
COBYLA,166,0.27712854757929883,0.6647636636428444,,,,,
COBYLA,167,0.27879799666110183,0.6647766815340269,,,,,
COBYLA,168,0.28046744574290483,0.6662157850518671,,,,,
COBYLA,169,0.28213689482470783,0.664759501763707,,,,,
COBYLA,170,0.2838063439065108,0.6621166739792678,,,,,
COBYLA,171,0.2854757929883139,0.6624408212442309,,,,,
COBYLA,172,0.2871452420701169,0.6608966179522794,,,,,
COBYLA,173,0.2888146911519199,0.6609675443589299,,,,,
COBYLA,174,0.2904841402337229,0.6609087968098464,,,,,
COBYLA,175,0.2921535893155259,0.6605808010769499,,,,,
COBYLA,176,0.2938230383973289,0.6630416018520079,,,,,
COBYLA,177,0.29549248747913187,0.6603646902477047,,,,,
COBYLA,178,0.29716193656093487,0.6609944870746531,,,,,
COBYLA,179,0.2988313856427379,0.6603646902477047,,,,,
COBYLA,180,0.3005008347245409,0.6624575306181605,,,,,
COBYLA,181,0.3021702838063439,0.6603498952844408,,,,,
COBYLA,182,0.3038397328881469,0.6588449673389073,,,,,
COBYLA,183,0.3055091819699499,0.6592550020535384,,,,,
COBYLA,184,0.3071786310517529,0.6585925556525073,,,,,
COBYLA,185,0.3088480801335559,0.6576064103438045,,,,,
COBYLA,186,0.3105175292153589,0.6582536609597127,,,,,
COBYLA,187,0.3121869782971619,0.6579627824400154,,,,,
COBYLA,188,0.31385642737896496,0.6579676363906621,,,,,
COBYLA,189,0.31552587646076796,0.657825392014582,,,,,
COBYLA,190,0.31719532554257096,0.6573542143788087,,,,,
COBYLA,191,0.31886477462437396,0.6577188727388914,,,,,
COBYLA,192,0.32053422370617696,0.6568624880437518,,,,,
COBYLA,193,0.32220367278797996,0.6562966303547852,,,,,
COBYLA,194,0.32387312186978295,0.6570803172977682,,,,,
COBYLA,195,0.32554257095158595,0.6565143168412646,,,,,
COBYLA,196,0.327212020033389,0.6562069230645219,,,,,
COBYLA,197,0.328881469115192,0.6547604446333841,,,,,
COBYLA,198,0.330550918196995,0.6552026272868072,,,,,
COBYLA,199,0.332220367278798,0.6555081940680987,,,,,
COBYLA,200,0.333889816360601,0.6551707696867639,,,,,
COBYLA,201,0.335559265442404,0.6553187215805907,,,,,
COBYLA,202,0.337228714524207,0.6550947829487255,,,,,
COBYLA,203,0.33889816360601,0.6558426659203423,,,,,
COBYLA,204,0.34056761268781305,0.6547778496175272,,,,,
COBYLA,205,0.34223706176961605,0.6543126163646125,,,,,
COBYLA,206,0.34390651085141904,0.6542215891527507,,,,,
COBYLA,207,0.34557595993322204,0.6543250294519888,,,,,
COBYLA,208,0.34724540901502504,0.6542951372660201,,,,,
COBYLA,209,0.34891485809682804,0.6548437932170696,,,,,
COBYLA,210,0.35058430717863104,0.653743504384077,,,,,
COBYLA,211,0.35225375626043404,0.6511690225844621,,,,,
COBYLA,212,0.35392320534223703,0.650746667424456,,,,,
COBYLA,213,0.3555926544240401,0.6509357486866579,,,,,
COBYLA,214,0.3572621035058431,0.650706600608936,,,,,
COBYLA,215,0.3589315525876461,0.6498411643114003,,,,,
COBYLA,216,0.3606010016694491,0.648581741034792,,,,,
COBYLA,217,0.3622704507512521,0.6479507098842617,,,,,
COBYLA,218,0.3639398998330551,0.6499698301997923,,,,,
COBYLA,219,0.3656093489148581,0.6479507098842617,,,,,
COBYLA,220,0.3672787979966611,0.6486846776874845,,,,,
COBYLA,221,0.36894824707846413,0.6482019099284948,,,,,
COBYLA,222,0.37061769616026713,0.6494922009297422,,,,,
COBYLA,223,0.3722871452420701,0.6485133945322329,,,,,
COBYLA,224,0.3739565943238731,0.6504944651466061,,,,,
COBYLA,225,0.3756260434056761,0.6483581052938449,,,,,
COBYLA,226,0.3772954924874791,0.648372112508294,,,,,
COBYLA,227,0.3789649415692821,0.6478975877495919,,,,,
COBYLA,228,0.3806343906510851,0.6489666451648103,,,,,
COBYLA,229,0.3823038397328882,0.6481474334359382,,,,,
COBYLA,230,0.38397328881469117,0.648458063118413,,,,,
COBYLA,231,0.38564273789649417,0.647277546319728,,,,,
COBYLA,232,0.38731218697829717,0.651331320551217,,,,,
