_cfg,DecisionTree | LDA | default,DecisionTree | LDA | gwo,DecisionTree | PCA | default,DecisionTree | PCA | gwo,LogReg | LDA | default,LogReg | LDA | gwo,LogReg | PCA | default,LogReg | PCA | gwo,MLP | LDA | default,MLP | LDA | gwo,MLP | PCA | default,MLP | PCA | gwo,QDT | LDA | default,QDT | LDA | gwo,QDT | PCA | default,QDT | PCA | gwo,QNN | LDA | default,QNN | LDA | gwo,QNN | PCA | default,QNN | PCA | gwo,QSVC | LDA | default,QSVC | LDA | gwo,QSVC | PCA | default,QSVC | PCA | gwo,RandomForest | LDA | default,RandomForest | LDA | gwo,RandomForest | PCA | default,RandomForest | PCA | gwo,SVC | LDA | default,SVC | LDA | gwo,SVC | PCA | default,SVC | PCA | gwo,VQC | LDA | default,VQC | LDA | gwo,VQC | PCA | default,VQC | PCA | gwo,XGBoost | LDA | default,XGBoost | LDA | gwo,XGBoost | PCA | default,XGBoost | PCA | gwo
DecisionTree | LDA | default,1.0,0.01856629012615163,0.9999999999999786,1.0,0.0006627324573923454,0.0001941704828503088,0.9999999999904698,0.9999998609955637,0.0006135473974315797,0.00030253365664056897,0.9997581661610528,0.9999957291426692,0.9999943693426898,0.9999999523102548,0.9346092920366436,0.9042468176911185,0.0021078389774612516,0.0006627324573923454,1.0,1.0,0.9999903675657753,0.0008337618754797882,0.9998391579477978,1.0,1.0,0.012768623119439382,0.9997328797836211,0.9999999999982343,0.0007725661226763991,0.0008995380773545447,0.9999999999999786,0.9999999984134736,0.9999999999999994,0.0004859789917213142,0.9446000296378476,1.0,0.8193683282516091,0.0034691686115595477,1.0,0.9999999523102548
DecisionTree | LDA | gwo,0.01856629012615163,1.0,0.0005253966567324575,0.04461208166649189,0.9999999999999974,0.9999999999642201,0.3538384202627245,0.6411090855943604,0.9999999999999947,0.9999999999982343,0.9234091295600462,0.776842901312967,1.3064758065617355e-05,4.8823708505896235e-05,4.662223695994783e-08,2.7587482076540937e-08,1.0,0.9999999999999974,0.1595704712918432,0.14269143319397926,0.8091608726097514,0.9999999999999998,3.621281062127224e-06,0.017459154597189386,0.004424506669587602,1.0,0.9263252129114338,0.31935977182559305,0.9999999999999994,0.9999999999999999,0.24665570133336134,0.48666538408768767,0.2018654900171054,0.9999999999999578,5.741232578237998e-08,0.12428327938661365,0.999987498668795,1.0,0.006651115945738195,0.6011017810285636
DecisionTree | PCA | default,0.9999999999999786,0.0005253966567324575,1.0,0.9999999998746243,9.101619728779653e-06,2.157837469152213e-06,0.9997052402314939,0.9904887365770983,8.309848095744421e-06,3.621281062127224e-06,0.8741590414742169,0.9679236984751041,0.9999999999999999,1.0,0.9999662442001213,0.9998947747530164,3.6086587315242724e-05,9.101619728779653e-06,0.999997910894345,0.99999901398864,0.9574440638790309,1.1940542185451264e-05,0.9999999999982343,0.9999999999999892,1.0,0.0003276358663044654,0.8700309871907781,0.9998391579477978,1.0910241404538112e-05,1.3064758065617355e-05,0.9999662442001213,0.9981170433945029,0.9999903675657753,6.3146233745259295e-06,0.9999792570805729,0.9999996189662607,0.21033733588324433,6.584056272151972e-05,1.0,0.993530491595096
DecisionTree | PCA | gwo,1.0,0.04461208166649189,0.9999999998746243,1.0,0.0020329409154027367,0.000637689231252736,0.9999999999999994,0.9999999996736654,0.001890593289062048,0.0009702144449162953,0.9999926161190934,0.9999999670905271,0.9998023768599238,0.9999943693426898,0.8193683282516091,0.7655381349205144,0.006013468273000866,0.0020329409154027367,1.0,1.0,0.9999999020035647,0.0025228498956374468,0.997620637870385,1.0,1.0,0.03174773476367143,0.9999915609817309,1.0,0.0023483995713842187,0.0027094048355295053,1.0,0.9999999999992721,1.0,0.0015177942746800177,0.8388851926252757,1.0,0.9346092920366436,0.009561903293718088,1.0,0.9999999999234677
LogReg | LDA | default,0.0006627324573923454,0.9999999999999974,9.101619728779653e-06,0.0020329409154027367,1.0,1.0,0.039893267251920106,0.12428327938661365,1.0,1.0,0.37781208827569546,0.20186549001710585,1.3074090987608145e-07,5.863524654703411e-07,2.357223305438083e-10,1.3162182455062066e-10,1.0,1.0,0.011604366872581262,0.00987761354783423,0.22801075110018298,1.0,3.065487885756113e-08,0.0006135473974315797,0.00011372425271671815,1.0,0.3839198912003917,0.033633083725350676,1.0,1.0,0.022277467226992642,0.07043687597060255,0.016412021045465353,1.0,2.970965695681116e-10,0.00811787999624769,0.9646775675046186,1.0,0.000186419897853618,0.10779296326325916
LogReg | LDA | gwo,0.0001941704828503088,0.9999999999642201,2.157837469152213e-06,0.000637689231252736,1.0,1.0,0.015910069685465156,0.05702936791180713,1.0,1.0,0.21466443678863611,0.10023121835657156,2.616849092973439e-08,1.2424324868920422e-07,3.796341019324245e-11,2.0806023570685284e-11,1.0,1.0,0.0041291294260833444,0.0034691686115595477,0.11580535696232375,1.0,5.8203404318390994e-09,0.00017896621901913878,3.0317377710420423e-05,0.9999999999986816,0.2190523754756244,0.013179768542677106,1.0,1.0,0.008389532086560014,0.029956371117437763,0.006013468273000866,1.0,4.820632781843415e-11,0.002807460198090639,0.8782057331692302,1.0,5.096475369625875e-05,0.048462308496633466
LogReg | PCA | default,0.9999999999904698,0.3538384202627245,0.9997052402314939,0.9999999999999994,0.039893267251920106,0.015910069685465156,1.0,1.0,0.037701729283244334,0.022277467226992642,0.9999999999999892,1.0,0.9173410338276586,0.9786736216891576,0.25634011658771794,0.21033733588324444,0.0908231035841951,0.039893267251920106,1.0,1.0,1.0,0.04714814746852325,0.7986646268244464,0.9999999999836826,0.9999998609955637,0.28681693539459796,0.9999999999999848,1.0,0.04461208166649189,0.049807982559630704,1.0,1.0,1.0,0.03174773476367143,0.27642344677605446,1.0,0.9998947747530164,0.12721517407166283,0.9999999846775287,1.0
LogReg | PCA | gwo,0.9999998609955637,0.6411090855943604,0.9904887365770983,0.9999999996736654,0.12428327938661365,0.05702936791180713,1.0,1.0,0.11857889045354808,0.07610603864074206,1.0,1.0,0.7055584729663396,0.8658218175198076,0.0978081221096414,0.07610603864074172,0.2419037157352416,0.12428327938661365,1.0,0.9999999999999998,1.0,0.14269143319397892,0.5201317926985691,0.9999998041672888,0.9999323266186678,0.5606302321767992,1.0,1.0,0.13633566628777083,0.1492717489903157,1.0,1.0,1.0,0.10270267202515715,0.10779296326325916,0.9999999999999974,0.9999997259415971,0.3137973916747433,0.9999838568883811,1.0
MLP | LDA | default,0.0006135473974315797,0.9999999999999947,8.309848095744421e-06,0.001890593289062048,1.0,1.0,0.037701729283244334,0.11857889045354808,1.0,1.0,0.3657315969607535,0.1936362470634836,1.180612814177806e-07,5.314461303251861e-07,2.0989188165287942e-10,1.1705736380207554e-10,1.0,1.0,0.010882981835806937,0.009255480575298347,0.21905237547562428,1.0,2.7587482076540937e-08,0.0005678465499986407,0.00010463125023452147,1.0,0.3717489552862989,0.03174773476367132,1.0,1.0,0.02097236579385331,0.06685789147179544,0.015422069234702462,1.0,2.6466817626413786e-10,0.007598728878249861,0.9611876072065321,1.0,0.00017179861020755194,0.10270267202515682
MLP | LDA | gwo,0.00030253365664056897,0.9999999999982343,3.621281062127224e-06,0.0009702144449162953,1.0,1.0,0.022277467226992642,0.07610603864074206,1.0,1.0,0.2662635073397638,0.13020087738579778,4.662223695994783e-08,2.1693710350323414e-07,7.305334115415008e-11,4.030309419533751e-11,1.0,1.0,0.006013468273001088,0.005075170216375047,0.14927174899031603,1.0,1.0565208041768415e-08,0.00027927541509198406,4.8823708505896235e-05,0.9999999999999578,0.27131408231584275,0.01856629012615174,1.0,1.0,0.011981213083391618,0.04103018959720983,0.00866953029034978,1.0,9.251821531108817e-11,0.0041291294260833444,0.9173410338276591,1.0,8.135333978731563e-05,0.06512669835830165
MLP | PCA | default,0.9997581661610528,0.9234091295600462,0.8741590414742169,0.9999926161190934,0.37781208827569546,0.21466443678863611,0.9999999999999892,1.0,0.3657315969607535,0.2662635073397638,1.0,1.0,0.3421405831091737,0.5336078982189076,0.02097236579385331,0.015422069234702462,0.5808964139546531,0.37781208827569546,0.9999999989784739,0.9999999969799251,1.0,0.41508747220905684,0.2018654900171054,0.9997052402314939,0.9916123558025707,0.8821708781632166,1.0,0.9999999999999185,0.4024996671984268,0.42782404405792274,0.9999999999944995,1.0,0.9999999999234677,0.3306454590111588,0.023654894744146726,0.9999999896655217,0.9999999999990188,0.6737744549974078,0.9962806880964338,1.0
MLP | PCA | gwo,0.9999957291426692,0.776842901312967,0.9679236984751041,0.9999999670905271,0.20186549001710585,0.10023121835657156,1.0,1.0,0.1936362470634836,0.13020087738579778,1.0,1.0,0.5606302321767987,0.7539859183496675,0.05551740008860029,0.04219526737603663,0.35976107745725094,0.20186549001710585,0.9999999999998874,0.999999999999462,1.0,0.22801075110018265,0.37781208827569457,0.9999943693426898,0.9993739853378032,0.7055584729663402,1.0,1.0,0.2190523754756244,0.23721213382144923,1.0,1.0,0.9999999999999974,0.17039198905604513,0.06177785877693953,0.999999999996864,0.9999999954110016,0.4471831641810595,0.9998023768599238,1.0
QDT | LDA | default,0.9999943693426898,1.3064758065617355e-05,0.9999999999999999,0.9998023768599238,1.3074090987608145e-07,2.616849092973439e-08,0.9173410338276586,0.7055584729663396,1.180612814177806e-07,4.662223695994783e-08,0.3421405831091737,0.5606302321767987,1.0,1.0,0.9999999999982343,0.9999999999723816,6.158403442757532e-07,1.3074090987608145e-07,0.9885722880440782,0.9916123558025707,0.5201317926985691,1.7729020163059772e-07,1.0,0.9999957291426692,0.9999999969799251,7.585005336374628e-06,0.3363672465000672,0.9346092920366437,1.6021390059073326e-07,1.9613840529508764e-07,0.9646775675046186,0.8341204487718805,0.9786736216891576,8.680757312973242e-08,0.999999999999462,0.9943420419787232,0.02227746722699253,1.2160896178947667e-06,0.9999999670905271,0.742198550955508
