_cfg,DecisionTree | LDA | default,DecisionTree | LDA | gwo,DecisionTree | PCA | default,DecisionTree | PCA | gwo,LogReg | LDA | default,LogReg | LDA | gwo,LogReg | PCA | default,LogReg | PCA | gwo,MLP | LDA | default,MLP | LDA | gwo,MLP | PCA | default,MLP | PCA | gwo,QDT | LDA | default,QDT | LDA | gwo,QDT | PCA | default,QDT | PCA | gwo,QNN | LDA | default,QNN | LDA | gwo,QNN | PCA | default,QNN | PCA | gwo,QSVC | LDA | default,QSVC | LDA | gwo,QSVC | PCA | default,QSVC | PCA | gwo,RandomForest | LDA | default,RandomForest | LDA | gwo,RandomForest | PCA | default,RandomForest | PCA | gwo,SVC | LDA | default,SVC | LDA | gwo,SVC | PCA | default,SVC | PCA | gwo,VQC | LDA | default,VQC | LDA | gwo,VQC | PCA | default,VQC | PCA | gwo,XGBoost | LDA | default,XGBoost | LDA | gwo,XGBoost | PCA | default,XGBoost | PCA | gwo
DecisionTree | LDA | default,1.0,0.9737248461970719,0.9999999999958402,0.9999999999927489,0.8860543551601363,0.09082310358419521,0.2921001625680032,0.18961230011095487,0.6477007037177462,0.8143012306039006,0.7117880908071181,0.4866653840876871,0.9921313873593086,0.9965408846737664,0.7712221898613587,0.9141879188022486,0.8782057331692292,0.9204145957120496,0.17411687608441706,0.9554742443512282,0.9999999999996037,0.4734064677078661,0.9996062501732411,0.999882814101709,1.0,0.5201317926985698,0.9977973974357214,0.2612720784857885,0.40877429738360305,0.10522306254629443,0.21466443678863578,0.04586492759096894,1.0,0.8481811441807405,0.972357735858385,0.6278522690764947,0.9999999999986816,0.7362207180914567,1.0,0.8615318429258151
DecisionTree | LDA | gwo,0.9737248461970719,1.0,0.3839198912003917,0.9999998831863158,1.0,0.9999950928458932,0.9999999997421158,0.9999999727378659,1.0,1.0,1.0,0.9999999999999699,0.010202859856323743,0.014947683094138742,0.0005902763762843932,0.0019605516721488137,1.0,1.0,0.9999999427486086,1.0,0.4342446395174383,0.9999999999999413,0.03267841511677316,1.0,0.9991076647726631,0.9999999999999947,1.0,0.9999999989784739,0.9999999999986816,0.999997910894345,0.999999991538006,0.999882814101709,0.660800165062535,1.0,0.004904647045011257,1.0,0.9999996765894145,1.0,0.9871268608042217,1.0
DecisionTree | PCA | default,0.9999999999958402,0.3839198912003917,1.0,0.9987458432517257,0.2018654900171054,0.0023483995713842187,0.014486580949416794,0.0071103556110675425,0.07228589195436896,0.14269143319397926,0.09310465696278025,0.037701729283244334,0.9999999969799251,0.9999999997967114,0.9996421332663765,0.9999903675657753,0.1936362470634836,0.24665570133336134,0.00621944028523469,0.31935977182559305,1.0,0.035616391101839784,0.9999999999998449,0.8292788391060781,0.9999997681416984,0.043389047361939825,0.6411090855943604,0.011981213083391618,0.026640216691435015,0.002908833428755586,0.00866953029034978,0.0008995380773545447,1.0,0.16672616280032637,0.9999998041672888,0.06685789147179544,0.9992512540322374,0.10270267202515682,0.9999999998746243,0.1779011035701772
DecisionTree | PCA | gwo,0.9999999999927489,0.9999998831863158,0.9987458432517257,1.0,0.9999792570805729,0.7179709301665764,0.9491590257875822,0.8821708781632164,0.9982611469277174,0.9998696319875133,0.9992512540322374,0.9904887365770983,0.5066994618254642,0.5876410058274886,0.11308355487615929,0.22801075110018298,0.9999734756967217,0.9999943693426898,0.8658218175198076,0.99999927735281,0.9993739853378032,0.9892434631864222,0.7539859183496675,0.9999999999999988,1.0,0.9930893901829384,0.9999999999723816,0.9346092920366437,0.9808546457199595,0.7539859183496675,0.9042468176911187,0.547112561831895,0.9999838568883811,0.999939563268828,0.3657315969607535,0.9977973974357214,1.0,0.9994785041090203,0.9999999999998449,0.9999572416415569
LogReg | LDA | default,0.8860543551601363,1.0,0.2018654900171054,0.9999792570805729,1.0,0.9999999846775287,0.9999999999999892,0.9999999999904698,1.0,1.0,1.0,1.0,0.003121947857689933,0.004739462854150722,0.00014578495353334553,0.0005253966567324575,1.0,1.0,0.9999999999723816,1.0,0.237212133821449,1.0,0.011238381881952475,0.9999999999999185,0.9885722880440782,1.0,1.0,0.9999999999999185,1.0,0.9999999954110016,0.9999999999982343,0.9999986627082825,0.4278240440579225,1.0,0.0014097797513484833,1.0,0.9999572416415569,1.0,0.9291634743415568,1.0
LogReg | LDA | gwo,0.09082310358419521,0.9999950928458932,0.0023483995713842187,0.7179709301665764,0.9999999846775287,1.0,1.0,1.0,0.999999999999709,0.9999999994812259,0.9999999999944995,1.0,5.759391021875615e-06,9.96626678162471e-06,1.180612814177806e-07,5.863524654703411e-07,0.9999999896655217,0.9999999020035647,1.0,0.99999901398864,0.003121947857689933,1.0,3.167001454196239e-05,0.9943420419787231,0.2713140823158422,0.9999999999999997,0.9995671813860185,1.0,1.0,1.0,1.0,1.0,0.00987761354783423,0.9999999975578342,2.0578520757430496e-06,0.9999999999998874,0.680209660057004,0.9999999999836826,0.12428327938661365,0.9999999954110016
LogReg | PCA | default,0.2921001625680032,0.9999999997421158,0.014486580949416794,0.9491590257875822,0.9999999999999892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.30999803551413e-05,0.00010463125023452147,1.7010732180633426e-06,7.585005336374628e-06,0.9999999999999947,0.999999999999709,1.0,0.9999999999836826,0.01856629012615163,1.0,0.00030253365664056897,0.9999572416415569,0.607813868539228,1.0,0.9999994736127387,1.0,1.0,1.0,1.0,1.0,0.049807982559630704,0.9999999999999997,2.4348881993985216e-05,1.0,0.9346092920366437,1.0,0.3657315969607541,0.9999999999999988
LogReg | PCA | gwo,0.18961230011095487,0.9999999727378659,0.0071103556110675425,0.8821708781632164,0.9999999999904698,1.0,1.0,1.0,1.0,0.9999999999999185,0.9999999999999999,1.0,2.4348881993985216e-05,4.1094547711395535e-05,5.863524654703411e-07,2.7329488487826126e-06,0.9999999999944995,0.9999999998746243,1.0,0.9999999969799251,0.009255480575298347,1.0,0.00012357361373083187,0.9995671813860185,0.4602413272923641,1.0,0.999987498668795,1.0,1.0,1.0,1.0,1.0,0.026640216691435015,0.9999999999992721,9.101619728779653e-06,1.0,0.8571614372155931,0.9999999999999994,0.24665570133336134,0.9999999999982343
MLP | LDA | default,0.6477007037177462,1.0,0.07228589195436896,0.9982611469277174,1.0,0.999999999999709,1.0,1.0,1.0,1.0,1.0,1.0,0.0006135473974315797,0.0009702144449162953,2.2294314153237238e-05,8.849571737412631e-05,1.0,1.0,1.0,1.0,0.088587539691797,1.0,0.0025228498956374468,0.9999999930852043,0.9076411989709317,1.0,0.999999999996864,1.0,1.0,0.9999999999999578,1.0,0.9999999996736654,0.1936362470634836,1.0,0.000257732300824709,1.0,0.9972300168337604,1.0,0.7301890171618112,1.0
MLP | LDA | gwo,0.8143012306039006,1.0,0.14269143319397926,0.9998696319875133,1.0,0.9999999994812259,1.0,0.9999999999999185,1.0,1.0,1.0,1.0,0.0017576681455382381,0.0027094048355295053,7.476713338205876e-05,0.00027927541509198406,1.0,1.0,0.999999999999709,1.0,0.1703919890560449,1.0,0.006651115945738084,0.9999999999904698,0.972357735858385,1.0,0.9999999999999998,0.9999999999999998,1.0,0.9999999998746243,0.9999999999999892,0.9999999020035647,0.33064545901115816,1.0,0.0007725661226763991,1.0,0.9997581661610528,1.0,0.8741590414742173,1.0
MLP | PCA | default,0.7117880908071181,1.0,0.09310465696278025,0.9992512540322374,1.0,0.9999999999944995,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.0008995380773545447,0.0014097797513484833,3.4552174395630075e-05,0.00013423910863552546,1.0,1.0,0.9999999999999994,1.0,0.11308355487615929,1.0,0.0035927105455609842,0.9999999991831008,0.9372183470817582,1.0,0.9999999999998449,1.0,1.0,0.9999999999990188,1.0,0.9999999969799251,0.237212133821449,1.0,0.0003839331412486269,1.0,0.9987458432517257,1.0,0.7878886563946572,1.0
