config_A,config_B,n_pairs,f1_A,f1_B,mean_diff,median_diff,W,p_raw,cliffs_delta,effect_size,p_holm,significant,winner
LogReg | LDA | gwo,DecisionTree | LDA | default,15,0.4878772843967598,0.38343704716603083,0.10444023723072898,0.10502397696375926,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,DecisionTree | PCA | default,15,0.4878772843967598,0.3712870731951474,0.11659021120161239,0.11760717410323712,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,DecisionTree | PCA | gwo,15,0.4878772843967598,0.3888611880109047,0.09901609638585512,0.09911173068813339,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,LogReg | PCA | default,15,0.4878772843967598,0.4041127252631418,0.08376455913361802,0.09274556876236306,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,LogReg | PCA | gwo,15,0.4878772843967598,0.40925012205405664,0.07862716234270317,0.07556577759935351,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,QDT | LDA | default,15,0.4878772843967598,0.30893359349719757,0.17894369089956225,0.14684450686020528,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,MLP | PCA | gwo,15,0.4878772843967598,0.4121180817020064,0.07575920269475339,0.06884792604871426,0.0,6.103515625e-05,0.9911111111111112,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,MLP | PCA | default,15,0.4878772843967598,0.41914444080404745,0.06873284359271237,0.07026203651929114,0.0,6.103515625e-05,0.9911111111111112,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,QDT | PCA | gwo,15,0.4878772843967598,0.29585904875614916,0.19201823564061066,0.1891295673488001,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,QDT | PCA | default,15,0.4878772843967598,0.30519964824508367,0.18267763615167615,0.1809774203526136,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,QDT | LDA | gwo,15,0.4878772843967598,0.34264059659033863,0.14523668780642118,0.14122473094456411,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,RandomForest | LDA | default,15,0.4878772843967598,0.3808403134416374,0.10703697095512243,0.1042308276761631,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,QSVC | PCA | default,15,0.4878772843967598,0.35058577703345634,0.13729150736330348,0.13431889295833954,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,QSVC | LDA | default,15,0.4878772843967598,0.4156462795815004,0.0722310048152594,0.07098941555453286,0.0,6.103515625e-05,0.9822222222222222,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,QNN | PCA | gwo,15,0.4878772843967598,0.3968941468610415,0.0909831375357183,0.08761528890471049,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,QNN | PCA | default,15,0.4878772843967598,0.40082906666491996,0.08704821773183985,0.09163801403620914,0.0,6.103515625e-05,0.9733333333333334,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,VQC | LDA | default,15,0.4878772843967598,0.39656608740941285,0.09131119698734697,0.09081642452428978,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,SVC | PCA | default,15,0.4878772843967598,0.40357979379181674,0.08429749060494307,0.08379969955548988,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,SVC | PCA | gwo,15,0.4878772843967598,0.40602853438433567,0.08184875001242414,0.08256176541136961,0.0,6.103515625e-05,0.9733333333333334,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,RandomForest | PCA | default,15,0.4878772843967598,0.41824996860587366,0.06962731579088616,0.07216988685526643,0.0,6.103515625e-05,0.9822222222222222,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,RandomForest | PCA | gwo,15,0.4878772843967598,0.4041377361315536,0.08373954826520619,0.08663495351890588,0.0,6.103515625e-05,0.9733333333333334,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,QSVC | PCA | gwo,15,0.4878772843967598,0.3839299716493031,0.10394731274745672,0.09657813378302421,0.0,6.103515625e-05,0.9911111111111112,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,VQC | PCA | gwo,15,0.4878772843967598,0.3980897263306101,0.08978755806614969,0.09435608157646669,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,VQC | PCA | default,15,0.4878772843967598,0.3110488304743671,0.17682845392239271,0.18642303655470682,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,XGBoost | PCA | default,15,0.4878772843967598,0.381132128475442,0.10674515592131784,0.10648596198202492,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,XGBoost | LDA | default,15,0.4878772843967598,0.4323671789264151,0.05551010547034474,0.05808880715806919,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,XGBoost | PCA | gwo,15,0.4878772843967598,0.4104395547861268,0.077437729610633,0.08243113351981673,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,LogReg | LDA | gwo
LogReg | LDA | gwo,DecisionTree | LDA | gwo,15,0.4878772843967598,0.4683739829902938,0.019503301406466,0.01147870537893797,20.0,0.02154541015625,0.44,medium,0.258544921875,False,n.s.
LogReg | LDA | gwo,RandomForest | LDA | gwo,15,0.4878772843967598,0.4726863214735342,0.015190962923225637,0.020031179551597666,24.0,0.041259765625,0.49333333333333335,large,0.453857421875,False,n.s.
LogReg | LDA | gwo,QNN | LDA | default,15,0.4878772843967598,0.47770215800319743,0.010175126393562384,0.009954112878747312,36.0,0.1817949213700082,0.3022222222222222,small,1.0,False,n.s.
LogReg | LDA | gwo,LogReg | LDA | default,15,0.4878772843967598,0.4837192671141172,0.00415801728264259,0.003001353395430284,46.0,0.45428466796875,0.17333333333333334,small,1.0,False,n.s.
LogReg | LDA | gwo,MLP | LDA | gwo,15,0.4878772843967598,0.4844764388729215,0.0034008455238382918,0.005558201637137827,50.0,0.5994873046875,0.022222222222222223,negligible,1.0,False,n.s.
LogReg | LDA | gwo,SVC | LDA | gwo,15,0.4878772843967598,0.48072804740082553,0.007149236995934283,0.007198951938439335,41.0,0.30279541015625,0.2088888888888889,small,1.0,False,n.s.
LogReg | LDA | gwo,SVC | LDA | default,15,0.4878772843967598,0.4837978809767675,0.0040794034199923,0.00466430741912488,47.0,0.48870849609375,0.16444444444444445,small,1.0,False,n.s.
LogReg | LDA | gwo,QNN | LDA | gwo,15,0.4878772843967598,0.48354975212099394,0.004327532275765877,0.0033698607563648064,45.0,0.42120361328125,0.16444444444444445,small,1.0,False,n.s.
LogReg | LDA | gwo,QSVC | LDA | gwo,15,0.4878772843967598,0.4819593341935803,0.005917950203179534,0.0038358857008742864,43.0,0.359130859375,0.22666666666666666,small,1.0,False,n.s.
LogReg | LDA | gwo,MLP | LDA | default,15,0.4878772843967598,0.4837015784875896,0.004175705909170213,0.004162086413640964,48.0,0.52447509765625,0.17333333333333334,small,1.0,False,n.s.
LogReg | LDA | gwo,VQC | LDA | gwo,15,0.4878772843967598,0.47971380017922904,0.00816348421753077,0.00358464384828866,37.0,0.207763671875,0.23555555555555555,small,1.0,False,n.s.
LogReg | LDA | gwo,XGBoost | LDA | gwo,15,0.4878772843967598,0.478094357332105,0.009782927064654834,0.006426945313671606,41.0,0.30279541015625,0.24444444444444444,small,1.0,False,n.s.
