config_A,config_B,n_pairs,f1_A,f1_B,mean_diff,median_diff,W,p_raw,cliffs_delta,effect_size,p_holm,significant,winner
SVC | PCA | gwo,DecisionTree | PCA | default,15,0.2930021075901917,0.23242209756125198,0.0605800100289397,0.05986923189404861,0.0,6.103515625e-05,0.9822222222222222,large,0.00238037109375,True,SVC | PCA | gwo
SVC | PCA | gwo,QDT | LDA | gwo,15,0.2930021075901917,0.20306024679040183,0.08994186079978986,0.08211743485683001,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,SVC | PCA | gwo
SVC | PCA | gwo,QDT | PCA | default,15,0.2930021075901917,0.17692996724043658,0.1160721403497551,0.10912478198826703,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,SVC | PCA | gwo
SVC | PCA | gwo,QDT | PCA | gwo,15,0.2930021075901917,0.18781336743418056,0.10518874015601112,0.10803624788086502,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,SVC | PCA | gwo
SVC | PCA | gwo,QDT | LDA | default,15,0.2930021075901917,0.19897373087765965,0.09402837671253203,0.08188459873045711,0.0,6.103515625e-05,0.9911111111111112,large,0.00238037109375,True,SVC | PCA | gwo
SVC | PCA | gwo,QSVC | PCA | default,15,0.2930021075901917,0.2080270865631667,0.08497502102702498,0.08049284946456031,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,SVC | PCA | gwo
SVC | PCA | gwo,XGBoost | PCA | default,15,0.2930021075901917,0.24660578206989567,0.04639632552029602,0.04955658152589104,0.0,6.103515625e-05,0.8755555555555555,large,0.00238037109375,True,SVC | PCA | gwo
SVC | PCA | gwo,VQC | PCA | default,15,0.2930021075901917,0.19796243033699265,0.09503967725319903,0.09744508490419071,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,SVC | PCA | gwo
SVC | PCA | gwo,QSVC | LDA | default,15,0.2930021075901917,0.22761981883245377,0.06538228875773791,0.07240963386638652,1.0,0.0001220703125,0.9288888888888889,large,0.0037841796875,True,SVC | PCA | gwo
SVC | PCA | gwo,VQC | LDA | default,15,0.2930021075901917,0.23269700910503108,0.06030509848516061,0.06432798992286853,2.0,0.00018310546875,0.8844444444444445,large,0.0054931640625,True,SVC | PCA | gwo
SVC | PCA | gwo,DecisionTree | LDA | default,15,0.2930021075901917,0.24417786646329528,0.0488242411268964,0.052070367604348244,4.0,0.00042724609375,0.8577777777777778,large,0.01239013671875,True,SVC | PCA | gwo
SVC | PCA | gwo,RandomForest | LDA | default,15,0.2930021075901917,0.2457101289821357,0.04729197860805598,0.04389871124780639,6.0,0.0008544921875,0.8488888888888889,large,0.02392578125,True,SVC | PCA | gwo
SVC | PCA | gwo,XGBoost | LDA | default,15,0.2930021075901917,0.25434894267188773,0.03865316491830395,0.03558186709811062,7.0,0.00115966796875,0.7155555555555555,large,0.03131103515625,True,SVC | PCA | gwo
SVC | PCA | gwo,RandomForest | PCA | default,15,0.2930021075901917,0.2680334535671882,0.024968654023003467,0.028184725217520634,11.0,0.00335693359375,0.6133333333333333,large,0.0872802734375,False,n.s.
SVC | PCA | gwo,DecisionTree | PCA | gwo,15,0.2930021075901917,0.25319403149097314,0.03980807609921855,0.03733213149409001,12.0,0.0042724609375,0.6444444444444445,large,0.1068115234375,False,n.s.
SVC | PCA | gwo,QSVC | PCA | gwo,15,0.2930021075901917,0.2649774070020102,0.02802470058818146,0.03528299657331907,16.0,0.01025390625,0.5733333333333334,large,0.24609375,False,n.s.
SVC | PCA | gwo,LogReg | LDA | default,15,0.2930021075901917,0.27376332225577993,0.019238785334411757,0.0236970001675883,18.0,0.01507568359375,0.4222222222222222,medium,0.34674072265625,False,n.s.
SVC | PCA | gwo,XGBoost | PCA | gwo,15,0.2930021075901917,0.27428689938368944,0.018715208206502243,0.02345124096150092,24.0,0.041259765625,0.4311111111111111,medium,0.90771484375,False,n.s.
