config,mean_rank
LogReg | LDA | gwo,5.7
MLP | LDA | gwo,6.066666666666666
VQC | LDA | gwo,6.466666666666667
MLP | LDA | default,6.666666666666667
QNN | LDA | gwo,6.733333333333333
LogReg | LDA | default,6.733333333333333
SVC | LDA | default,6.866666666666666
QSVC | LDA | gwo,6.933333333333334
SVC | LDA | gwo,7.0
QNN | LDA | default,7.766666666666667
XGBoost | LDA | gwo,8.233333333333333
RandomForest | LDA | gwo,9.533333333333333
DecisionTree | LDA | gwo,9.933333333333334
XGBoost | LDA | default,16.466666666666665
RandomForest | PCA | default,20.233333333333334
MLP | PCA | default,20.266666666666666
QSVC | LDA | default,21.2
MLP | PCA | gwo,21.4
LogReg | PCA | gwo,22.133333333333333
XGBoost | PCA | gwo,22.333333333333332
SVC | PCA | gwo,22.9
LogReg | PCA | default,23.6
RandomForest | PCA | gwo,23.8
SVC | PCA | default,24.266666666666666
VQC | LDA | default,24.6
QNN | PCA | default,24.966666666666665
QNN | PCA | gwo,25.133333333333333
VQC | PCA | gwo,25.333333333333332
DecisionTree | PCA | gwo,26.666666666666668
DecisionTree | LDA | default,27.666666666666668
QSVC | PCA | gwo,27.733333333333334
XGBoost | PCA | default,28.733333333333334
RandomForest | LDA | default,29.133333333333333
DecisionTree | PCA | default,31.066666666666666
QDT | LDA | gwo,33.0
QDT | LDA | default,34.0
QSVC | PCA | default,34.93333333333333
VQC | PCA | default,37.733333333333334
QDT | PCA | default,37.86666666666667
QDT | PCA | gwo,38.2
