config,mean_rank
SVC | PCA | gwo,10.4
LogReg | LDA | gwo,11.266666666666667
SVC | LDA | gwo,11.466666666666667
QNN | PCA | default,12.2
LogReg | PCA | gwo,12.333333333333334
SVC | PCA | default,12.533333333333333
RandomForest | PCA | gwo,12.866666666666667
LogReg | PCA | default,13.066666666666666
SVC | LDA | default,13.733333333333333
QSVC | LDA | gwo,14.066666666666666
MLP | PCA | gwo,14.133333333333333
RandomForest | LDA | gwo,14.3
VQC | PCA | gwo,14.833333333333334
MLP | LDA | default,14.933333333333334
MLP | PCA | default,15.266666666666667
XGBoost | LDA | gwo,15.4
MLP | LDA | gwo,15.866666666666667
VQC | LDA | gwo,16.1
XGBoost | PCA | gwo,16.2
QNN | LDA | default,16.333333333333332
LogReg | LDA | default,16.4
QNN | LDA | gwo,16.733333333333334
QNN | PCA | gwo,17.2
DecisionTree | LDA | gwo,17.566666666666666
RandomForest | PCA | default,18.866666666666667
QSVC | PCA | gwo,19.933333333333334
DecisionTree | PCA | gwo,23.066666666666666
XGBoost | LDA | default,23.266666666666666
RandomForest | LDA | default,25.433333333333334
XGBoost | PCA | default,26.666666666666668
DecisionTree | LDA | default,27.1
VQC | LDA | default,29.666666666666668
QSVC | LDA | default,30.8
DecisionTree | PCA | default,31.066666666666666
QSVC | PCA | default,34.666666666666664
QDT | LDA | gwo,35.53333333333333
QDT | LDA | default,35.93333333333333
VQC | PCA | default,36.666666666666664
QDT | PCA | gwo,37.53333333333333
QDT | PCA | default,38.6
