model,reduction,optimizer,n_folds,accuracy_mean,accuracy_std,accuracy_ci95,precision_mean,precision_std,precision_ci95,recall_mean,recall_std,recall_ci95,f1_mean,f1_std,f1_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,mcc_mean,mcc_std,mcc_ci95,roc_auc_mean,roc_auc_std,roc_auc_ci95,f1_ci95_bca
LogReg,LDA,gwo,15,0.7098333333333333,0.017597348285087345,"[0.701, 0.719]",0.38164230215542955,0.017552000805854034,"[0.373, 0.391]",0.677777376306788,0.025667963852403067,"[0.665, 0.691]",0.4878772843967598,0.014488234291704025,"[0.481, 0.495]",0.6979021720827709,0.011424657585395659,"[0.692, 0.704]",0.33212924684736556,0.021027509251148494,"[0.321, 0.343]",0.7600590674291264,0.009484793870643713,"[0.755, 0.765]","[0.481, 0.495]"
MLP,LDA,gwo,15,0.7042999999999999,0.01620383552478505,"[0.696, 0.713]",0.3761635379827464,0.016566434250731416,"[0.368, 0.385]",0.6820506335212217,0.03697102198979295,"[0.663, 0.701]",0.4844764388729215,0.01791580964205998,"[0.475, 0.494]",0.69602185469195,0.015871739297875824,"[0.688, 0.704]",0.32745802686841613,0.026257408694161863,"[0.314, 0.341]",0.7597089028354277,0.01787749775298107,"[0.751, 0.769]","[0.474, 0.492]"
SVC,LDA,default,15,0.6975666666666667,0.02656653820844846,"[0.684, 0.711]",0.37263379424226856,0.023294789457563882,"[0.361, 0.384]",0.6940044322397263,0.035105562235105685,"[0.676, 0.712]",0.4837978809767675,0.015057405822597415,"[0.476, 0.491]",0.6962437023751614,0.011152667907023035,"[0.691, 0.702]",0.32671790263866246,0.022046899957847397,"[0.316, 0.338]",0.7425308024354008,0.017738140936596845,"[0.734, 0.752]","[0.476, 0.491]"
LogReg,LDA,default,15,0.7032333333333333,0.013386916142619413,"[0.696, 0.710]",0.37493464690074313,0.014402016689856051,"[0.368, 0.382]",0.6823842559136677,0.028998939215735063,"[0.668, 0.697]",0.4837192671141172,0.015767442007026955,"[0.476, 0.492]",0.6954763919215623,0.013848979980590976,"[0.688, 0.702]",0.32616809814504005,0.023188979356375653,"[0.314, 0.338]",0.759366031887355,0.013845389255918014,"[0.752, 0.766]","[0.476, 0.492]"
MLP,LDA,default,15,0.7068333333333334,0.01956095479216063,"[0.697, 0.717]",0.37854300371136446,0.018404340184077154,"[0.369, 0.388]",0.6741713638772462,0.04614986748687362,"[0.651, 0.698]",0.4837015784875896,0.012220225928183387,"[0.478, 0.490]",0.6946757877301882,0.011648141278941747,"[0.689, 0.701]",0.3268623845058408,0.018452243413849517,"[0.318, 0.336]",0.7582478545199052,0.009975039699667313,"[0.753, 0.763]","[0.478, 0.490]"
QNN,LDA,gwo,15,0.7096999999999999,0.035575272310974654,"[0.692, 0.728]",0.3831772787619356,0.03081070846299329,"[0.368, 0.399]",0.6648628575099164,0.05612177981731159,"[0.636, 0.693]",0.48354975212099394,0.014673438164500435,"[0.476, 0.491]",0.6930144363857044,0.010378004208462839,"[0.688, 0.698]",0.32715082146804075,0.021557888172892625,"[0.316, 0.338]",0.753775865743799,0.014580194009591294,"[0.746, 0.761]","[0.476, 0.490]"
QSVC,LDA,gwo,15,0.7129666666666667,0.025203788452947948,"[0.700, 0.726]",0.3833926108766221,0.026361163414094294,"[0.370, 0.397]",0.6539263862793274,0.0355437519385333,"[0.636, 0.672]",0.4819593341935803,0.014250675040442482,"[0.475, 0.489]",0.6910043657320669,0.009609003667405506,"[0.686, 0.696]",0.3240839562638686,0.02128879112737959,"[0.313, 0.335]",0.7389897202151263,0.06696483271327335,"[0.705, 0.773]","[0.475, 0.489]"
SVC,LDA,gwo,15,0.6966000000000001,0.03174406581214376,"[0.681, 0.713]",0.3717596873258089,0.023941164098225602,"[0.360, 0.384]",0.6883934736875913,0.0578127609425526,"[0.659, 0.718]",0.48072804740082553,0.014695576097801664,"[0.473, 0.488]",0.6935389963732909,0.013083909422986527,"[0.687, 0.700]",0.32316402836917335,0.021075965026621624,"[0.312, 0.334]",0.7123306642973826,0.09918718768470253,"[0.662, 0.763]","[0.471, 0.486]"
VQC,LDA,gwo,15,0.6908,0.030294860478777108,"[0.675, 0.706]",0.36685356945636693,0.023124633285582348,"[0.355, 0.379]",0.6982531997237877,0.04790082643016993,"[0.674, 0.722]",0.47971380017922904,0.01768994552367148,"[0.471, 0.489]",0.6935746719864844,0.014859460510001239,"[0.686, 0.701]",0.32120065497207756,0.025868935596680756,"[0.308, 0.334]",0.7552274501051756,0.012133221283576353,"[0.749, 0.761]","[0.470, 0.487]"
XGBoost,LDA,gwo,15,0.6887,0.04063724540720882,"[0.668, 0.709]",0.3666342387732856,0.033349099704506356,"[0.350, 0.384]",0.6966312569253746,0.05769455018027744,"[0.667, 0.726]",0.478094357332105,0.024822413845654406,"[0.466, 0.491]",0.6916548002580524,0.0205042418276547,"[0.681, 0.702]",0.31898109468306907,0.036764465464013456,"[0.300, 0.338]",0.7499782118364917,0.01926980060204247,"[0.740, 0.760]","[0.466, 0.490]"
