model,reduction,optimizer,n_folds,accuracy_mean,accuracy_std,accuracy_ci95,precision_mean,precision_std,precision_ci95,recall_mean,recall_std,recall_ci95,f1_mean,f1_std,f1_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,mcc_mean,mcc_std,mcc_ci95,roc_auc_mean,roc_auc_std,roc_auc_ci95,f1_ci95_bca
SVC,PCA,gwo,15,0.663852328101827,0.0976458413310588,"[0.614, 0.713]",0.20097638076793908,0.03081657156832106,"[0.185, 0.217]",0.5958241758241759,0.13723712126942145,"[0.526, 0.665]",0.2930021075901917,0.024173014251864817,"[0.281, 0.305]",0.634287087912088,0.023899627204094564,"[0.622, 0.646]",0.18614832954132818,0.03106596077404287,"[0.170, 0.202]",0.6081685973748473,0.15547854095055164,"[0.529, 0.687]","[0.281, 0.305]"
SVC,LDA,gwo,15,0.6674024185531054,0.09891728964270091,"[0.617, 0.717]",0.20219478605687827,0.03777092978914817,"[0.183, 0.221]",0.5816117216117216,0.11399800699039718,"[0.524, 0.639]",0.29279932957091603,0.02769276137061431,"[0.279, 0.307]",0.6300975274725275,0.0189708166870804,"[0.620, 0.640]",0.18239170242069908,0.03495049411811177,"[0.165, 0.200]",0.5867919909951159,0.1423909965890575,"[0.515, 0.659]","[0.280, 0.307]"
RandomForest,PCA,gwo,15,0.6471996773089522,0.06637640218967074,"[0.614, 0.681]",0.19048073002942695,0.023724056266678263,"[0.178, 0.202]",0.61491452991453,0.102888394507668,"[0.563, 0.667]",0.2879840760781279,0.027056730456553102,"[0.274, 0.302]",0.6331655982905983,0.032365225747134574,"[0.617, 0.650]",0.17829201928878036,0.04230840475382605,"[0.157, 0.200]",0.6768098137973139,0.029074865197516748,"[0.662, 0.692]","[0.276, 0.303]"
LogReg,LDA,gwo,15,0.656569044475953,0.03828857469860209,"[0.637, 0.676]",0.18968328244000407,0.017248061865119697,"[0.181, 0.198]",0.5987423687423686,0.0647864530764693,"[0.566, 0.632]",0.28722861291975,0.021751562572080635,"[0.276, 0.298]",0.631412851037851,0.024851052993659823,"[0.619, 0.644]",0.17526727612321708,0.03348312067681524,"[0.158, 0.192]",0.6789773351648353,0.029013713149474308,"[0.664, 0.694]","[0.272, 0.296]"
SVC,LDA,default,15,0.6587652178164572,0.07262330015246689,"[0.622, 0.696]",0.19320913724316646,0.04024221503930391,"[0.173, 0.214]",0.5828327228327229,0.082677245663599,"[0.541, 0.625]",0.2869391739178326,0.04391349807542017,"[0.265, 0.309]",0.6257496947496948,0.04093602498089047,"[0.605, 0.646]",0.17193233857481635,0.061821238598914,"[0.141, 0.203]",0.662318936965812,0.03866062020229773,"[0.643, 0.682]","[0.267, 0.309]"
LogReg,PCA,gwo,15,0.6233840186443717,0.03066800035545703,"[0.608, 0.639]",0.1828776935974896,0.012767664437344551,"[0.176, 0.189]",0.6500915750915751,0.0414345088676037,"[0.629, 0.671]",0.28511351488894976,0.016596661649926035,"[0.277, 0.294]",0.635004120879121,0.01913048307923096,"[0.625, 0.645]",0.17577422035644197,0.025722141047218133,"[0.163, 0.189]",0.6891135836385835,0.02264903714482616,"[0.678, 0.701]","[0.278, 0.294]"
LogReg,PCA,default,15,0.6205827995893024,0.0382421475147129,"[0.601, 0.640]",0.1821350935738003,0.013746457665987526,"[0.175, 0.189]",0.6506715506715508,0.04447076568718396,"[0.628, 0.673]",0.2840764081403106,0.01701399918236872,"[0.275, 0.293]",0.6336691086691087,0.019719492844677063,"[0.624, 0.644]",0.1741449336625708,0.026497606583127137,"[0.161, 0.188]",0.6903724587912088,0.0241336011746263,"[0.678, 0.703]","[0.276, 0.292]"
SVC,PCA,default,15,0.6794197265274858,0.06492360556958385,"[0.647, 0.712]",0.19469724535115018,0.020494859774774058,"[0.184, 0.205]",0.5495360195360196,0.10247237821815235,"[0.498, 0.601]",0.28398467289958423,0.019038515849260078,"[0.274, 0.294]",0.6229346764346763,0.021138732791558517,"[0.612, 0.634]",0.16984103123880961,0.027334599273878074,"[0.156, 0.184]",0.6697940895909645,0.026859297759887976,"[0.656, 0.683]","[0.274, 0.292]"
QNN,PCA,default,15,0.6233138577877736,0.049267882741514724,"[0.598, 0.648]",0.18270954264243824,0.01769348443935015,"[0.174, 0.192]",0.6435714285714287,0.059999909351293006,"[0.613, 0.674]",0.2837812295360945,0.022364400979374956,"[0.272, 0.295]",0.6321190476190476,0.02659313131317063,"[0.619, 0.646]",0.17293745724684492,0.03555589609001238,"[0.155, 0.191]",0.6795791056166056,0.02888609528822677,"[0.665, 0.694]","[0.272, 0.294]"
QSVC,LDA,gwo,15,0.6897513812154696,0.06841225214276596,"[0.655, 0.724]",0.20001249368786014,0.04294144962926148,"[0.178, 0.222]",0.5232722832722833,0.08934033984011998,"[0.478, 0.568]",0.2831226474672089,0.029172908311897637,"[0.268, 0.298]",0.617344474969475,0.02288111570355906,"[0.606, 0.629]",0.1668235977664031,0.04128983216550118,"[0.146, 0.188]",0.619037396978022,0.12355079154300312,"[0.557, 0.682]","[0.271, 0.300]"
