model,reduction,delta_f1_mean,delta_f1_std,n_folds,dataset
DecisionTree,LDA,0.08493693582426301,0.041528860547133374,15,Bank Customer Churn
DecisionTree,PCA,0.017574114815757203,0.031357332522055734,15,Bank Customer Churn
LogReg,LDA,0.004158017282642593,0.022513560264629983,15,Bank Customer Churn
LogReg,PCA,0.005137396790914879,0.024927525649162483,15,Bank Customer Churn
MLP,LDA,0.0007748603853317659,0.021318520234395545,15,Bank Customer Churn
MLP,PCA,-0.007026359102040921,0.04085372133910368,15,Bank Customer Churn
QDT,LDA,0.033707003093141154,0.1179082459472141,15,Bank Customer Churn
QDT,PCA,-0.009340599488934561,0.03693214855112413,15,Bank Customer Churn
QNN,LDA,0.005847594117796443,0.022436860768658848,15,Bank Customer Churn
QNN,PCA,-0.003934919803878437,0.036926992477022386,15,Bank Customer Churn
QSVC,LDA,0.06631305461207986,0.03856220938143071,15,Bank Customer Churn
QSVC,PCA,0.033344194615846576,0.0375200849650534,15,Bank Customer Churn
RandomForest,LDA,0.09184600803189678,0.028077470436825683,15,Bank Customer Churn
RandomForest,PCA,-0.014112232474319935,0.041364346601897015,15,Bank Customer Churn
SVC,LDA,-0.0030698335759419865,0.018250595787445912,15,Bank Customer Churn
SVC,PCA,0.0024487405925188387,0.03555808079949075,15,Bank Customer Churn
VQC,LDA,0.08314771276981615,0.03288914011754326,15,Bank Customer Churn
VQC,PCA,0.08704089585624292,0.027206621472067656,15,Bank Customer Churn
XGBoost,LDA,0.04572717840568989,0.03208099043804715,15,Bank Customer Churn
XGBoost,PCA,0.02930742631068478,0.03348892646744021,15,Bank Customer Churn
DecisionTree,LDA,0.02541645787582807,0.03520994998906319,15,Bank Marketing
DecisionTree,PCA,0.02077193392972115,0.0341730260664116,15,Bank Marketing
LogReg,LDA,0.013465290663970076,0.0366769641745169,15,Bank Marketing
LogReg,PCA,0.0010371067486391475,0.023320066729694184,15,Bank Marketing
MLP,LDA,-0.0007189499121946293,0.036115039552647395,15,Bank Marketing
MLP,PCA,0.0012346624596422495,0.031841894285352924,15,Bank Marketing
QDT,LDA,0.004086515912742191,0.05246882406618868,15,Bank Marketing
QDT,PCA,0.01088340019374402,0.03306097251685189,15,Bank Marketing
QNN,LDA,-0.01063936315631922,0.07411651043125987,15,Bank Marketing
QNN,PCA,-0.011365204275021142,0.02545048054331522,15,Bank Marketing
QSVC,LDA,0.0555028286347551,0.03646396510289744,15,Bank Marketing
QSVC,PCA,0.056950320438843544,0.042161961595790415,15,Bank Marketing
RandomForest,LDA,0.033977634780680215,0.037738985150700656,15,Bank Marketing
RandomForest,PCA,0.019950622510939733,0.02901928384523754,15,Bank Marketing
SVC,LDA,0.005860155653083474,0.051550299050247675,15,Bank Marketing
SVC,PCA,0.009017434690607451,0.028274230084012916,15,Bank Marketing
VQC,LDA,0.04229981840768961,0.031948708782134475,15,Bank Marketing
VQC,PCA,0.0773294303994116,0.02426787469245166,15,Bank Marketing
XGBoost,LDA,0.021452329111955177,0.036276375856397244,15,Bank Marketing
XGBoost,PCA,0.027681117313793777,0.032075217867904314,15,Bank Marketing
