dataset,model,balance,n_folds,f1_mean,f1_std,f1_ci95,recall_mean,recall_std,recall_ci95,precision_mean,precision_std,precision_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,mcc_mean,mcc_std,mcc_ci95
Bank Customer Churn,QSVC,smote,15,0.42252003809017996,0.028802761308487794,"[0.408, 0.437]",0.5424583674583675,0.03942883403163939,"[0.523, 0.562]",0.34707598196288975,0.029566813183800948,"[0.332, 0.362]",0.6396635558408406,0.023575274875737982,"[0.628, 0.652]",0.24211802051204798,0.04240632739629438,"[0.221, 0.264]"
Bank Customer Churn,VQC,undersample,15,0.41613415175121815,0.050643121260215106,"[0.391, 0.442]",0.6210033562974738,0.09034393375158045,"[0.575, 0.667]",0.3181905156637519,0.055130101536478196,"[0.290, 0.346]",0.6321326147947205,0.04901825971365543,"[0.607, 0.657]",0.22223550837489475,0.08380546532821588,"[0.180, 0.265]"
Bank Customer Churn,QSVC,undersample,15,0.4069005412030985,0.0325711505700154,"[0.390, 0.423]",0.5496410849352026,0.0428508831547928,"[0.528, 0.571]",0.3262720014917122,0.041761322030266834,"[0.305, 0.347]",0.6252087962495894,0.029244432595935874,"[0.610, 0.640]",0.21490573339273683,0.05471782843950194,"[0.187, 0.243]"
Bank Customer Churn,RandomForest,smote,15,0.39346194255146294,0.01605221644306512,"[0.385, 0.402]",0.5976176711470829,0.027758051711959022,"[0.584, 0.612]",0.29336187839776273,0.012191319189518312,"[0.287, 0.300]",0.6146243117827943,0.015341231730549182,"[0.607, 0.622]",0.18744221726664265,0.025039439753303284,"[0.175, 0.200]"
Bank Customer Churn,RandomForest,undersample,15,0.3920719101350126,0.013688218186959962,"[0.385, 0.399]",0.6090624046506398,0.024692247753308007,"[0.597, 0.622]",0.28928299608132874,0.012090408609374981,"[0.283, 0.295]",0.6128317813871913,0.013558764774033954,"[0.606, 0.620]",0.18380880778217862,0.022393451476330834,"[0.172, 0.195]"
Bank Customer Churn,VQC,smote,15,0.3859637440257659,0.03994391102095981,"[0.366, 0.406]",0.5916494034141092,0.16353404064732263,"[0.509, 0.674]",0.3017020045030347,0.05219249266216654,"[0.275, 0.328]",0.6030888420362378,0.045084556156340105,"[0.580, 0.626]",0.1770929281403745,0.07631184657302069,"[0.138, 0.216]"
Bank Customer Churn,RandomForest,none,15,0.33607211949217736,0.0231726457689319,"[0.324, 0.348]",0.33429766665060784,0.029712042153474522,"[0.319, 0.349]",0.33852178759995977,0.02034526748157797,"[0.328, 0.349]",0.5836163324657014,0.013590156590054378,"[0.577, 0.590]",0.16798235919839008,0.02604675026622383,"[0.155, 0.181]"
Bank Marketing,RandomForest,smote,15,0.2662890447266094,0.016938889037834845,"[0.258, 0.275]",0.5598595848595848,0.04388846446134816,"[0.538, 0.582]",0.17492531526557936,0.012077398512172011,"[0.169, 0.181]",0.6075131257631257,0.020197163014749726,"[0.597, 0.618]",0.14253029939296927,0.026822195120857092,"[0.129, 0.156]"
Bank Marketing,QSVC,smote,15,0.2577080400356866,0.02296270684372862,"[0.246, 0.269]",0.4850305250305251,0.0984623146436861,"[0.435, 0.535]",0.1774568642716627,0.017326295608105818,"[0.169, 0.186]",0.5948069291819291,0.027381410412095526,"[0.581, 0.609]",0.13129537463196256,0.03519509951052002,"[0.113, 0.149]"
Bank Marketing,RandomForest,undersample,15,0.24178012914738775,0.022071962435641714,"[0.231, 0.253]",0.5835714285714286,0.06197365453348876,"[0.552, 0.615]",0.1526474815613219,0.014441281682458436,"[0.145, 0.160]",0.5804523809523808,0.029757822758748734,"[0.565, 0.596]",0.10372228064412663,0.038541006147891174,"[0.084, 0.123]"
Bank Marketing,RandomForest,none,15,0.23958923095467224,0.03609677021178235,"[0.221, 0.258]",0.23667887667887666,0.04147565874470461,"[0.216, 0.258]",0.24380359872363672,0.03415490989045768,"[0.227, 0.261]",0.5705477716727716,0.019994422411697927,"[0.560, 0.581]",0.1427996137545014,0.03877274727756265,"[0.123, 0.162]"
Bank Marketing,VQC,smote,15,0.23848085766354832,0.03579835746083782,"[0.220, 0.257]",0.4319536019536019,0.09779206391431844,"[0.382, 0.481]",0.16854999764505338,0.03199953936756433,"[0.152, 0.185]",0.5717684676434677,0.03254525351211364,"[0.555, 0.588]",0.10304656779927758,0.0496504264708962,"[0.078, 0.128]"
Bank Marketing,VQC,undersample,15,0.22107306161192378,0.02164085959411726,"[0.210, 0.232]",0.5177838827838828,0.08416326140838236,"[0.475, 0.560]",0.14249026033944662,0.018688953412386217,"[0.133, 0.152]",0.5507252747252747,0.03009023568348915,"[0.535, 0.566]",0.06737157891521003,0.04018849056495904,"[0.047, 0.088]"
Bank Marketing,QSVC,undersample,15,0.21872927630703998,0.027404943789421814,"[0.205, 0.233]",0.48367521367521366,0.07815667142988525,"[0.444, 0.523]",0.14209900164101785,0.019782331521219807,"[0.132, 0.152]",0.5495459401709402,0.034495818592767416,"[0.532, 0.567]",0.06562979000391565,0.04592309074395315,"[0.042, 0.089]"
Bank Marketing,VQC,none,15,0.08571055392015475,0.09532802336472618,"[0.037, 0.134]",0.05560439560439559,0.06472596436666336,"[0.023, 0.088]",0.21859976390705593,0.23582497906579664,"[0.099, 0.338]",0.5222605311355312,0.0267675079093817,"[0.509, 0.536]",0.0824277775900296,0.0918993378360886,"[0.036, 0.129]"
Bank Customer Churn,VQC,none,15,0.053182261833760305,0.11528513906488404,"[-0.005, 0.112]",0.038089560148383675,0.08526729752276811,"[-0.005, 0.081]",0.09552318804920507,0.19798196904576415,"[-0.005, 0.196]",0.513810983975052,0.031113792620697883,"[0.498, 0.530]",0.04011801758493919,0.08599475965884307,"[-0.003, 0.084]"
Bank Marketing,QSVC,none,15,0.01644880174291938,0.05041004468923739,"[-0.009, 0.042]",0.010177045177045175,0.032301387685386276,"[-0.006, 0.027]",0.07795698924731183,0.215008155686117,"[-0.031, 0.187]",0.5042968559218559,0.013307750878463497,"[0.498, 0.511]",0.020736583458552928,0.05540152388834061,"[-0.007, 0.049]"
Bank Customer Churn,QSVC,none,15,0.0,0.0,"[0.000, 0.000]",0.0,0.0,"[0.000, 0.000]",0.0,0.0,"[0.000, 0.000]",0.5,0.0,"[0.500, 0.500]",0.0,0.0,"[0.000, 0.000]"
