dataset,model,optimizer,n_folds,accuracy_mean,accuracy_std,accuracy_ci95,precision_mean,precision_std,precision_ci95,recall_mean,recall_std,recall_ci95,f1_mean,f1_std,f1_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,mcc_mean,mcc_std,mcc_ci95,roc_auc_mean,roc_auc_std,roc_auc_ci95
Bank Customer Churn,QSVC,pso,15,0.7118333333333334,0.0197905701450632,"[0.702, 0.722]",0.3842987034336334,0.016891589263002677,"[0.376, 0.393]",0.6789259848083377,0.051546694418897886,"[0.653, 0.705]",0.48965257401918494,0.013560922045262193,"[0.483, 0.497]",0.699584969205943,0.013272176704650793,"[0.693, 0.706]",0.3357124132485862,0.020118117627504466,"[0.326, 0.346]",0.6972550125538006,0.17372019932059715,"[0.609, 0.785]"
Bank Customer Churn,QSVC,gwo,15,0.7053333333333334,0.026392414133790863,"[0.692, 0.719]",0.37891796752964196,0.02168367036099025,"[0.368, 0.390]",0.6833558157087568,0.05208024815275489,"[0.657, 0.710]",0.4860660802921613,0.015312484794973288,"[0.478, 0.494]",0.6971547979545971,0.013353599027255676,"[0.690, 0.704]",0.3305241000729131,0.02238990635324395,"[0.319, 0.342]",0.7406685681159607,0.067631728288977,"[0.706, 0.775]"
Bank Customer Churn,QSVC,random,15,0.7057,0.025522958852206568,"[0.693, 0.719]",0.3781585610606528,0.02068743353123888,"[0.368, 0.389]",0.6758230155288979,0.04741528547002259,"[0.652, 0.700]",0.4836193348555254,0.014231590862150286,"[0.476, 0.491]",0.6945800907925839,0.012162811336048275,"[0.688, 0.701]",0.3267183616889223,0.02038134050370137,"[0.316, 0.337]",0.6907535831501633,0.1443665033259223,"[0.618, 0.764]"
Bank Customer Churn,VQC,pso,15,0.6954666666666667,0.026619988909160154,"[0.682, 0.709]",0.36954100236062004,0.02213081788240295,"[0.358, 0.381]",0.6879341908753674,0.04442877872023387,"[0.665, 0.710]",0.47966934313054144,0.016750097971654103,"[0.471, 0.488]",0.6926629707127827,0.013319090722254335,"[0.686, 0.699]",0.3208356065099834,0.023994798428446578,"[0.309, 0.333]",0.7534043471621806,0.016107875591258987,"[0.745, 0.762]"
Bank Customer Churn,VQC,gwo,15,0.6899333333333332,0.027606848701691663,"[0.676, 0.704]",0.3651958050856184,0.02336512072477829,"[0.353, 0.377]",0.6959672239084004,0.04851504064961912,"[0.671, 0.721]",0.47803614036361347,0.022023726901964535,"[0.467, 0.489]",0.6921804146536147,0.019054579640689354,"[0.683, 0.702]",0.31855541601295934,0.03249063945179436,"[0.302, 0.335]",0.7545242991283639,0.021556963989730185,"[0.744, 0.765]"
Bank Customer Churn,VQC,random,15,0.6916,0.06197413054769592,"[0.660, 0.723]",0.3725941454437839,0.050899779803681565,"[0.347, 0.398]",0.6629530600118836,0.11708816906069444,"[0.604, 0.722]",0.4662958175353244,0.035704245364902965,"[0.448, 0.484]",0.6809549589785934,0.028299504197634513,"[0.667, 0.695]",0.30842851944973015,0.037912150438417176,"[0.289, 0.328]",0.7483747881991957,0.021206802177768772,"[0.738, 0.759]"
Bank Marketing,QSVC,gwo,15,0.7221827278801807,0.03298102628800795,"[0.705, 0.739]",0.21483515254607893,0.023338042342019676,"[0.203, 0.227]",0.5207875457875457,0.04628096255638712,"[0.497, 0.544]",0.3028504720475761,0.022907438518185955,"[0.291, 0.314]",0.6346021062271062,0.01976313597235997,"[0.625, 0.645]",0.19245652707227348,0.031150012065352922,"[0.177, 0.208]",0.6533177579365079,0.0961905367992986,"[0.605, 0.702]"
Bank Marketing,QSVC,pso,15,0.6958590426832248,0.05113775165594228,"[0.670, 0.722]",0.1999941470520202,0.027493118438063634,"[0.186, 0.214]",0.5290720390720389,0.07497601114612203,"[0.491, 0.567]",0.2877425791946548,0.029111978772741787,"[0.273, 0.302]",0.6233276862026862,0.027439182008645112,"[0.609, 0.637]",0.17274685938967863,0.04046584126767074,"[0.152, 0.193]",0.5979431166056165,0.13033920433766413,"[0.532, 0.664]"
Bank Marketing,QSVC,random,15,0.6833277921739271,0.06351111071997893,"[0.651, 0.715]",0.19688182262706724,0.02687256251256485,"[0.183, 0.210]",0.5418986568986568,0.09823552662269788,"[0.492, 0.592]",0.28398967783802653,0.019215009903517932,"[0.274, 0.294]",0.6218243284493284,0.019997162951882433,"[0.612, 0.632]",0.1697009794938899,0.02778935264598987,"[0.156, 0.184]",0.653874236874237,0.09455907438309222,"[0.606, 0.702]"
Bank Marketing,VQC,random,15,0.6183715510357078,0.0740125162216435,"[0.581, 0.656]",0.18024001911335027,0.021373117855260124,"[0.169, 0.191]",0.6296153846153846,0.0770821782911462,"[0.591, 0.669]",0.27809061520784856,0.021878636160015025,"[0.267, 0.289]",0.6232660256410256,0.02424676426625022,"[0.611, 0.636]",0.16307977139376956,0.03368583209290023,"[0.146, 0.180]",0.6806308684371185,0.02540610293298037,"[0.668, 0.693]"
