model,reduction,optimizer,Accuracy,Precision,Recall,F1,F1 95% CI (BCa)
LogReg,LDA,gwo,0.710 ± 0.018,0.382 ± 0.018,0.678 ± 0.026,0.488 ± 0.014,"[0.481, 0.495]"
MLP,LDA,gwo,0.704 ± 0.016,0.376 ± 0.017,0.682 ± 0.037,0.484 ± 0.018,"[0.474, 0.492]"
SVC,LDA,default,0.698 ± 0.027,0.373 ± 0.023,0.694 ± 0.035,0.484 ± 0.015,"[0.476, 0.491]"
LogReg,LDA,default,0.703 ± 0.013,0.375 ± 0.014,0.682 ± 0.029,0.484 ± 0.016,"[0.476, 0.492]"
MLP,LDA,default,0.707 ± 0.020,0.379 ± 0.018,0.674 ± 0.046,0.484 ± 0.012,"[0.478, 0.490]"
QNN,LDA,gwo,0.710 ± 0.036,0.383 ± 0.031,0.665 ± 0.056,0.484 ± 0.015,"[0.476, 0.490]"
QSVC,LDA,gwo,0.713 ± 0.025,0.383 ± 0.026,0.654 ± 0.036,0.482 ± 0.014,"[0.475, 0.489]"
SVC,LDA,gwo,0.697 ± 0.032,0.372 ± 0.024,0.688 ± 0.058,0.481 ± 0.015,"[0.471, 0.486]"
VQC,LDA,gwo,0.691 ± 0.030,0.367 ± 0.023,0.698 ± 0.048,0.480 ± 0.018,"[0.470, 0.487]"
XGBoost,LDA,gwo,0.689 ± 0.041,0.367 ± 0.033,0.697 ± 0.058,0.478 ± 0.025,"[0.466, 0.490]"
QNN,LDA,default,0.691 ± 0.038,0.367 ± 0.030,0.692 ± 0.056,0.478 ± 0.018,"[0.469, 0.486]"
RandomForest,LDA,gwo,0.687 ± 0.033,0.362 ± 0.028,0.688 ± 0.056,0.473 ± 0.022,"[0.462, 0.483]"
DecisionTree,LDA,gwo,0.701 ± 0.050,0.376 ± 0.049,0.648 ± 0.114,0.468 ± 0.031,"[0.451, 0.482]"
XGBoost,LDA,default,0.647 ± 0.017,0.322 ± 0.012,0.659 ± 0.027,0.432 ± 0.012,"[0.426, 0.438]"
MLP,PCA,default,0.647 ± 0.030,0.316 ± 0.025,0.624 ± 0.053,0.419 ± 0.028,"[0.406, 0.433]"
RandomForest,PCA,default,0.647 ± 0.026,0.315 ± 0.021,0.623 ± 0.039,0.418 ± 0.023,"[0.409, 0.431]"
QSVC,LDA,default,0.689 ± 0.031,0.338 ± 0.033,0.543 ± 0.055,0.416 ± 0.035,"[0.399, 0.432]"
MLP,PCA,gwo,0.640 ± 0.044,0.311 ± 0.032,0.616 ± 0.042,0.412 ± 0.028,"[0.399, 0.426]"
XGBoost,PCA,gwo,0.635 ± 0.035,0.307 ± 0.024,0.623 ± 0.049,0.410 ± 0.021,"[0.401, 0.422]"
LogReg,PCA,gwo,0.635 ± 0.018,0.305 ± 0.014,0.621 ± 0.027,0.409 ± 0.016,"[0.402, 0.417]"
SVC,PCA,gwo,0.655 ± 0.034,0.314 ± 0.025,0.578 ± 0.056,0.406 ± 0.026,"[0.396, 0.422]"
RandomForest,PCA,gwo,0.632 ± 0.034,0.303 ± 0.024,0.612 ± 0.049,0.404 ± 0.026,"[0.394, 0.420]"
LogReg,PCA,default,0.648 ± 0.018,0.309 ± 0.013,0.586 ± 0.053,0.404 ± 0.019,"[0.395, 0.413]"
SVC,PCA,default,0.621 ± 0.050,0.300 ± 0.024,0.627 ± 0.062,0.404 ± 0.023,"[0.394, 0.416]"
QNN,PCA,default,0.630 ± 0.053,0.304 ± 0.038,0.604 ± 0.066,0.401 ± 0.027,"[0.391, 0.417]"
VQC,PCA,gwo,0.633 ± 0.052,0.304 ± 0.034,0.594 ± 0.072,0.398 ± 0.024,"[0.387, 0.410]"
QNN,PCA,gwo,0.635 ± 0.033,0.300 ± 0.020,0.591 ± 0.075,0.397 ± 0.024,"[0.384, 0.407]"
VQC,LDA,default,0.621 ± 0.045,0.296 ± 0.035,0.609 ± 0.072,0.397 ± 0.037,"[0.379, 0.414]"
DecisionTree,PCA,gwo,0.613 ± 0.051,0.289 ± 0.023,0.606 ± 0.098,0.389 ± 0.029,"[0.374, 0.401]"
QSVC,PCA,gwo,0.651 ± 0.043,0.303 ± 0.026,0.540 ± 0.109,0.384 ± 0.041,"[0.363, 0.402]"
DecisionTree,LDA,default,0.604 ± 0.015,0.281 ± 0.014,0.605 ± 0.045,0.383 ± 0.021,"[0.374, 0.395]"
XGBoost,PCA,default,0.605 ± 0.026,0.280 ± 0.022,0.596 ± 0.036,0.381 ± 0.027,"[0.368, 0.394]"
RandomForest,LDA,default,0.596 ± 0.014,0.277 ± 0.010,0.610 ± 0.034,0.381 ± 0.015,"[0.373, 0.388]"
DecisionTree,PCA,default,0.592 ± 0.029,0.271 ± 0.021,0.591 ± 0.041,0.371 ± 0.026,"[0.360, 0.386]"
QSVC,PCA,default,0.569 ± 0.029,0.254 ± 0.017,0.570 ± 0.027,0.351 ± 0.019,"[0.341, 0.360]"
QDT,LDA,gwo,0.542 ± 0.112,0.249 ± 0.045,0.594 ± 0.180,0.343 ± 0.062,"[0.313, 0.376]"
VQC,PCA,default,0.524 ± 0.047,0.222 ± 0.012,0.529 ± 0.077,0.311 ± 0.018,"[0.303, 0.320]"
QDT,LDA,default,0.588 ± 0.121,0.254 ± 0.038,0.501 ± 0.258,0.309 ± 0.089,"[0.260, 0.348]"
QDT,PCA,default,0.531 ± 0.073,0.222 ± 0.014,0.516 ± 0.131,0.305 ± 0.031,"[0.288, 0.318]"
QDT,PCA,gwo,0.522 ± 0.076,0.215 ± 0.015,0.501 ± 0.117,0.296 ± 0.031,"[0.278, 0.308]"
