model,reduction,optimizer,Accuracy,Precision,Recall,F1,F1 95% CI (BCa)
SVC,PCA,gwo,0.664 ± 0.098,0.201 ± 0.031,0.596 ± 0.137,0.293 ± 0.024,"[0.281, 0.305]"
SVC,LDA,gwo,0.667 ± 0.099,0.202 ± 0.038,0.582 ± 0.114,0.293 ± 0.028,"[0.280, 0.307]"
RandomForest,PCA,gwo,0.647 ± 0.066,0.190 ± 0.024,0.615 ± 0.103,0.288 ± 0.027,"[0.276, 0.303]"
LogReg,LDA,gwo,0.657 ± 0.038,0.190 ± 0.017,0.599 ± 0.065,0.287 ± 0.022,"[0.272, 0.296]"
SVC,LDA,default,0.659 ± 0.073,0.193 ± 0.040,0.583 ± 0.083,0.287 ± 0.044,"[0.267, 0.309]"
LogReg,PCA,gwo,0.623 ± 0.031,0.183 ± 0.013,0.650 ± 0.041,0.285 ± 0.017,"[0.278, 0.294]"
LogReg,PCA,default,0.621 ± 0.038,0.182 ± 0.014,0.651 ± 0.044,0.284 ± 0.017,"[0.276, 0.292]"
SVC,PCA,default,0.679 ± 0.065,0.195 ± 0.020,0.550 ± 0.102,0.284 ± 0.019,"[0.274, 0.292]"
QNN,PCA,default,0.623 ± 0.049,0.183 ± 0.018,0.644 ± 0.060,0.284 ± 0.022,"[0.272, 0.294]"
QSVC,LDA,gwo,0.690 ± 0.068,0.200 ± 0.043,0.523 ± 0.089,0.283 ± 0.029,"[0.271, 0.300]"
MLP,PCA,gwo,0.630 ± 0.045,0.183 ± 0.020,0.628 ± 0.048,0.283 ± 0.025,"[0.270, 0.296]"
MLP,PCA,default,0.634 ± 0.038,0.183 ± 0.016,0.619 ± 0.052,0.281 ± 0.020,"[0.272, 0.293]"
RandomForest,LDA,gwo,0.674 ± 0.054,0.190 ± 0.023,0.548 ± 0.096,0.280 ± 0.026,"[0.268, 0.293]"
MLP,LDA,default,0.658 ± 0.026,0.184 ± 0.013,0.570 ± 0.062,0.278 ± 0.019,"[0.267, 0.286]"
MLP,LDA,gwo,0.641 ± 0.045,0.181 ± 0.019,0.594 ± 0.063,0.277 ± 0.024,"[0.266, 0.290]"
QNN,LDA,default,0.669 ± 0.053,0.187 ± 0.018,0.546 ± 0.072,0.276 ± 0.020,"[0.264, 0.284]"
XGBoost,LDA,gwo,0.661 ± 0.058,0.186 ± 0.028,0.553 ± 0.071,0.276 ± 0.027,"[0.262, 0.288]"
VQC,PCA,gwo,0.636 ± 0.036,0.179 ± 0.019,0.601 ± 0.087,0.275 ± 0.029,"[0.257, 0.286]"
VQC,LDA,gwo,0.654 ± 0.126,0.190 ± 0.033,0.556 ± 0.147,0.275 ± 0.026,"[0.262, 0.288]"
XGBoost,PCA,gwo,0.637 ± 0.061,0.180 ± 0.017,0.593 ± 0.085,0.274 ± 0.020,"[0.264, 0.285]"
LogReg,LDA,default,0.649 ± 0.036,0.180 ± 0.019,0.571 ± 0.058,0.274 ± 0.025,"[0.261, 0.286]"
QNN,PCA,gwo,0.619 ± 0.062,0.176 ± 0.016,0.616 ± 0.085,0.272 ± 0.020,"[0.263, 0.283]"
DecisionTree,LDA,gwo,0.639 ± 0.083,0.179 ± 0.025,0.571 ± 0.105,0.270 ± 0.027,"[0.255, 0.283]"
RandomForest,PCA,default,0.618 ± 0.023,0.172 ± 0.010,0.608 ± 0.053,0.268 ± 0.016,"[0.261, 0.276]"
QNN,LDA,gwo,0.684 ± 0.115,0.201 ± 0.041,0.513 ± 0.174,0.266 ± 0.072,"[0.212, 0.291]"
QSVC,PCA,gwo,0.616 ± 0.115,0.179 ± 0.039,0.586 ± 0.128,0.265 ± 0.030,"[0.253, 0.282]"
XGBoost,LDA,default,0.600 ± 0.030,0.162 ± 0.017,0.592 ± 0.070,0.254 ± 0.026,"[0.241, 0.266]"
DecisionTree,PCA,gwo,0.603 ± 0.086,0.164 ± 0.026,0.581 ± 0.125,0.253 ± 0.035,"[0.234, 0.269]"
XGBoost,PCA,default,0.584 ± 0.025,0.156 ± 0.014,0.591 ± 0.060,0.247 ± 0.022,"[0.233, 0.256]"
RandomForest,LDA,default,0.602 ± 0.026,0.157 ± 0.018,0.561 ± 0.060,0.246 ± 0.027,"[0.233, 0.258]"
DecisionTree,LDA,default,0.595 ± 0.040,0.156 ± 0.016,0.565 ± 0.045,0.244 ± 0.021,"[0.235, 0.254]"
VQC,LDA,default,0.586 ± 0.056,0.149 ± 0.020,0.546 ± 0.107,0.233 ± 0.031,"[0.221, 0.251]"
DecisionTree,PCA,default,0.563 ± 0.032,0.146 ± 0.010,0.573 ± 0.032,0.232 ± 0.013,"[0.227, 0.240]"
QSVC,LDA,default,0.623 ± 0.066,0.151 ± 0.024,0.475 ± 0.054,0.228 ± 0.030,"[0.211, 0.241]"
QSVC,PCA,default,0.506 ± 0.022,0.128 ± 0.011,0.565 ± 0.072,0.208 ± 0.020,"[0.197, 0.216]"
QDT,LDA,gwo,0.578 ± 0.079,0.131 ± 0.012,0.478 ± 0.148,0.203 ± 0.027,"[0.188, 0.215]"
QDT,LDA,default,0.542 ± 0.151,0.130 ± 0.031,0.496 ± 0.183,0.199 ± 0.032,"[0.181, 0.213]"
VQC,PCA,default,0.505 ± 0.047,0.122 ± 0.010,0.530 ± 0.069,0.198 ± 0.016,"[0.189, 0.205]"
QDT,PCA,gwo,0.469 ± 0.156,0.117 ± 0.009,0.549 ± 0.205,0.188 ± 0.021,"[0.175, 0.196]"
QDT,PCA,default,0.533 ± 0.172,0.117 ± 0.012,0.460 ± 0.230,0.177 ± 0.029,"[0.158, 0.188]"
