fold,model,family,reduction,optimizer,n_train,n_test,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,dataset,inner_f1,n_evaluations,convergence,stopped_early
0,LogReg,classical,PCA,default,1200,10962,2.00001522898674e-07,{},0.6165845648604269,0.1246842709529276,0.5813704496788008,0.205331820760068,0.600617414707769,0.114812062196788,0.6312994920432637,6216,3812,391,543,ok,0.1082496000453829,4,HR Promotion,,,,
1,LogReg,classical,PCA,default,1200,10962,4.00003045797348e-07,{},0.5988870644043058,0.1191994721794589,0.5802997858672377,0.1977741288086115,0.5904590273572328,0.1025183724244546,0.62347637535671,6023,4005,392,542,ok,0.1026849999907426,4,HR Promotion,,,,
2,LogReg,classical,PCA,default,1200,10962,3.00002284348011e-07,{},0.5574712643678161,0.1121014062190532,0.6059957173447538,0.1892027410997827,0.5794737262431786,0.0890281907434301,0.6146113686816101,5545,4483,368,566,ok,0.1067689000046812,4,HR Promotion,,,,
3,LogReg,classical,PCA,default,1200,10961,7.00005330145359e-07,{},0.5851655870814707,0.1143832693128467,0.5744908896034298,0.190781277807439,0.5803248225440364,0.090619100657579,0.6112185452009827,5878,4150,397,536,ok,0.1040856000036001,4,HR Promotion,,,,
4,LogReg,classical,PCA,default,1200,10961,7.00005330145359e-07,{},0.6039594927470121,0.1158701532912533,0.5509110396570204,0.1914695474017508,0.5799030666972776,0.090856374184987,0.6206645508332296,6106,3922,419,514,ok,0.0804728000075556,4,HR Promotion,,,,
5,LogReg,classical,PCA,default,1200,10962,5.00003807246685e-07,{},0.6343732895457034,0.1256697515830492,0.5524625267665952,0.2047619047619047,0.5972324600326793,0.1121700705996806,0.6317850703255723,6438,3590,418,516,ok,0.1137637000065296,4,HR Promotion,,,,
6,LogReg,classical,PCA,default,1200,10962,7.00005330145359e-07,{},0.6155810983397191,0.1224677716390423,0.569593147751606,0.2015915119363395,0.5947287637441716,0.1081394549546454,0.6272345889752803,6216,3812,402,532,ok,0.1066164000076241,4,HR Promotion,,,,
7,LogReg,classical,PCA,default,1200,10962,3.00002284348011e-07,{},0.578179164386061,0.111087689713322,0.5642398286937902,0.18562874251497,0.5718586458985504,0.0809826392592905,0.5985615544142354,5811,4217,407,527,ok,0.0893083999981172,4,HR Promotion,,,,
8,LogReg,classical,PCA,default,1200,10961,6.00004568696022e-07,{},0.5625399142414014,0.1034907597535934,0.5401929260450161,0.1737032569360675,0.5524059963292491,0.0588640557647179,0.5788630526914778,5662,4366,429,504,ok,0.0954842999926768,4,HR Promotion,,,,
9,LogReg,classical,PCA,default,1200,10961,3.00002284348011e-07,{},0.6516741173250615,0.1256164028030106,0.5187566988210075,0.2022565816966151,0.5913986924499932,0.1068426740238728,0.6205887181486693,6659,3369,449,484,ok,0.1066453999956138,4,HR Promotion,,,,
10,LogReg,classical,PCA,default,1200,10962,5.00003807246685e-07,{},0.5892172961138479,0.116813399184024,0.582441113490364,0.194598461813629,0.5861447689510058,0.097306946039312,0.6167161284591581,5915,4113,390,544,ok,0.1098766000359319,4,HR Promotion,,,,
11,LogReg,classical,PCA,default,1200,10962,6.999471224844456e-07,{},0.5881226053639846,0.1174962614825892,0.588865096359743,0.1959038290293855,0.5884592733493968,0.0998550990230444,0.6266136829724737,5897,4131,384,550,ok,0.1010737000033259,4,HR Promotion,,,,
12,LogReg,classical,PCA,default,1200,10962,6.00004568696022e-07,{},0.5741652983032294,0.1185124642419288,0.6209850107066381,0.1990391214824982,0.5953947789871443,0.1071471031871461,0.6254949738163549,5714,4314,354,580,ok,0.1145826000138185,4,HR Promotion,,,,
13,LogReg,classical,PCA,default,1200,10961,4.00003045797348e-07,{},0.6239394215856218,0.1202667301738509,0.5412647374062165,0.1968043647700701,0.5864480846983217,0.0992482448726596,0.6305936625038316,6334,3694,428,505,ok,0.0995333000319078,4,HR Promotion,,,,
14,LogReg,classical,PCA,default,1200,10961,6.00004568696022e-07,{},0.5843444941155004,0.1105138679853794,0.5509110396570204,0.1840974212034384,0.5691830826526028,0.0781250017643933,0.6040088288697328,5891,4137,419,514,ok,0.1006137999938801,4,HR Promotion,,,,
0,SVC,classical,PCA,default,1200,10962,3.00002284348011e-07,{},0.4769202700237183,0.1017258546299369,0.6563169164882227,0.1761494252873563,0.5582641622728309,0.0653897931812098,0.575488471679725,4615,5413,321,613,ok,0.4103863000054844,4,HR Promotion,,,,
1,SVC,classical,PCA,default,1200,10962,3.00002284348011e-07,{},0.5022806057288816,0.1055478018143754,0.6477516059957173,0.1815181518151815,0.5682415788255412,0.0762879117796771,0.4119253563256286,4901,5127,329,605,ok,0.4354000000166707,4,HR Promotion,,,,
2,SVC,classical,PCA,default,1200,10962,3.00002284348011e-07,{},0.4694398832329867,0.0959947037404832,0.6209850107066381,0.1662844036697247,0.5381550502276709,0.042834106699651,0.5598682361763935,4566,5462,354,580,ok,0.446813199960161,4,HR Promotion,,,,
3,SVC,classical,PCA,default,1200,10961,4.00003045797348e-07,{},0.5542377520299243,0.1033513947421232,0.5519828510182208,0.174104124408384,0.5532151989434941,0.0596472288140988,0.5903425392822925,5560,4468,418,515,ok,0.4619713999563828,4,HR Promotion,,,,
4,SVC,classical,PCA,default,1200,10961,4.00003045797348e-07,{},0.6018611440561993,0.1059039742706179,0.4941050375133976,0.1744230041619372,0.5529958773526302,0.0604492220082213,0.5746729628636816,6136,3892,472,461,ok,0.3431673999875784,4,HR Promotion,,,,
5,SVC,classical,PCA,default,1200,10962,5.00003807246685e-07,{},0.4351395730706076,0.1060833083608031,0.7580299785867237,0.1861198738170347,0.5815478971513595,0.0933045609102623,0.5977645355317744,4062,5966,226,708,ok,0.3640864000190049,4,HR Promotion,,,,
6,SVC,classical,PCA,default,1200,10962,3.00002284348011e-07,{},0.5675059295748951,0.1184606133493686,0.632762312633833,0.1995610332601722,0.5970951571146828,0.1088692311564799,0.6356218647743492,5630,4398,343,591,ok,0.3404795000096783,4,HR Promotion,,,,
7,SVC,classical,PCA,default,1200,10962,3.00002284348011e-07,{},0.580642218573253,0.1145022100610397,0.582441113490364,0.1913808267370272,0.581457892205892,0.091784740573676,0.6129097093448835,5821,4207,390,544,ok,0.4113986000302247,4,HR Promotion,,,,
8,SVC,classical,PCA,default,1200,10961,6.00004568696022e-07,{},0.6141775385457531,0.1078058067586863,0.4855305466237942,0.1764362220058422,0.55583866780731,0.0640978970605427,0.5508376652553985,6279,3749,480,453,ok,0.4250108999549411,4,HR Promotion,,,,
9,SVC,classical,PCA,default,1200,10961,3.00002284348011e-07,{},0.5691998905209379,0.1179673321234119,0.6270096463022508,0.1985743380855397,0.5954154733306227,0.1069921068433205,0.6335623063567777,5654,4374,348,585,ok,0.3089557999628596,4,HR Promotion,,,,
10,SVC,classical,PCA,default,1200,10962,2.00001522898674e-07,{},0.4623243933588761,0.1064741351951761,0.7184154175588865,0.185461580983969,0.5784438475907715,0.0886007352497801,0.620906162957851,4397,5631,263,671,ok,0.407077300013043,4,HR Promotion,,,,
11,SVC,classical,PCA,default,1200,10962,3.00002284348011e-07,{},0.5822842546980478,0.1098265895953757,0.5492505353319058,0.1830508474576271,0.5673057622810307,0.0759972832609158,0.604511436500283,5870,4158,421,513,ok,0.3591328000184148,4,HR Promotion,,,,
12,SVC,classical,PCA,default,1200,10962,2.00001522898674e-07,{},0.5640394088669951,0.1137231263813542,0.6059957173447538,0.1915073591608865,0.5830636743883721,0.0931549285874316,0.608905930631918,5617,4411,368,566,ok,0.376534300041385,4,HR Promotion,,,,
13,SVC,classical,PCA,default,1200,10961,3.00002284348011e-07,{},0.6201988869628684,0.1158420551855375,0.5219721329046088,0.1896048277204594,0.5756549934566921,0.0868374906427355,0.5985039317563555,6311,3717,446,487,ok,0.3949401000281796,4,HR Promotion,,,,
14,SVC,classical,PCA,default,1200,10961,7.00005330145359e-07,{},0.5037861508986407,0.1025052928722653,0.6227224008574491,0.176033934252386,0.5577213918926256,0.06446869921126,0.5830231087146771,4941,5087,352,581,ok,0.3767772000283003,4,HR Promotion,,,,
0,DecisionTree,classical,PCA,default,1200,10962,3.00002284348011e-07,{},0.5,0.0835317823777248,0.4882226980728051,0.1426560300328484,0.4946598133363627,-0.0059636305481366,0.4946598133363628,5025,5003,478,456,ok,0.0603014000225812,4,HR Promotion,,,,
1,DecisionTree,classical,PCA,default,1200,10962,2.00001522898674e-07,{},0.5479839445356687,0.0991026919242273,0.5321199143468951,0.1670869053622457,0.540790711062558,0.0457180222316769,0.540790711062558,5510,4518,437,497,ok,0.0692613999708555,4,HR Promotion,,,,
2,DecisionTree,classical,PCA,default,1200,10962,1.00000761449337e-07,{},0.4774676153986499,0.0909556313993174,0.5706638115631691,0.1569031498380924,0.5197256034281741,0.0220811586912419,0.5197256034281742,4701,5327,401,533,ok,0.0683581999619491,4,HR Promotion,,,,
