fold,model,family,reduction,optimizer,n_train,n_test,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,balance,dataset
0,VQC,quantum,LDA,default,1200,10962,3.00002284348011e-07,{},0.6412151067323482,0.13506935994159164,0.5942184154175589,0.2201070791195717,0.619905378430758,0.13830593721826295,0.6413858113769668,6474,3554,379,555,ok,2.583631500019692,1,undersample,HR Promotion
1,VQC,quantum,LDA,default,1200,10962,2.00001522898674e-07,{},0.5367633643495713,0.10230326295585412,0.5706638115631691,0.17350260416666666,0.5521348575167262,0.05829220547021471,0.5856004151971909,5351,4677,401,533,ok,2.7665008000331,1,undersample,HR Promotion
2,VQC,quantum,LDA,default,1200,10962,3.9994483813643456e-07,{},0.6076445904032111,0.10912468075226375,0.5032119914346895,0.1793550849074604,0.5602916758130767,0.06892971548928854,0.5637851595831458,6191,3837,464,470,ok,2.631623800029047,1,undersample,HR Promotion
3,VQC,quantum,LDA,default,1200,10961,3.00002284348011e-07,{},0.5494936593376517,0.10165108414561369,0.5476956055734191,0.1714765100671141,0.548678277457631,0.05452365590688352,0.5402134473634594,5512,4516,422,511,ok,2.7015002999687567,1,undersample,HR Promotion
4,VQC,quantum,LDA,default,1200,10961,2.00001522898674e-07,{},0.6629869537450962,0.13274807129555732,0.5348338692390139,0.21270247229326514,0.604872060267692,0.12330340191117097,0.6269872011102033,6768,3260,434,499,ok,2.3648242999915965,1,undersample,HR Promotion
5,VQC,quantum,LDA,default,1200,10962,3.00002284348011e-07,{},0.5706987775953293,0.11806399351964358,0.6241970021413277,0.19856948228882834,0.594956498677365,0.10656565645061344,0.6079340800789907,5673,4355,351,583,ok,2.520990699995309,1,undersample,HR Promotion
6,VQC,quantum,LDA,default,1200,10962,4.00003045797348e-07,{},0.530103995621237,0.09738399847240786,0.5460385438972163,0.1652892561983471,0.5373292041384765,0.04172826183294751,0.5334742058424847,5301,4727,424,510,ok,2.4265967999817804,1,undersample,HR Promotion
7,VQC,quantum,LDA,default,1200,10962,4.00003045797348e-07,{},0.6380222587119139,0.13621103117505995,0.6081370449678801,0.2225705329153605,0.6244713944424563,0.1431572295965326,0.6473755177152795,6426,3602,366,568,ok,2.7145591999869794,1,undersample,HR Promotion
8,VQC,quantum,LDA,default,1200,10961,2.00001522898674e-07,{},0.5242222424961226,0.10234026745913818,0.5905680600214362,0.17444989710305525,0.5543087607646072,0.06063104106581177,0.5686673776448452,5195,4833,382,551,ok,2.6537965000024997,1,undersample,HR Promotion
9,VQC,quantum,LDA,default,1200,10961,3.00002284348011e-07,{},0.6081561901286379,0.11951109099139882,0.5659163987138264,0.19734629041300691,0.5890012787346555,0.10126815804585246,0.6164533518367222,6138,3890,405,528,ok,2.566573199990671,1,undersample,HR Promotion
