fold,model,family,reduction,optimizer,n_train,n_test,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,dataset,inner_f1,n_evaluations,convergence,stopped_early
0,LogReg,classical,PCA,default,491,123,3.00002284348011e-07,{},0.5528455284552846,0.7205882352941176,0.5764705882352941,0.6405228758169934,0.538235294117647,0.0710656759099976,0.5823529411764706,19,19,36,49,ok,0.0302313999854959,4,Loan Approval,,,,
1,LogReg,classical,PCA,default,491,123,2.00001522898674e-07,{},0.5934959349593496,0.7536231884057971,0.611764705882353,0.6753246753246753,0.5821981424148608,0.1530635686589479,0.648297213622291,21,17,33,52,ok,0.0286733999964781,4,Loan Approval,,,,
2,LogReg,classical,PCA,default,491,123,2.999440766870976e-07,{},0.5772357723577236,0.7424242424242424,0.5833333333333334,0.6533333333333333,0.5737179487179487,0.1375833211001962,0.6053113553113554,22,17,35,49,ok,0.0339799000066705,4,Loan Approval,,,,
3,LogReg,classical,PCA,default,491,123,3.00002284348011e-07,{},0.5528455284552846,0.6705882352941176,0.6785714285714286,0.6745562130177515,0.4803113553113553,-0.0396566936700364,0.5177045177045176,11,28,27,57,ok,0.0290196000132709,4,Loan Approval,,,,
4,LogReg,classical,PCA,default,492,122,3.00002284348011e-07,{},0.5901639344262295,0.75,0.6071428571428571,0.6710526315789473,0.5798872180451128,0.1489660830572524,0.5523182957393483,21,17,33,51,ok,0.0279816999682225,4,Loan Approval,,,,
5,LogReg,classical,PCA,default,491,123,2.00001522898674e-07,{},0.5853658536585366,0.7428571428571429,0.611764705882353,0.6709677419354839,0.5690402476780185,0.1288387915676507,0.5541795665634675,20,18,33,52,ok,0.0344696000101976,4,Loan Approval,,,,
6,LogReg,classical,PCA,default,491,123,4.00003045797348e-07,{},0.5284552845528455,0.7142857142857143,0.5294117647058824,0.6081081081081081,0.5278637770897833,0.0515140083488931,0.5222910216718266,20,18,40,45,ok,0.0290097999968566,4,Loan Approval,,,,
7,LogReg,classical,PCA,default,491,123,2.999440766870976e-07,{},0.5365853658536586,0.7213114754098361,0.5238095238095238,0.6068965517241379,0.543956043956044,0.0818200572348404,0.5863858363858363,22,17,40,44,ok,0.0376353000174276,4,Loan Approval,,,,
8,LogReg,classical,PCA,default,491,123,2.00001522898674e-07,{},0.5934959349593496,0.7236842105263158,0.6547619047619048,0.6875,0.5581501831501832,0.1113774586116831,0.5561660561660562,18,21,29,55,ok,0.0294177000178024,4,Loan Approval,,,,
9,LogReg,classical,PCA,default,492,122,3.00002284348011e-07,{},0.5655737704918032,0.7313432835820896,0.5833333333333334,0.6490066225165563,0.5548245614035088,0.1020511391510324,0.5704887218045113,20,18,35,49,ok,0.0329322000034153,4,Loan Approval,,,,
10,LogReg,classical,PCA,default,491,123,4.00003045797348e-07,{},0.6016260162601627,0.7307692307692307,0.6705882352941176,0.6993865030674846,0.5589783281733746,0.1131540639334139,0.5625386996904025,17,21,28,57,ok,0.0368526999955065,4,Loan Approval,,,,
11,LogReg,classical,PCA,default,491,123,3.00002284348011e-07,{},0.6260162601626016,0.7407407407407407,0.7058823529411765,0.7228915662650602,0.576625386996904,0.1493264646384796,0.5352941176470588,17,21,25,60,ok,0.0355005000019446,4,Loan Approval,,,,
12,LogReg,classical,PCA,default,491,123,2.00001522898674e-07,{},0.6097560975609756,0.7432432432432432,0.6547619047619048,0.6962025316455697,0.5837912087912087,0.1592892612212627,0.5757020757020758,20,19,29,55,ok,0.0291592999710701,4,Loan Approval,,,,
13,LogReg,classical,PCA,default,491,123,3.00002284348011e-07,{},0.6504065040650406,0.7662337662337663,0.7023809523809523,0.7329192546583851,0.6204212454212454,0.2316225178189547,0.6926129426129426,21,18,25,59,ok,0.0266563999466598,4,Loan Approval,,,,
14,LogReg,classical,PCA,default,492,122,3.00002284348011e-07,{},0.5737704918032787,0.7758620689655172,0.5357142857142857,0.6338028169014085,0.5968045112781954,0.1795366221434843,0.5845864661654135,25,13,39,45,ok,0.0267337000113911,4,Loan Approval,,,,
0,SVC,classical,PCA,default,491,123,2.00001522898674e-07,{},0.5772357723577236,0.726027397260274,0.6235294117647059,0.6708860759493671,0.5486068111455108,0.0914496304199199,0.5557275541795665,18,20,32,53,ok,0.064639399992302,4,Loan Approval,,,,
1,SVC,classical,PCA,default,491,123,4.00003045797348e-07,{},0.5609756097560976,0.7066666666666667,0.6235294117647059,0.6625,0.5222910216718266,0.0422289205846672,0.4577399380804953,16,22,32,53,ok,0.0651648000348359,4,Loan Approval,,,,
2,SVC,classical,PCA,default,491,123,3.00002284348011e-07,{},0.5284552845528455,0.7096774193548387,0.5238095238095238,0.6027397260273972,0.5311355311355311,0.0579558738746786,0.5946275946275946,21,18,40,44,ok,0.0512692000484094,4,Loan Approval,,,,
3,SVC,classical,PCA,default,491,123,4.00003045797348e-07,{},0.5447154471544715,0.7,0.5833333333333334,0.6363636363636364,0.5224358974358975,0.0421656144517068,0.5506715506715507,18,21,35,49,ok,0.0459005999728105,4,Loan Approval,,,,
4,SVC,classical,PCA,default,492,122,4.00003045797348e-07,{},0.5491803278688525,0.7457627118644068,0.5238095238095238,0.6153846153846154,0.5645363408521303,0.1196105518622944,0.5889724310776944,23,15,40,44,ok,0.0619435999542474,4,Loan Approval,,,,
5,SVC,classical,PCA,default,491,123,5.00003807246685e-07,{},0.5772357723577236,0.7538461538461538,0.5764705882352941,0.6533333333333333,0.5777089783281734,0.1438572589040477,0.6165634674922601,22,16,36,49,ok,0.063669099996332,4,Loan Approval,,,,
6,SVC,classical,PCA,default,491,123,3.00002284348011e-07,{},0.5609756097560976,0.7183098591549296,0.6,0.6538461538461539,0.5368421052631579,0.0689199334973432,0.5569659442724458,18,20,34,51,ok,0.0656437000143341,4,Loan Approval,,,,
7,SVC,classical,PCA,default,491,123,2.00001522898674e-07,{},0.4715447154471545,0.6266666666666667,0.5595238095238095,0.5911949685534591,0.4207875457875458,-0.1511277306274099,0.4587912087912087,11,28,37,47,ok,0.0501152999931946,4,Loan Approval,,,,
8,SVC,classical,PCA,default,491,123,3.00002284348011e-07,{},0.4715447154471545,0.6610169491525424,0.4642857142857143,0.5454545454545454,0.4757326007326007,-0.0452073640524904,0.5131257631257632,19,20,45,39,ok,0.0487525000353343,4,Loan Approval,,,,
9,SVC,classical,PCA,default,492,122,3.00002284348011e-07,{},0.5737704918032787,0.7758620689655172,0.5357142857142857,0.6338028169014085,0.5968045112781954,0.1795366221434843,0.6043233082706767,25,13,39,45,ok,0.0594086999772116,4,Loan Approval,,,,
10,SVC,classical,PCA,default,491,123,3.00002284348011e-07,{},0.5772357723577236,0.6896551724137931,0.7058823529411765,0.6976744186046512,0.4976780185758514,-0.0047160578220303,0.5342105263157895,11,27,25,60,ok,0.0483216999564319,4,Loan Approval,,,,
11,SVC,classical,PCA,default,491,123,2.999440766870976e-07,{},0.6016260162601627,0.7727272727272727,0.6,0.6754966887417219,0.6026315789473684,0.1901966536540368,0.4931888544891641,23,15,34,51,ok,0.0595407000510022,4,Loan Approval,,,,
12,SVC,classical,PCA,default,491,123,2.00001522898674e-07,{},0.5447154471544715,0.6891891891891891,0.6071428571428571,0.6455696202531646,0.5086996336996337,0.0165382293071256,0.5699023199023199,16,23,33,51,ok,0.0417402999592013,4,Loan Approval,,,,
13,SVC,classical,PCA,default,491,123,3.00002284348011e-07,{},0.5040650406504065,0.6885245901639344,0.5,0.5793103448275863,0.5064102564102564,0.0119320916800808,0.5357142857142857,20,19,42,42,ok,0.0450128999655135,4,Loan Approval,,,,
14,SVC,classical,PCA,default,492,122,4.00003045797348e-07,{},0.5327868852459017,0.7288135593220338,0.5119047619047619,0.6013986013986014,0.5454260651629073,0.0841918933011296,0.6022869674185464,22,16,41,43,ok,0.0554287999984808,4,Loan Approval,,,,
0,DecisionTree,classical,PCA,default,491,123,2.00001522898674e-07,{},0.4715447154471545,0.6470588235294118,0.5176470588235295,0.5751633986928104,0.4430340557275541,-0.105879225647284,0.4430340557275541,14,24,41,44,ok,0.0280259000137448,4,Loan Approval,,,,
1,DecisionTree,classical,PCA,default,491,123,1.00000761449337e-07,{},0.5528455284552846,0.7777777777777778,0.4941176470588235,0.60431654676259,0.5891640866873065,0.1660350575283503,0.5891640866873065,26,12,43,42,ok,0.0276933999848552,4,Loan Approval,,,,
