fold,model,family,reduction,optimizer,n_train,n_test,inner_f1,n_evaluations,convergence,stopped_early,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,dataset
0,VQC,quantum,LDA,gwo,1200,10962,0.225871552691094,64,"[0.2252256246988468, 0.2252256246988468, 0.2252256246988468, 0.22587155269109407, 0.22587155269109407, 0.22587155269109407, 0.22587155269109407, 0.22587155269109407]",True,454.7687718999805,"{'n_layers': 4, 'learning_rate': 0.0694467001097624, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'full', 'init_scale': 0.37942373859169115}",0.6268016785258165,0.1406783519235147,0.6616702355460385,0.2320255303172517,0.64261214210489,0.1624938269803935,0.6970784800417503,6253,3775,316,618,ok,3.155647500010673,1,HR Promotion
1,VQC,quantum,LDA,gwo,1200,10962,0.2552144884883511,72,"[0.23452187658141901, 0.23452187658141901, 0.24003921357005376, 0.24869346932321315, 0.2552144884883511, 0.2552144884883511, 0.2552144884883511, 0.2552144884883511, 0.2552144884883511]",True,532.9112123000086,"{'n_layers': 3, 'learning_rate': 0.13726827076760573, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'linear', 'init_scale': 0.4211993688929848}",0.6558109833971902,0.1531883703884681,0.671306209850107,0.24945295404814,0.6628369900467128,0.1879732420745103,0.7175732360525433,6562,3466,307,627,ok,1.921891500009224,1,HR Promotion
2,VQC,quantum,LDA,gwo,1200,10962,0.2515979634400687,72,"[0.24240694741444388, 0.25051911311788394, 0.25051911311788394, 0.25051911311788394, 0.25159796344006874, 0.25159796344006874, 0.25159796344006874, 0.25159796344006874, 0.25159796344006874]",True,496.0794813000248,"{'n_layers': 3, 'learning_rate': 0.047080341544770844, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'linear', 'init_scale': 0.423440604735663}",0.6315453384418902,0.1400417342916763,0.6466809421841542,0.2302267962645321,0.6384082812237085,0.1581993797432608,0.6965890581318774,6319,3709,330,604,ok,2.266288999991957,1,HR Promotion
3,VQC,quantum,LDA,gwo,1200,10961,0.2590958000567034,79,"[0.23875131250179435, 0.24506318427035045, 0.2517980290287794, 0.2517980290287794, 0.25856800115623646, 0.25856800115623646, 0.25909580005670346, 0.25909580005670346, 0.25909580005670346, 0.25909580005670346, 0.25909580005670346]",True,515.9589061000152,"{'n_layers': 3, 'learning_rate': 0.49999999999999994, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'circular', 'init_scale': 0.48334265927338305}",0.6461089316668187,0.1447178002894356,0.6430868167202572,0.2362669816893089,0.6447384622093508,0.1665767388003609,0.703781555267972,6482,3546,333,600,ok,2.0002340999781154,1,HR Promotion
4,VQC,quantum,LDA,gwo,1200,10961,0.2467432385465172,72,"[0.2148190045248869, 0.21482091036434656, 0.24267709691438508, 0.24267709691438508, 0.24674323854651722, 0.24674323854651722, 0.24674323854651722, 0.24674323854651722, 0.24674323854651722]",True,566.219275600044,"{'n_layers': 5, 'learning_rate': 0.4107903016973553, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'linear', 'init_scale': 0.15395962620309675}",0.7838700848462732,0.1870095902353966,0.4598070739549839,0.2658816237991943,0.6369139079388003,0.1878427518125936,0.6844600926623033,8163,1865,504,429,ok,2.633296999963932,1,HR Promotion
5,VQC,quantum,LDA,gwo,1200,10962,0.2826654929224499,96,"[0.24048814975210916, 0.2634485912311439, 0.2707938792478695, 0.273413913887822, 0.2752998507489525, 0.2768341392782012, 0.2768936388363717, 0.2768936388363717, 0.28266549292244997, 0.28266549292244997, 0.28266549292244997, 0.28266549292244997]",False,492.86489189998247,"{'n_layers': 2, 'learning_rate': 0.49999999999999994, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'full', 'init_scale': 0.3481244716296052}",0.70069330414158,0.1551572142227446,0.5653104925053534,0.2434862808392898,0.6393066223994657,0.1681199343477829,0.6840371584830142,7153,2875,406,528,ok,2.0163607000140478,1,HR Promotion
6,VQC,quantum,LDA,gwo,1200,10962,0.2557820006869852,80,"[0.2305671189228081, 0.23555037926009517, 0.23589306654410244, 0.23589306654410244, 0.23775324643212783, 0.25578200068698526, 0.25578200068698526, 0.25578200068698526, 0.25578200068698526, 0.25578200068698526]",True,586.7757486999617,"{'n_layers': 6, 'learning_rate': 0.19541653540472081, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'linear', 'init_scale': 0.27313143159881326}",0.7307060755336617,0.1796825396825397,0.6059957173447538,0.277179236043095,0.6741586085726561,0.2148914560228374,0.7302627589217001,7444,2584,368,566,ok,2.8440704000531696,1,HR Promotion
7,VQC,quantum,LDA,gwo,1200,10962,0.2374688317217053,88,"[0.228657326595492, 0.228657326595492, 0.2286912421892043, 0.229780144334659, 0.23089867773821574, 0.23089867773821574, 0.2374688317217053, 0.2374688317217053, 0.2374688317217053, 0.2374688317217053, 0.2374688317217053]",True,451.2377168999519,"{'n_layers': 1, 'learning_rate': 0.49999999999999994, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'circular', 'init_scale': 0.13889405677092811}",0.7401021711366539,0.1643883631265334,0.5021413276231264,0.2476894639556377,0.6322034918929353,0.1682360204345657,0.690118631429428,7644,2384,465,469,ok,1.7244191000354476,1,HR Promotion
8,VQC,quantum,LDA,gwo,1200,10961,0.2333712505001746,56,"[0.22511990039491656, 0.22583196944899073, 0.2333712505001746, 0.2333712505001746, 0.2333712505001746, 0.2333712505001746, 0.2333712505001746]",True,384.6509434999898,"{'n_layers': 3, 'learning_rate': 0.03690574618400298, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'full', 'init_scale': 0.09663138571237005}",0.672201441474318,0.1594982078853046,0.6677384780278671,0.257491217193635,0.6701775756712929,0.1983196211457985,0.7341699404582496,6745,3283,310,623,ok,3.012129500042647,1,HR Promotion
9,VQC,quantum,LDA,gwo,1200,10961,0.235838779956427,85,"[0.20957551853410458, 0.22396533691916928, 0.2268707410713021, 0.2268707410713021, 0.22706254781269908, 0.22706254781269908, 0.235838779956427, 0.235838779956427, 0.235838779956427, 0.235838779956427, 0.235838779956427]",True,391.4992517000064,"{'n_layers': 1, 'learning_rate': 0.49999999999999994, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'linear', 'init_scale': 0.47676762657766847}",0.7105191132195967,0.1636636636636636,0.5841371918542336,0.2556884822894675,0.6532074072553976,0.1859280436673616,0.7157943289336482,7243,2785,388,545,ok,1.7640288999537006,1,HR Promotion
10,VQC,quantum,LDA,gwo,1200,10962,0.2281489700844539,96,"[0.22230445344082828, 0.22230445344082828, 0.22230445344082828, 0.22230445344082828, 0.2255703463708315, 0.2255703463708315, 0.2255703463708315, 0.2255703463708315, 0.22636196637274253, 0.22636196637274253, 0.22814897008445398, 0.22814897008445398]",False,497.9101105000009,"{'n_layers': 1, 'learning_rate': 0.016703199863517957, 'map_reps': 1, 'feature_map': 'angle', 'entanglement': 'circular', 'init_scale': 0.24926401440199028}",0.6247947454844006,0.1428892383733992,0.6809421841541756,0.2362116991643454,0.65025370077274,0.1708374692108407,0.7228167981899076,6213,3815,298,636,ok,1.4264499999699185,1,HR Promotion
