_cfg,DecisionTree | LDA | default,DecisionTree | LDA | gwo,DecisionTree | PCA | default,DecisionTree | PCA | gwo,LogReg | LDA | default,LogReg | LDA | gwo,LogReg | PCA | default,LogReg | PCA | gwo,MLP | LDA | default,MLP | LDA | gwo,MLP | PCA | default,MLP | PCA | gwo,QDT | LDA | default,QDT | LDA | gwo,QDT | PCA | default,QDT | PCA | gwo,QNN | LDA | default,QNN | LDA | gwo,QNN | PCA | default,QNN | PCA | gwo,QSVC | LDA | default,QSVC | LDA | gwo,QSVC | PCA | default,QSVC | PCA | gwo,RandomForest | LDA | default,RandomForest | LDA | gwo,RandomForest | PCA | default,RandomForest | PCA | gwo,SVC | LDA | default,SVC | LDA | gwo,SVC | PCA | default,SVC | PCA | gwo,VQC | LDA | default,VQC | LDA | gwo,VQC | PCA | default,VQC | PCA | gwo,XGBoost | LDA | default,XGBoost | LDA | gwo,XGBoost | PCA | default,XGBoost | PCA | gwo
DecisionTree | LDA | default,1.0,0.9999957291426692,0.00811787999624769,0.09310465696278025,0.9999903675657753,0.999996778136472,0.9999999670905271,0.9999460863397469,0.9989402784384572,0.9999998609955637,0.9950659666189392,0.7301890171618108,0.005075170216375047,0.09310465696278025,3.167001454196239e-05,7.476713338205876e-05,0.9999957291426692,0.9999998041672888,0.4278240440579225,0.33064545901115727,0.9999986627082825,0.9926233732528675,0.00017179861020755194,0.003852216885562809,1.0,0.9999999523102548,0.3657315969607535,0.8972144990690436,0.9979626590020889,0.742198550955508,0.9892434631864222,0.9916123558025707,0.9999903675657753,0.9996421332663765,7.476713338205876e-05,0.5066994618254639,1.0,0.9999926161190934,0.08425196941307944,0.6011017810285632
DecisionTree | LDA | gwo,0.9999957291426692,1.0,4.3631413759737114e-06,0.00017179861020755194,1.0,1.0,0.7655381349205149,0.44069817755541274,1.0,1.0,0.1779011035701772,0.014486580949416794,2.2625385593944003e-06,0.00017179861020755194,2.849992020159675e-09,8.513141303012617e-09,1.0,1.0,0.003121947857689933,0.0017576681455382381,0.627852269076496,1.0,2.4820980160100703e-08,1.546015920173005e-06,0.9999957291426692,1.0,0.002185326055861969,0.039893267251920106,1.0,0.9999999313935625,0.13633566628777138,0.14927174899031603,0.5336078982189085,1.0,8.513141303012617e-09,0.004739462854150722,0.9999999954110016,1.0,0.00014578495353334553,0.007598728878249861
DecisionTree | PCA | default,0.00811787999624769,4.3631413759737114e-06,1.0,1.0,3.2978319759457975e-06,4.7874286438487346e-06,0.4150874722090573,0.742198550955508,3.951078417774312e-07,1.1940542185451264e-05,0.9491590257875822,0.9999572416415569,1.0,1.0,0.9999999980294433,0.9999999999836826,4.3631413759737114e-06,1.0910241404538112e-05,0.9999999523102548,0.9999999980294433,0.5606302321767987,1.0658525584350542e-07,0.9999999999999578,1.0,0.00811787999624769,1.5628529656419587e-05,0.9999999930852043,0.9987458432517257,2.651891741756174e-07,1.0426827179443876e-09,0.9709360384932515,0.9646775675046186,0.6542650734560737,7.132382646712898e-07,0.9999999999836826,0.9999996189662607,0.0020329409154027367,3.621281062127224e-06,1.0,0.999996778136472
DecisionTree | PCA | gwo,0.09310465696278025,0.00017179861020755194,1.0,1.0,0.00013423910863552546,0.000186419897853618,0.9042468176911185,0.9916123558025706,2.0407760454643764e-05,0.00041543322212633793,0.9998696319875133,0.9999999999904698,0.9999999999999947,1.0,0.9995671813860185,0.9999460863397469,0.00017179861020755194,0.0003839331412486269,1.0,1.0,0.961187607206532,6.3146233745259295e-06,0.9999957291426692,0.9999999999999185,0.09310465696278025,0.0005253966567324575,1.0,0.9999999774586225,1.4291115585263192e-05,9.62011985627953e-08,0.9999662442001213,0.9999460863397469,0.9808546457199595,3.4552174395630075e-05,0.9999460863397469,0.9999999999999999,0.03174773476367143,0.00014578495353334553,1.0,0.9999999999999786
LogReg | LDA | default,0.9999903675657753,1.0,3.2978319759457975e-06,0.00013423910863552546,1.0,1.0,0.7301890171618108,0.4024996671984268,1.0,1.0,0.15607994630502475,0.011981213083391618,1.7010732180633426e-06,0.00013423910863552546,2.0427871616490734e-09,6.1463725220534116e-09,1.0,1.0,0.0025228498956374468,0.0014097797513484833,0.5876410058274886,1.0,1.8051217742787173e-08,1.158869325501577e-06,0.9999903675657753,1.0,0.0017576681455382381,0.033633083725350676,1.0,0.9999999774586225,0.1185788904535483,0.13020087738579755,0.493325742312296,1.0,6.1463725220534116e-09,0.003852216885562809,0.9999999846775287,1.0,0.00011372425271671815,0.00621944028523469
LogReg | LDA | gwo,0.999996778136472,1.0,4.7874286438487346e-06,0.000186419897853618,1.0,1.0,0.7768429013129663,0.4536980692705911,1.0,1.0,0.1856485908926817,0.015422069234702462,2.4869582005981883e-06,0.000186419897853618,3.183029395614767e-09,9.484982133045605e-09,1.0,1.0,0.003349605418691781,0.001890593289062048,0.6411090855943604,1.0,2.7587482076540937e-08,1.7010732180633426e-06,0.999996778136472,1.0,0.0023483995713842187,0.04219526737603663,1.0,0.9999999020035647,0.14269143319397926,0.15607994630502475,0.547112561831895,1.0,9.484982133045605e-09,0.005075170216375047,0.9999999969799251,1.0,0.0001582801102661957,0.00811787999624769
LogReg | PCA | default,0.9999999670905271,0.7655381349205149,0.4150874722090573,0.9042468176911185,0.7301890171618108,0.7768429013129663,1.0,1.0,0.4406981775554112,0.8741590414742164,0.9999999999999892,0.9999903675657753,0.33064545901115816,0.9042468176911185,0.012768623119439382,0.023654894744146726,0.7655381349205149,0.8658218175198076,0.9987458432517257,0.9957098056501478,1.0,0.28681693539459774,0.04219526737603663,0.28681693539459796,0.9999999670905271,0.8972144990690436,0.9972300168337604,0.9999999523102548,0.39007121890973395,0.037701729283244334,0.999999999999462,0.9999999999998449,1.0,0.5201317926985685,0.023654894744146726,0.9995671813860185,0.9999838568883811,0.7421985509555089,0.889856105312814,0.9998947747530164
LogReg | PCA | gwo,0.9999460863397469,0.44069817755541274,0.742198550955508,0.9916123558025706,0.4024996671984268,0.4536980692705911,1.0,1.0,0.1779011035701772,0.5876410058274879,1.0,0.9999999980294433,0.6542650734560737,0.9916123558025706,0.05551740008860029,0.09310465696278025,0.44069817755541274,0.5741450712934948,0.9999943693426898,0.9999572416415569,1.0,0.0978081221096414,0.14927174899031526,0.6011017810285632,0.9999460863397469,0.6278522690764947,0.9999792570805729,0.999999999999709,0.1492717489903157,0.00811787999624769,1.0,1.0,1.0,0.22801075110018265,0.09310465696278025,0.99999901398864,0.997620637870385,0.41508747220905795,0.9892434631864222,0.9999999020035647
MLP | LDA | default,0.9989402784384572,1.0,3.951078417774312e-07,2.0407760454643764e-05,1.0,1.0,0.4406981775554112,0.1779011035701772,1.0,1.0,0.052596179625788664,0.0027094048355295053,1.9613840529508764e-07,2.0407760454643764e-05,1.6629153609670766e-10,5.27607180167422e-10,1.0,1.0,0.0004859789917213142,0.000257732300824709,0.3082896001681592,1.0,1.6341251685147995e-09,1.3074090987608145e-07,0.9989402784384572,1.0,0.0003276358663044654,0.00866953029034978,1.0,0.999999999999462,0.037701729283244334,0.04219526737603663,0.237212133821449,1.0,5.27607180167422e-10,0.0007725661226763991,0.9999838568883811,1.0,1.7086658134601862e-05,0.0013090530346742124
MLP | LDA | gwo,0.9999998609955637,1.0,1.1940542185451264e-05,0.00041543322212633793,1.0,1.0,0.8741590414742164,0.5876410058274879,1.0,1.0,0.2764234467760538,0.028255121197165556,6.3146233745259295e-06,0.00041543322212633793,9.484982133045605e-09,2.7587482076540937e-08,1.0,1.0,0.006651115945738084,0.003852216885562809,0.7655381349205144,0.9999999999999947,7.831204862362995e-08,4.3631413759737114e-06,0.9999998609955637,1.0,0.004739462854150722,0.07228589195436896,1.0,0.999997582933445,0.21905237547562428,0.237212133821449,0.6802096600570032,1.0,2.7587482076540937e-08,0.00987761354783423,0.9999999999723816,1.0,0.00035471988820190425,0.015422069234702462
MLP | PCA | default,0.9950659666189392,0.1779011035701772,0.9491590257875822,0.9998696319875133,0.15607994630502475,0.1856485908926817,0.9999999999999892,1.0,0.052596179625788664,0.2764234467760538,1.0,0.9999999999999988,0.9109547792932049,0.9998696319875133,0.1856485908926817,0.27642344677605446,0.1779011035701772,0.26626350733976334,0.9999999991831008,0.9999999774586225,1.0,0.02510799391210783,0.3900712189097345,0.8821708781632164,0.9950659666189392,0.3082896001681592,0.9999999930852043,1.0,0.04219526737603663,0.0014097797513484833,1.0,1.0,1.0,0.07228589195436896,0.27642344677605446,0.9999999999537743,0.953437533361643,0.16311909696966465,0.9998023768599238,0.9999999999990188
