_cfg,DecisionTree | LDA | default,DecisionTree | LDA | gwo,DecisionTree | PCA | default,DecisionTree | PCA | gwo,LogReg | LDA | default,LogReg | LDA | gwo,LogReg | PCA | default,LogReg | PCA | gwo,MLP | LDA | default,MLP | LDA | gwo,MLP | PCA | default,MLP | PCA | gwo,QDT | LDA | default,QDT | LDA | gwo,QDT | PCA | default,QDT | PCA | gwo,QNN | LDA | default,QNN | LDA | gwo,QNN | PCA | default,QNN | PCA | gwo,QSVC | LDA | default,QSVC | LDA | gwo,QSVC | PCA | default,QSVC | PCA | gwo,RandomForest | LDA | default,RandomForest | LDA | gwo,RandomForest | PCA | default,RandomForest | PCA | gwo,SVC | LDA | default,SVC | LDA | gwo,SVC | PCA | default,SVC | PCA | gwo,VQC | LDA | default,VQC | LDA | gwo,VQC | PCA | default,VQC | PCA | gwo,XGBoost | LDA | default,XGBoost | LDA | gwo,XGBoost | PCA | default,XGBoost | PCA | gwo
DecisionTree | LDA | default,1.0,0.9996062501732411,0.9234091295600458,0.9993150549322,0.9999995517935828,0.997431734621697,0.9999999313935625,0.9965408846737664,0.999987498668795,0.9939477071030552,0.5000043643559638,0.3657315969607535,0.025863994951078717,0.02295693362132578,0.9234091295600458,0.08009309677380727,0.9998551191068358,0.9999999999019166,0.686607604535203,0.999999999996864,0.4602413272923641,0.3421405831091747,0.7986646268244456,0.9786736216891574,1.0,0.9939477071030552,0.7986646268244456,0.9263252129114337,0.736220718091457,0.2815912077440589,0.9234091295600458,0.9999999997421158,0.9109547792932047,0.46681133808774966,0.5066994618254639,0.9995671813860185,1.0,0.9593481301346601,0.961187607206532,0.08009309677380727
DecisionTree | LDA | gwo,0.9996062501732411,1.0,0.015910069685465156,0.130200877385797,1.0,1.0,0.4866653840876871,0.08009309677380727,1.0,1.0,0.0011276495220132743,0.0005053219210999771,3.975446124515614e-06,3.2978319759457975e-06,0.015910069685465156,2.5443608800634898e-05,1.0,0.9999999999999974,0.003121947857689933,0.7712221898613587,0.0008995380773545447,0.9999972074421936,0.006013468273000866,0.03664604800938631,0.9999857851320557,1.0,0.006013468273000866,0.016412021045465353,0.9999999999836826,0.999987498668795,0.015910069685465156,0.6673039604036033,0.014038438720493485,0.9999998831863158,0.001170628610779767,0.14595330834558107,0.9999460863397469,1.0,0.025863994951078717,2.5443608800634898e-05
DecisionTree | PCA | default,0.9234091295600458,0.015910069685465156,1.0,1.0,0.07417540822457347,0.00785435145789759,0.9999999954110016,1.0,0.039893267251920106,0.005251188337715318,1.0,0.9999999999999947,0.9999243073122084,0.999882814101709,1.0,0.9999997259415971,0.021616080691897577,0.19772059699028377,1.0,0.9999926161190934,1.0,1.3064758065617355e-05,1.0,1.0,0.7986646268244456,0.005251188337715318,1.0,1.0,0.00017896621901913878,7.939413572466414e-06,1.0,0.9999993827622907,1.0,3.167001454196239e-05,1.0,1.0,0.8527110375202365,0.0015746858294324317,1.0,0.9999997259415971
DecisionTree | PCA | gwo,0.9993150549322,0.130200877385797,1.0,1.0,0.37781208827569457,0.07610603864074139,1.0,1.0,0.25146790723165036,0.05551740008860029,0.9999999846775287,0.9999993827622907,0.9709360384932517,0.9646775675046186,1.0,0.9977973974357214,0.16311909696966387,0.6542650734560737,0.9999999999723816,0.9999999999986816,0.9999999523102548,0.0003409211683601532,0.9999999999998874,1.0,0.9930893901829384,0.05551740008860029,0.9999999999998874,1.0,0.003349605418691781,0.00021931788801354823,1.0,0.9999999999999947,1.0,0.0007435913038598141,0.9999999874038676,1.0,0.9967853267651227,0.02097236579385331,1.0,0.9977973974357214
LogReg | LDA | default,0.9999995517935828,1.0,0.07417540822457347,0.37781208827569457,1.0,1.0,0.8243611749716249,0.2662635073397631,1.0,0.9999999999999999,0.007598728878249861,0.0037203519807512686,4.47986985511184e-05,3.768664249648168e-05,0.07417540822457347,0.0002475659816776332,1.0,1.0,0.01856629012615163,0.9663304901709585,0.00621944028523469,0.9988466579074913,0.03267841511677316,0.14595330834558107,0.9999999984134736,0.9999999999999999,0.03267841511677316,0.07610603864074139,0.99999901398864,0.9972300168337604,0.07417540822457347,0.929163474341557,0.06685789147179544,0.9998216223184626,0.00785435145789759,0.40877429738360305,0.9999999846775287,0.9999999999904698,0.11041294087650932,0.0002475659816776332
LogReg | LDA | gwo,0.997431734621697,1.0,0.00785435145789759,0.07610603864074139,1.0,1.0,0.3479646081381891,0.04461208166649189,1.0,1.0,0.0004859789917213142,0.00021060765377145518,1.404740511246061e-06,1.158869325501577e-06,0.00785435145789759,9.52444288271348e-06,1.0,0.999999999996864,0.0014097797513484833,0.6344922584158443,0.0003839331412486269,0.9999999179327062,0.002807460198090639,0.01914326817744072,0.9998216223184626,1.0,0.002807460198090639,0.00811787999624769,0.9999999999999786,0.9999994736127387,0.00785435145789759,0.5201317926985691,0.006877193899191614,0.9999999984134736,0.0005053219210999771,0.08639736330316938,0.9994785041090203,1.0,0.013179768542676995,9.52444288271348e-06
LogReg | PCA | default,0.9999999313935625,0.4866653840876871,0.9999999954110016,1.0,0.8243611749716249,0.3479646081381891,1.0,0.9999999999999997,0.6929663371675099,0.2815912077440581,0.9996750585141434,0.9979626590020889,0.6866076045352041,0.660800165062535,0.9999999954110016,0.8972144990690438,0.5538707549040766,0.9629636830592438,0.9999857851320557,1.0,0.9994283668972179,0.004739462854150722,0.99999901398864,0.9999999999944995,0.9999926161190934,0.2815912077440581,0.99999901398864,0.9999999962732679,0.03267841511677316,0.0032339033484306556,0.9999999954110016,1.0,0.9999999896655217,0.009255480575298347,0.9997052402314939,1.0,0.9999984460557076,0.13948569898671226,0.9999999998746243,0.8972144990690438
LogReg | PCA | gwo,0.9965408846737664,0.08009309677380727,1.0,1.0,0.2662635073397631,0.04461208166649189,0.9999999999999997,1.0,0.16672616280032626,0.03174773476367143,0.9999999997967114,0.9999999813974146,0.9904887365770983,0.987867159749277,1.0,0.9996062501732411,0.10270267202515693,0.5201317926985698,0.9999999999999185,0.9999999997421158,0.9999999991831008,0.0001519093637046831,0.9999999999999999,1.0,0.9775117462089434,0.03174773476367143,0.9999999999999999,1.0,0.0016335845976975794,9.623898454957924e-05,1.0,0.999999999996864,1.0,0.0003409211683601532,0.9999999998401494,1.0,0.9878671597492769,0.011238381881952475,1.0,0.9996062501732411
MLP | LDA | default,0.999987498668795,1.0,0.039893267251920106,0.25146790723165036,1.0,1.0,0.6929663371675099,0.16672616280032626,1.0,1.0,0.0034691686115595477,0.0016335845976975794,1.6341870383351775e-05,1.3664628692122704e-05,0.039893267251920106,9.623898454957924e-05,1.0,1.0,0.0089581022123848,0.910954779293205,0.002807460198090639,0.9998696319875133,0.016412021045465353,0.08425196941307944,0.9999998609955637,1.0,0.016412021045465353,0.04103018959720972,0.9999999813974146,0.9996062501732411,0.039893267251920106,0.843572320537625,0.035616391101839784,0.999987498668795,0.0035927105455609842,0.27642344677605446,0.9999991552389627,0.9999999999999925,0.06177785877693953,9.623898454957924e-05
MLP | LDA | gwo,0.9939477071030552,1.0,0.005251188337715318,0.05551740008860029,0.9999999999999999,1.0,0.2815912077440581,0.03174773476367143,1.0,1.0,0.00030253365664056897,0.00012880043850527212,7.863407842645387e-07,6.467710680357897e-07,0.005251188337715318,5.499833346189753e-06,1.0,0.9999999999234677,0.0008995380773545447,0.5538707549040766,0.00023778393494355843,0.999999991538006,0.0018229899932913352,0.013179768542676995,0.9994283668972179,1.0,0.0018229899932913352,0.005432861293049096,0.9999999999999998,0.9999999313935625,0.005251188337715318,0.4406981775554123,0.004579465515583081,0.9999999999019166,0.0003148458677624255,0.06343355702029341,0.9985207764571352,1.0,0.0089581022123848,5.499833346189753e-06
MLP | PCA | default,0.5000043643559638,0.0011276495220132743,1.0,0.9999999846775287,0.007598728878249861,0.0004859789917213142,0.9996750585141434,0.9999999997967114,0.0034691686115595477,0.00030253365664056897,1.0,1.0,0.9999999997967114,0.9999999994812259,1.0,0.9999999999999992,0.0016335845976975794,0.028255121197165778,1.0,0.9898818854010005,1.0,3.403937480772612e-07,1.0,0.9999999999999413,0.3137973916747422,0.00030253365664056897,1.0,1.0,6.3146233745259295e-06,1.9613840529508764e-07,1.0,0.9967853267651227,1.0,9.098557363085291e-07,1.0,0.9999999603472837,0.37781208827569457,7.476713338205876e-05,0.9999999999999992,0.9999999999999992
