config_A,config_B,n_pairs,f1_A,f1_B,mean_diff,median_diff,W,p_raw,cliffs_delta,effect_size,p_holm,significant,winner
SVC | LDA | gwo,DecisionTree | LDA | default,15,0.8748489418561606,0.7197214481350983,0.15512749372106227,0.1557917653838765,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,SVC | LDA | gwo
SVC | LDA | gwo,DecisionTree | PCA | default,15,0.8748489418561606,0.6322509890415196,0.24259795281464103,0.25,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,SVC | LDA | gwo
SVC | LDA | gwo,DecisionTree | PCA | gwo,15,0.8748489418561606,0.646567026660079,0.22828191519608154,0.18523897990204363,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,SVC | LDA | gwo
SVC | LDA | gwo,LogReg | LDA | default,15,0.8748489418561606,0.7952095745824878,0.07963936727367282,0.07767369242779076,1.0,0.0001220703125,0.8933333333333333,large,0.00238037109375,True,SVC | LDA | gwo
SVC | LDA | gwo,LogReg | PCA | default,15,0.8748489418561606,0.6681647617262597,0.20668418012990086,0.2053209178583305,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,SVC | LDA | gwo
SVC | LDA | gwo,LogReg | LDA | gwo,15,0.8748489418561606,0.8225539407737474,0.05229500108241314,0.049434489769983436,0.0,6.103515625e-05,0.9111111111111111,large,0.00238037109375,True,SVC | LDA | gwo
SVC | LDA | gwo,LogReg | PCA | gwo,15,0.8748489418561606,0.6482137474254491,0.22663519443071145,0.2355442176870748,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,SVC | LDA | gwo
SVC | LDA | gwo,MLP | LDA | default,15,0.8748489418561606,0.8033881754589367,0.07146076639722387,0.061149639903974484,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,SVC | LDA | gwo
SVC | LDA | gwo,QDT | PCA | default,15,0.8748489418561606,0.5864138039473238,0.2884351379088368,0.2096219931271478,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,SVC | LDA | gwo
SVC | LDA | gwo,MLP | PCA | default,15,0.8748489418561606,0.6113684667251159,0.26348047513104467,0.2595068330362449,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,SVC | LDA | gwo
SVC | LDA | gwo,MLP | PCA | gwo,15,0.8748489418561606,0.5979474409733678,0.27690150088279275,0.26902509255450435,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,SVC | LDA | gwo
SVC | LDA | gwo,QDT | LDA | default,15,0.8748489418561606,0.4983900833491043,0.3764588585070563,0.33728156759523287,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,SVC | LDA | gwo
SVC | LDA | gwo,QDT | PCA | gwo,15,0.8748489418561606,0.5428453855180888,0.33200355633807177,0.3213822193380922,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,SVC | LDA | gwo
SVC | LDA | gwo,QDT | LDA | gwo,15,0.8748489418561606,0.4942727980167494,0.3805761438394112,0.33653846153846156,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,SVC | LDA | gwo
SVC | LDA | gwo,QNN | PCA | default,15,0.8748489418561606,0.6172198220862354,0.2576291197699252,0.2404371584699454,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,SVC | LDA | gwo
SVC | LDA | gwo,QNN | LDA | default,15,0.8748489418561606,0.8167129070933214,0.05813603476283913,0.04358353510895874,0.0,6.103515625e-05,0.92,large,0.00238037109375,True,SVC | LDA | gwo
SVC | LDA | gwo,VQC | LDA | default,15,0.8748489418561606,0.6275056227218462,0.2473433191343144,0.24787133396404915,0.0,6.103515625e-05,1.0,large,0.00238037109375,True,SVC | LDA | gwo
