config,mean_rank
SVC | LDA | gwo,2.8
QSVC | LDA | gwo,5.666666666666667
SVC | LDA | default,6.266666666666667
MLP | LDA | default,6.533333333333333
VQC | LDA | gwo,6.933333333333334
LogReg | LDA | default,8.0
XGBoost | LDA | gwo,8.066666666666666
QNN | LDA | default,8.2
DecisionTree | LDA | gwo,8.2
LogReg | LDA | gwo,8.266666666666667
QNN | LDA | gwo,8.866666666666667
MLP | LDA | gwo,8.933333333333334
RandomForest | LDA | gwo,9.133333333333333
XGBoost | LDA | default,13.133333333333333
DecisionTree | LDA | default,14.466666666666667
RandomForest | LDA | default,14.466666666666667
LogReg | PCA | default,19.733333333333334
QSVC | LDA | default,20.466666666666665
VQC | LDA | default,20.933333333333334
LogReg | PCA | gwo,21.4
MLP | PCA | default,23.066666666666666
SVC | PCA | gwo,23.333333333333332
SVC | PCA | default,23.466666666666665
RandomForest | PCA | gwo,25.066666666666666
MLP | PCA | gwo,26.2
XGBoost | PCA | gwo,26.866666666666667
VQC | PCA | gwo,27.333333333333332
QNN | PCA | default,27.733333333333334
RandomForest | PCA | default,28.066666666666666
QNN | PCA | gwo,28.266666666666666
DecisionTree | PCA | gwo,30.266666666666666
QDT | LDA | gwo,30.266666666666666
XGBoost | PCA | default,30.4
DecisionTree | PCA | default,33.06666666666667
QDT | LDA | default,33.53333333333333
QSVC | PCA | gwo,33.8
QSVC | PCA | default,36.53333333333333
QDT | PCA | gwo,37.2
VQC | PCA | default,37.2
QDT | PCA | default,37.86666666666667
