config,mean_rank
SVC | LDA | gwo,2.8666666666666667
QSVC | LDA | gwo,3.2333333333333334
VQC | LDA | gwo,3.9
SVC | LDA | default,5.266666666666667
XGBoost | LDA | gwo,7.133333333333334
MLP | LDA | gwo,8.266666666666667
RandomForest | LDA | gwo,8.266666666666667
LogReg | LDA | gwo,8.666666666666666
DecisionTree | LDA | gwo,9.4
QNN | LDA | default,9.733333333333333
MLP | LDA | default,10.433333333333334
LogReg | LDA | default,11.2
QNN | LDA | gwo,12.6
RandomForest | LDA | default,15.966666666666667
XGBoost | LDA | default,16.333333333333332
DecisionTree | LDA | default,16.966666666666665
QNN | PCA | gwo,20.9
SVC | PCA | gwo,21.466666666666665
LogReg | PCA | default,22.366666666666667
VQC | PCA | gwo,24.566666666666666
DecisionTree | PCA | gwo,24.733333333333334
LogReg | PCA | gwo,25.4
QSVC | PCA | gwo,26.366666666666667
XGBoost | PCA | default,26.766666666666666
RandomForest | PCA | gwo,27.266666666666666
DecisionTree | PCA | default,27.3
SVC | PCA | default,27.3
QDT | PCA | default,27.3
VQC | LDA | default,27.433333333333334
QSVC | PCA | default,28.3
RandomForest | PCA | default,28.3
QNN | PCA | default,28.933333333333334
VQC | PCA | default,29.833333333333332
MLP | PCA | default,29.866666666666667
QSVC | LDA | default,30.066666666666666
MLP | PCA | gwo,30.566666666666666
QDT | PCA | gwo,32.96666666666667
XGBoost | PCA | gwo,32.96666666666667
QDT | LDA | default,34.333333333333336
QDT | LDA | gwo,34.46666666666667
