model,reduction,optimizer,n_folds,accuracy_mean,accuracy_std,accuracy_ci95,precision_mean,precision_std,precision_ci95,recall_mean,recall_std,recall_ci95,f1_mean,f1_std,f1_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,mcc_mean,mcc_std,mcc_ci95,roc_auc_mean,roc_auc_std,roc_auc_ci95,f1_ci95_bca
SVC,LDA,gwo,15,0.8004253535322415,0.0649989099635695,"[0.768, 0.833]",0.21394605935712635,0.05522363452207122,"[0.186, 0.242]",0.43021834809464676,0.10285257342713089,"[0.378, 0.482]",0.2738191528540655,0.026262087884019403,"[0.261, 0.287]",0.6325536628121153,0.015414943411322138,"[0.625, 0.640]",0.1994715784156646,0.031073539946725418,"[0.184, 0.215]",0.4548282653578865,0.17314041267414884,"[0.367, 0.542]","[0.263, 0.289]"
QSVC,LDA,gwo,15,0.7096403467218697,0.06778919680394423,"[0.675, 0.744]",0.169174325587825,0.029759064296634788,"[0.154, 0.184]",0.5786973475537686,0.08227618382891272,"[0.537, 0.620]",0.25768651357668537,0.025005635480942125,"[0.245, 0.270]",0.6502647753591205,0.015342601869339594,"[0.643, 0.658]",0.18744606116239845,0.02701205489983378,"[0.174, 0.201]",0.6960072932757508,0.05050538496888909,"[0.670, 0.722]","[0.247, 0.271]"
VQC,LDA,gwo,15,0.6672746190192055,0.13334016091088932,"[0.600, 0.735]",0.16537489094045804,0.04707038681870999,"[0.142, 0.189]",0.6149671839055397,0.14709563703138637,"[0.541, 0.689]",0.24908684708724466,0.030285304670353702,"[0.234, 0.264]",0.6435559227598435,0.021710528186867525,"[0.633, 0.655]",0.18058801604476402,0.03183650861702358,"[0.164, 0.197]",0.7124777150887937,0.016949153977100014,"[0.704, 0.721]","[0.235, 0.264]"
MLP,LDA,default,15,0.6743546123675463,0.02953771793988932,"[0.659, 0.689]",0.15434235227160703,0.01205884685333048,"[0.148, 0.160]",0.6251055554408005,0.023576226047819636,"[0.613, 0.637]",0.24729414689807067,0.01581038154760235,"[0.239, 0.255]",0.6520222631611662,0.016408879912922742,"[0.644, 0.660]",0.17898678671350757,0.02179187379390914,"[0.168, 0.190]",0.7127362888888801,0.020262787956352002,"[0.702, 0.723]","[0.239, 0.255]"
SVC,LDA,default,15,0.6607430352313727,0.036456087179084946,"[0.642, 0.679]",0.15296923214969532,0.010462271582153985,"[0.148, 0.158]",0.6512472717007375,0.04260688140552786,"[0.630, 0.673]",0.24724365460793896,0.012182693646237835,"[0.241, 0.253]",0.6564373574299459,0.011903986078352238,"[0.650, 0.662]",0.18231371540836203,0.015505042843179795,"[0.174, 0.190]",0.6926197198614155,0.016382024817635725,"[0.684, 0.701]","[0.241, 0.253]"
QNN,LDA,default,15,0.658528967178547,0.04561160368733994,"[0.635, 0.682]",0.1503441493372817,0.016908049042787598,"[0.142, 0.159]",0.6348901756745488,0.03677363505575125,"[0.616, 0.654]",0.24235614493826194,0.020350113626913333,"[0.232, 0.253]",0.6478100658987024,0.017943968868814893,"[0.639, 0.657]",0.17304253059746103,0.02578369703841283,"[0.160, 0.186]",0.7029620336862892,0.023285308558881904,"[0.691, 0.715]","[0.234, 0.255]"
XGBoost,LDA,gwo,15,0.662032190637161,0.04856433301064954,"[0.637, 0.687]",0.15052114899714425,0.015296201906984327,"[0.143, 0.158]",0.6273891792189471,0.0423801934524954,"[0.606, 0.649]",0.24201271803163787,0.018199189791779116,"[0.233, 0.251]",0.6463232294180096,0.015726465367130984,"[0.638, 0.654]",0.17185489489778868,0.022652864914771278,"[0.160, 0.183]",0.7004954660832602,0.0197922144031927,"[0.690, 0.711]","[0.234, 0.252]"
LogReg,LDA,default,15,0.6467178477786621,0.02700578086306836,"[0.633, 0.660]",0.14764934450796774,0.009042898736903688,"[0.143, 0.152]",0.6558864323676321,0.024292033718179902,"[0.644, 0.668]",0.24082912624932537,0.011715143737896507,"[0.235, 0.247]",0.6508756719742694,0.012459733489861076,"[0.645, 0.657]",0.17402735680076908,0.01613694328084601,"[0.166, 0.182]",0.7093450681975904,0.014493006794085996,"[0.702, 0.717]","[0.235, 0.246]"
DecisionTree,LDA,gwo,15,0.6621372487239664,0.06134468311185778,"[0.631, 0.693]",0.15022348933348914,0.0157899210192719,"[0.142, 0.158]",0.6215865562264895,0.07818053041775312,"[0.582, 0.661]",0.24046204811878258,0.017294979546592332,"[0.232, 0.249]",0.6437476724756965,0.018411503644190794,"[0.634, 0.653]",0.16969448737592335,0.02292335682726096,"[0.158, 0.181]",0.6904855838506934,0.024482675074926432,"[0.678, 0.703]","[0.232, 0.248]"
LogReg,LDA,gwo,15,0.6576284725414294,0.026975467991953748,"[0.644, 0.671]",0.1484374446418223,0.007601673910930225,"[0.145, 0.152]",0.634683616739842,0.037041619435061963,"[0.616, 0.653]",0.24034492521948356,0.009884824855791636,"[0.235, 0.245]",0.6472248026525962,0.012265936894070427,"[0.641, 0.653]",0.1711229179859506,0.01457149585919646,"[0.164, 0.178]",0.7040106339526482,0.01554072145969738,"[0.696, 0.712]","[0.236, 0.245]"
QNN,LDA,gwo,15,0.6436530349321468,0.06333344910144457,"[0.612, 0.676]",0.14667888065528165,0.014088907429572852,"[0.140, 0.154]",0.6461046427563224,0.07145418772680168,"[0.610, 0.682]",0.23784735911844207,0.015718750183014663,"[0.230, 0.246]",0.644764859604461,0.014463749465691523,"[0.637, 0.652]",0.16866016089779734,0.018793422157450494,"[0.159, 0.178]",0.7024728041180028,0.01699181902278176,"[0.694, 0.711]","[0.230, 0.246]"
MLP,LDA,gwo,15,0.6394739554257051,0.04403070901407691,"[0.617, 0.662]",0.14551901253216157,0.012138015008849173,"[0.139, 0.152]",0.655322067456028,0.047803973089361344,"[0.631, 0.680]",0.2375517399214359,0.01464917874846733,"[0.230, 0.245]",0.6466611666890564,0.014936409840543126,"[0.639, 0.654]",0.16928572152575147,0.019422873592538133,"[0.159, 0.179]",0.7072182116926339,0.019913421712246245,"[0.697, 0.717]","[0.231, 0.245]"
RandomForest,LDA,gwo,15,0.6490470503907905,0.0502258647521522,"[0.624, 0.674]",0.14626319711658567,0.01497065761409968,"[0.139, 0.154]",0.6336101223058404,0.049228626988816415,"[0.609, 0.659]",0.23686836203501624,0.018166933609018568,"[0.228, 0.246]",0.6420477150553269,0.01761229752824348,"[0.633, 0.651]",0.165524767291046,0.02381041404137771,"[0.153, 0.178]",0.6955411768272614,0.02067056760081919,"[0.685, 0.706]","[0.229, 0.247]"
XGBoost,LDA,default,15,0.6405391042064221,0.02765454938367554,"[0.627, 0.655]",0.13641964633597994,0.00941246666727269,"[0.132, 0.141]",0.6012598564950927,0.03741375843400107,"[0.582, 0.620]",0.2221755911545324,0.013415509487689506,"[0.215, 0.229]",0.6227280534968483,0.01828010233557647,"[0.613, 0.632]",0.14179134993529866,0.02167879151287414,"[0.131, 0.153]",0.6759750794114037,0.027359770621083437,"[0.662, 0.690]","[0.215, 0.228]"
DecisionTree,LDA,default,15,0.6163701231441924,0.022368136261326093,"[0.605, 0.628]",0.13099244657511344,0.006469589315658295,"[0.128, 0.134]",0.6203917275441749,0.03057789882401366,"[0.605, 0.636]",0.2161948304103574,0.009224643698211247,"[0.212, 0.221]",0.618193470473324,0.013161836040863241,"[0.612, 0.625]",0.13469323319378454,0.015431840369077394,"[0.127, 0.143]",0.6183390300727555,0.012908228147563828,"[0.612, 0.625]","[0.211, 0.220]"
RandomForest,LDA,default,15,0.6132985734148477,0.03357528901042505,"[0.596, 0.630]",0.13058461955162345,0.00960179257051617,"[0.126, 0.135]",0.6213207072271911,0.029951066579879986,"[0.606, 0.636]",0.21557094175161584,0.012950123059185942,"[0.209, 0.222]",0.6169361148155634,0.016642652927617768,"[0.609, 0.625]",0.13341132249504603,0.02028402337807147,"[0.123, 0.144]",0.6762028815062328,0.018069250233807847,"[0.667, 0.685]","[0.209, 0.222]"
QSVC,LDA,default,15,0.6527577201267726,0.043209045062626475,"[0.631, 0.675]",0.12314677720020552,0.01373291193526102,"[0.116, 0.130]",0.49735612213906316,0.058855726750646396,"[0.468, 0.527]",0.19690451863732683,0.01982223852394496,"[0.187, 0.207]",0.5822906125919355,0.02710875012267096,"[0.569, 0.596]",0.09730885819966313,0.03240063970650846,"[0.081, 0.114]",0.5898418948908304,0.038284411211114845,"[0.570, 0.609]","[0.186, 0.206]"
LogReg,PCA,default,15,0.5976136448520776,0.026662136795818202,"[0.584, 0.611]",0.11721157803435532,0.0062530155722880275,"[0.114, 0.120]",0.568185333856616,0.026755132390050135,"[0.555, 0.582]",0.19419631413483798,0.008622274693519772,"[0.190, 0.199]",0.5842688403095072,0.01264332458469304,"[0.578, 0.591]",0.0957676926464001,0.014884041121143806,"[0.088, 0.103]",0.6174487062195055,0.014503230807705044,"[0.610, 0.625]","[0.190, 0.198]"
VQC,LDA,default,15,0.6111099598154538,0.05102091427038132,"[0.585, 0.637]",0.11678778304565518,0.011241574898430444,"[0.111, 0.122]",0.537277690946522,0.05552736436375214,"[0.509, 0.565]",0.19135767509654514,0.01540997649775807,"[0.184, 0.199]",0.5776303359665464,0.021408244386008194,"[0.567, 0.588]",0.08948530345762823,0.025569771781910448,"[0.077, 0.102]",0.5904784274040255,0.03634831429507367,"[0.572, 0.609]","[0.184, 0.199]"
LogReg,PCA,gwo,15,0.5820194894325013,0.02188432016553523,"[0.571, 0.593]",0.11358705789865857,0.006976643035716065,"[0.110, 0.117]",0.5731203328199963,0.034625865898224646,"[0.556, 0.591]",0.18950806651232038,0.010748606275172304,"[0.184, 0.195]",0.5779841791742582,0.01722254448680836,"[0.569, 0.587]",0.08807889521930624,0.019662342434622525,"[0.078, 0.098]",0.6112923750711741,0.02393854971382452,"[0.599, 0.623]","[0.182, 0.194]"
SVC,PCA,gwo,15,0.5836193415295708,0.04424241126007495,"[0.561, 0.606]",0.1121820981911858,0.009798953459070926,"[0.107, 0.117]",0.5608479779792875,0.07461203042226051,"[0.523, 0.599]",0.18660144268865836,0.01586017501089325,"[0.179, 0.195]",0.5732939530901623,0.025265962251408064,"[0.561, 0.586]",0.08315524244743082,0.028656736136346724,"[0.069, 0.098]",0.540891483436824,0.0989781576623373,"[0.491, 0.591]","[0.177, 0.193]"
MLP,PCA,default,15,0.5482944309421046,0.06669144313828196,"[0.515, 0.582]",0.10950165929507735,0.00565240118218927,"[0.107, 0.112]",0.6013474527840701,0.09977220118112953,"[0.551, 0.652]",0.18446952626646518,0.009806749982435442,"[0.180, 0.189]",0.5723530243577312,0.017386692332866462,"[0.564, 0.581]",0.08179127884365232,0.018778007382883374,"[0.072, 0.091]",0.606882398567092,0.022189507112828685,"[0.596, 0.618]","[0.179, 0.189]"
