model,reduction,optimizer,n_folds,accuracy_mean,accuracy_std,accuracy_ci95,precision_mean,precision_std,precision_ci95,recall_mean,recall_std,recall_ci95,f1_mean,f1_std,f1_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,mcc_mean,mcc_std,mcc_ci95,roc_auc_mean,roc_auc_std,roc_auc_ci95,f1_ci95_bca
SVC,LDA,gwo,15,0.8084010840108402,0.025999071987456934,"[0.795, 0.822]",0.7944891533435309,0.022540844700540134,"[0.783, 0.806]",0.9739402427637721,0.022466317327065274,"[0.963, 0.985]",0.8748489418561606,0.016656700585662907,"[0.866, 0.883]",0.7094172648816612,0.03582097531282613,"[0.691, 0.728]",0.5353756907490866,0.06942644729440377,"[0.500, 0.571]",0.5596878130469461,0.20615778801490037,"[0.455, 0.664]","[0.868, 0.884]"
QSVC,LDA,gwo,15,0.8018392642942822,0.024987069126926106,"[0.789, 0.814]",0.7920012407617602,0.023501602727508265,"[0.780, 0.804]",0.9668160597572363,0.026504255785257565,"[0.953, 0.980]",0.8703016288863803,0.015462460293341572,"[0.862, 0.878]",0.7029761810257166,0.0386346832759317,"[0.683, 0.723]",0.5159770813990542,0.06960119572694638,"[0.481, 0.551]",0.7133477516062654,0.1324594584156009,"[0.646, 0.780]","[0.863, 0.878]"
VQC,LDA,gwo,15,0.7947931938335775,0.019209614358337034,"[0.785, 0.805]",0.7940340986353296,0.01829498236239463,"[0.785, 0.803]",0.948655462184874,0.035747648188625206,"[0.931, 0.967]",0.8639051137841943,0.013568731174453797,"[0.857, 0.871]",0.7025103671698097,0.029432550753428124,"[0.688, 0.717]",0.49561721790869967,0.056352720360762984,"[0.467, 0.524]",0.7345817913310173,0.06353904081105465,"[0.702, 0.767]","[0.857, 0.870]"
SVC,LDA,default,15,0.7812430583322226,0.03129740812691562,"[0.765, 0.797]",0.7949151534416588,0.024507880398931033,"[0.783, 0.807]",0.9203081232492998,0.040672919300263004,"[0.900, 0.941]",0.8524193586450333,0.021834837135840758,"[0.841, 0.863]",0.6979633283812849,0.04031238061523657,"[0.678, 0.718]",0.4599814339271047,0.08351717554083402,"[0.418, 0.502]",0.7331164260576025,0.03516184142177636,"[0.715, 0.751]","[0.842, 0.863]"
XGBoost,LDA,gwo,15,0.7610333644320051,0.058834252754515315,"[0.731, 0.791]",0.7987375973652997,0.02806841062658587,"[0.785, 0.813]",0.8718394024276377,0.0878341023516645,"[0.827, 0.916]",0.831849814724442,0.05035251630606257,"[0.806, 0.857]",0.6944892018885827,0.05134052039762222,"[0.669, 0.720]",0.42860777797819966,0.12193187860213524,"[0.367, 0.490]",0.7465353523325662,0.04388638381536896,"[0.724, 0.769]","[0.800, 0.852]"
MLP,LDA,gwo,15,0.7561952996579147,0.05647282080837278,"[0.728, 0.785]",0.801442304408298,0.03474366140550851,"[0.784, 0.819]",0.8578898225957049,0.060410635145033795,"[0.827, 0.888]",0.8281178073356285,0.042073884617078984,"[0.807, 0.849]",0.6952292117926794,0.06036931448602261,"[0.665, 0.726]",0.4149263642376109,0.13231927420619835,"[0.348, 0.482]",0.754243917990048,0.05430738792696471,"[0.727, 0.782]","[0.808, 0.848]"
RandomForest,LDA,gwo,15,0.7502909947132257,0.039783056746158896,"[0.730, 0.770]",0.7980058827935748,0.030621039380400065,"[0.783, 0.814]",0.8553594771241831,0.06967386373515777,"[0.820, 0.891]",0.823839650675039,0.032415436203900264,"[0.807, 0.840]",0.6871939086025772,0.04393422426300731,"[0.665, 0.709]",0.40323086363083627,0.0957592924021642,"[0.355, 0.452]",0.7366919844861021,0.04900708220650819,"[0.712, 0.761]","[0.808, 0.840]"
LogReg,LDA,gwo,15,0.7475320982718023,0.027732104427271368,"[0.733, 0.762]",0.7945861646638973,0.026213694858400506,"[0.781, 0.808]",0.8570588235294118,0.06733405241236769,"[0.823, 0.891]",0.8225539407737474,0.025520562469718445,"[0.810, 0.835]",0.6821731364610621,0.031994254648044874,"[0.666, 0.698]",0.393488760414052,0.06412339587968492,"[0.361, 0.426]",0.7523996895204325,0.04193235846582611,"[0.731, 0.774]","[0.810, 0.835]"
QNN,LDA,default,15,0.7459460660180373,0.036598166773494166,"[0.727, 0.764]",0.8064510504668106,0.01781446102691271,"[0.797, 0.815]",0.8301960784313724,0.06711032227368066,"[0.796, 0.864]",0.8167129070933214,0.03339940574648094,"[0.800, 0.834]",0.6955298880685878,0.026188110980923492,"[0.682, 0.709]",0.4049399317691259,0.06576603961120253,"[0.372, 0.438]",0.7612775213549207,0.03658142002448226,"[0.743, 0.780]","[0.798, 0.832]"
DecisionTree,LDA,gwo,15,0.7447865298325115,0.07841712182798823,"[0.705, 0.784]",0.8036649778356431,0.044146492824825245,"[0.781, 0.826]",0.8432959850606909,0.17035561808344002,"[0.757, 0.930]",0.8105647280178085,0.0893577331844261,"[0.765, 0.856]",0.6849858242892298,0.047825638084025186,"[0.661, 0.709]",0.4251985490261505,0.11628978241271275,"[0.366, 0.484]",0.7438657982311233,0.049157877009930795,"[0.719, 0.769]","[0.751, 0.844]"
