model,reduction,delta_f1_mean,delta_f1_std,n_folds,dataset
DecisionTree,LDA,0.02426721770842518,0.019420523181080215,15,HR Promotion
DecisionTree,PCA,0.007397274093019531,0.016913615318088795,15,HR Promotion
LogReg,LDA,-0.00048420102984180017,0.01275562895921905,15,HR Promotion
LogReg,PCA,-0.0046882476225176255,0.014581862481062304,15,HR Promotion
MLP,LDA,-0.009742406976634766,0.025124727043325294,15,HR Promotion
MLP,PCA,-0.007951732043528255,0.01325804692284365,15,HR Promotion
QDT,LDA,0.012199492135316077,0.025054952083585998,15,HR Promotion
QDT,PCA,0.0016057256870722616,0.018253206006586243,15,HR Promotion
QNN,LDA,-0.004508785819819864,0.026515490626032784,15,HR Promotion
QNN,PCA,-0.0004784855893394039,0.022550824450316587,15,HR Promotion
QSVC,LDA,0.06078199493935857,0.02860970398949925,15,HR Promotion
QSVC,PCA,0.007432271240570719,0.01808891198289774,15,HR Promotion
RandomForest,LDA,0.02129742028340042,0.02215750810547441,15,HR Promotion
RandomForest,PCA,0.00769027714916789,0.01599066207830309,15,HR Promotion
SVC,LDA,0.026575498246126504,0.027527419337677803,15,HR Promotion
SVC,PCA,0.003254112500423195,0.020128322788904654,15,HR Promotion
VQC,LDA,0.05772917199069955,0.03682945141107193,15,HR Promotion
VQC,PCA,0.02627503550506442,0.01707586471380819,15,HR Promotion
XGBoost,LDA,0.01983712687710545,0.027282440204808946,15,HR Promotion
XGBoost,PCA,0.010061395982356476,0.01586558852325401,15,HR Promotion
DecisionTree,LDA,0.09084327988271029,0.09807780961346943,15,Loan Approval
DecisionTree,PCA,0.01431603761855957,0.10202191669937846,15,Loan Approval
LogReg,LDA,0.02734436619125956,0.042978240122847795,15,Loan Approval
LogReg,PCA,-0.019951014300810713,0.0588004443908208,15,Loan Approval
MLP,LDA,0.024729631876691874,0.04011429724323618,15,Loan Approval
MLP,PCA,-0.013421025751748002,0.0845237474527643,15,Loan Approval
QDT,LDA,-0.00411728533235477,0.27955850660392245,15,Loan Approval
QDT,PCA,-0.043568418429234826,0.24175434368785748,15,Loan Approval
QNN,LDA,-0.06864809726622548,0.23869034551085588,15,Loan Approval
QNN,PCA,0.08358426798556237,0.09209163620307813,15,Loan Approval
QSVC,LDA,0.261142674178979,0.06735189313314664,15,Loan Approval
QSVC,PCA,-0.004964326160025375,0.09293324619720753,15,Loan Approval
RandomForest,LDA,0.09077194988680425,0.03699474164459343,15,Loan Approval
RandomForest,PCA,0.00824011255260452,0.06578546112866672,15,Loan Approval
SVC,LDA,0.022429583211127164,0.027773880463710588,15,Loan Approval
SVC,PCA,0.046072517630771484,0.07663029440164507,15,Loan Approval
VQC,LDA,0.23639949106234823,0.054538033088134354,15,Loan Approval
VQC,PCA,0.022851842456898166,0.22807163752970858,15,Loan Approval
XGBoost,LDA,0.10235654404746125,0.04906726093028839,15,Loan Approval
XGBoost,PCA,-0.05230605128200239,0.05611184663562036,15,Loan Approval
