dataset,model,balance,n_folds,f1_mean,f1_std,f1_ci95,recall_mean,recall_std,recall_ci95,precision_mean,precision_std,precision_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,mcc_mean,mcc_std,mcc_ci95
Loan Approval,QSVC,none,15,0.8472683561738493,0.019795380598234262,"[0.837, 0.857]",0.9746591970121382,0.03625540318024055,"[0.956, 0.993]",0.7503506056863575,0.026309587002416118,"[0.737, 0.764]",0.6284677001704864,0.05262730980246001,"[0.602, 0.655]",0.3809705386571228,0.1333791304723289,"[0.313, 0.448]"
Loan Approval,VQC,none,15,0.8258985741011217,0.033194824238400936,"[0.809, 0.843]",0.9178057889822596,0.07503858845651576,"[0.880, 0.956]",0.7531780651036193,0.020441186627377705,"[0.743, 0.764]",0.6271215179729113,0.03832227997909963,"[0.608, 0.647]",0.3396814448926437,0.10366580330189482,"[0.287, 0.392]"
Loan Approval,RandomForest,none,15,0.7777648192251138,0.029029140330523485,"[0.763, 0.792]",0.7820448179271707,0.04430112320923428,"[0.760, 0.804]",0.7751833748078492,0.033856970570637065,"[0.758, 0.792]",0.6404151215141928,0.046761081045382034,"[0.617, 0.664]",0.2832933234395304,0.0891790771432876,"[0.238, 0.328]"
Loan Approval,RandomForest,smote,15,0.734959713851951,0.03999043947162872,"[0.715, 0.755]",0.6809150326797384,0.0602521981982771,"[0.650, 0.711]",0.8014660234685691,0.026682155582061353,"[0.788, 0.815]",0.6545375883146781,0.03689855538160753,"[0.636, 0.673]",0.2925026513406291,0.07020456153724423,"[0.257, 0.328]"
Loan Approval,RandomForest,undersample,15,0.7019406687407386,0.04487089171462096,"[0.679, 0.725]",0.6350420168067227,0.06502167129303393,"[0.602, 0.668]",0.789044045788954,0.03770807650881386,"[0.770, 0.808]",0.6302065684573425,0.04200743308531888,"[0.609, 0.651]",0.2444111264211603,0.07817586290603735,"[0.205, 0.284]"
Loan Approval,VQC,smote,15,0.6651406570281784,0.058811878755263225,"[0.635, 0.695]",0.6160130718954249,0.08834018909440829,"[0.571, 0.661]",0.7317919689981827,0.0572832744686981,"[0.703, 0.761]",0.5549925908285042,0.07391233310107678,"[0.518, 0.592]",0.10263235853816902,0.13938833575641865,"[0.032, 0.173]"
Loan Approval,QSVC,smote,15,0.6598250875090332,0.04366488925879084,"[0.638, 0.682]",0.6097665732959852,0.06466696908846768,"[0.577, 0.642]",0.7243142834046421,0.04711240922185876,"[0.700, 0.748]",0.5460438804401654,0.06542536812438976,"[0.513, 0.579]",0.08585468076209818,0.12550880003439008,"[0.022, 0.149]"
Loan Approval,VQC,undersample,15,0.637717208356657,0.0655880561420186,"[0.605, 0.671]",0.5567880485527543,0.08040205335994743,"[0.516, 0.597]",0.7530028873856834,0.059360688270407025,"[0.723, 0.783]",0.5773368942718787,0.06793070238448067,"[0.543, 0.612]",0.1444175359782674,0.12604651670924388,"[0.081, 0.208]"
Loan Approval,QSVC,undersample,15,0.6228429036183732,0.06405957385050155,"[0.590, 0.655]",0.5282259570494864,0.07880301368001298,"[0.488, 0.568]",0.7668697074172063,0.05031574630891102,"[0.741, 0.792]",0.5869874724518688,0.05741757778237716,"[0.558, 0.616]",0.1626212722779912,0.10679414358919932,"[0.109, 0.217]"
HR Promotion,VQC,none,15,0.3656246459658153,0.03836956913015625,"[0.346, 0.385]",0.26170665112119423,0.04059521339599693,"[0.241, 0.282]",0.6325199704445486,0.09670709678555245,"[0.584, 0.681]",0.6231814734132765,0.01815540074355135,"[0.614, 0.632]",0.37128984284033056,0.03932222690228281,"[0.351, 0.391]"
HR Promotion,RandomForest,none,15,0.3546973848959888,0.026829703736796585,"[0.341, 0.368]",0.352184590244451,0.030277100124431147,"[0.337, 0.368]",0.35800930116755086,0.028669083574608567,"[0.344, 0.373]",0.6466281281231563,0.015224467324468381,"[0.639, 0.654]",0.2953824294393013,0.029093431876148376,"[0.281, 0.310]"
HR Promotion,QSVC,none,15,0.2534477483063865,0.11762402781809458,"[0.194, 0.313]",0.15443677116253662,0.07398753502100257,"[0.117, 0.192]",0.7394171955634724,0.3201503357458903,"[0.577, 0.901]",0.5758688310007604,0.03660572593721214,"[0.557, 0.594]",0.3183645929661083,0.1418712839286076,"[0.247, 0.390]"
HR Promotion,RandomForest,smote,15,0.24224967905045364,0.014898603096104582,"[0.235, 0.250]",0.5694829064831199,0.031225236262972217,"[0.554, 0.585]",0.1541668643158253,0.012438983021748468,"[0.148, 0.160]",0.6382682448916065,0.013788073794100898,"[0.631, 0.645]",0.16666946268638266,0.019521589627979775,"[0.157, 0.177]"
HR Promotion,QSVC,smote,15,0.2294962956192577,0.021477218285780676,"[0.219, 0.240]",0.4955869831149546,0.05939901862314377,"[0.466, 0.526]",0.15103488673283946,0.020776634410840267,"[0.141, 0.162]",0.6141244315920472,0.020346038711152172,"[0.604, 0.624]",0.14364936109186457,0.029238920780251917,"[0.129, 0.158]"
HR Promotion,RandomForest,undersample,15,0.21995306245711563,0.009886289221760226,"[0.215, 0.225]",0.6181766507310275,0.029768739515395243,"[0.603, 0.633]",0.1338931612423865,0.007208092151847664,"[0.130, 0.138]",0.6223445412942465,0.012687397204924438,"[0.616, 0.629]",0.14009103481362056,0.015310324156391211,"[0.132, 0.148]"
HR Promotion,VQC,smote,15,0.21862722883238217,0.025136088084429763,"[0.206, 0.231]",0.5209296988141222,0.04950583181132165,"[0.496, 0.546]",0.1394536006092002,0.0218304194209826,"[0.128, 0.151]",0.6068217168449018,0.024677608461397268,"[0.594, 0.619]",0.1296019176111752,0.034930784513781135,"[0.112, 0.147]"
HR Promotion,VQC,undersample,15,0.19088397395210574,0.02370110210610627,"[0.179, 0.203]",0.5633463465462198,0.06585925387359917,"[0.530, 0.597]",0.11543529154465776,0.016851101950994797,"[0.107, 0.124]",0.5769430841892115,0.03595397117983663,"[0.559, 0.595]",0.08837576862649124,0.042292478666775116,"[0.067, 0.110]"
HR Promotion,QSVC,undersample,15,0.18880697447768877,0.017456807815876038,"[0.180, 0.198]",0.49678800856531047,0.03640768984010739,"[0.478, 0.515]",0.11681150608828043,0.012461163718375001,"[0.111, 0.123]",0.5716887789136883,0.024761505025546547,"[0.559, 0.584]",0.08384190294683896,0.029670870772846764,"[0.069, 0.099]"
