dataset,model,optimizer,n_folds,accuracy_mean,accuracy_std,accuracy_ci95,precision_mean,precision_std,precision_ci95,recall_mean,recall_std,recall_ci95,f1_mean,f1_std,f1_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,mcc_mean,mcc_std,mcc_ci95,roc_auc_mean,roc_auc_std,roc_auc_ci95
Loan Approval,QSVC,random,15,0.8078235372517658,0.025145902149650342,"[0.795, 0.821]",0.7949318360485061,0.024267550708913153,"[0.783, 0.807]",0.9723996265172735,0.017048700440524065,"[0.964, 0.981]",0.8744667195504001,0.014922197650880068,"[0.867, 0.882]",0.7092992284633151,0.03999290976955104,"[0.689, 0.730]",0.531597005121936,0.06904105984619602,"[0.497, 0.567]",0.647175681788685,0.1648864598368969,"[0.564, 0.731]"
Loan Approval,QSVC,pso,15,0.8067128704073928,0.02777641508866403,"[0.793, 0.821]",0.792690298038245,0.02480309137714869,"[0.780, 0.805]",0.9747245564892623,0.014743265682841154,"[0.967, 0.982]",0.8741036197321939,0.016646273057239674,"[0.866, 0.883]",0.70616569704805,0.04144524924599425,"[0.685, 0.727]",0.5285416845188015,0.07604283044470461,"[0.490, 0.567]",0.6867180583434453,0.1190601685695828,"[0.626, 0.747]"
Loan Approval,QSVC,gwo,15,0.7996712426140655,0.03767339350332348,"[0.781, 0.819]",0.7918096622220047,0.021024356998491766,"[0.781, 0.802]",0.961297852474323,0.04335131180207627,"[0.939, 0.983]",0.868035872785574,0.026952818977472946,"[0.854, 0.882]",0.7030735776091814,0.038152130891792216,"[0.684, 0.722]",0.5118529007127948,0.1000442038524026,"[0.461, 0.562]",0.6980191932823512,0.18379957795790258,"[0.605, 0.791]"
Loan Approval,VQC,pso,15,0.7844551068461504,0.05572981738849287,"[0.756, 0.813]",0.7925113211578173,0.0282636046986847,"[0.778, 0.807]",0.9303267973856209,0.0835868453607315,"[0.888, 0.973]",0.8542946866293336,0.0438407901657084,"[0.832, 0.876]",0.6967648381889866,0.052543038424560574,"[0.670, 0.723]",0.4822601701885287,0.13445800430595037,"[0.414, 0.550]",0.7231577750308401,0.06470172490785353,"[0.690, 0.756]"
Loan Approval,VQC,gwo,15,0.7811364343151628,0.04999607813762343,"[0.756, 0.806]",0.8029813794257222,0.02958502143128437,"[0.788, 0.818]",0.9044257703081233,0.06956189007656254,"[0.869, 0.940]",0.8493978088223192,0.03842003530606782,"[0.830, 0.869]",0.7073410902822668,0.05161159844430166,"[0.681, 0.733]",0.4696953175882708,0.1203981292287604,"[0.409, 0.531]",0.7523257553133713,0.06268774339028811,"[0.721, 0.784]"
Loan Approval,VQC,random,15,0.7671775734150784,0.0799365448495363,"[0.727, 0.808]",0.7978342572008236,0.029099987203600047,"[0.783, 0.813]",0.8885434173669466,0.1462738937001892,"[0.815, 0.963]",0.833095019100785,0.08621990786365646,"[0.789, 0.877]",0.6941367559169417,0.05199036609692578,"[0.668, 0.720]",0.4539209387242425,0.13634626824905932,"[0.385, 0.523]",0.7414523299198222,0.04694139307899989,"[0.718, 0.765]"
HR Promotion,QSVC,gwo,15,0.7274357300573552,0.06207634177422593,"[0.696, 0.759]",0.17205751938016442,0.02853667075104915,"[0.158, 0.186]",0.5447011895499541,0.07872049813970886,"[0.505, 0.585]",0.25762936109425294,0.022908269408303303,"[0.246, 0.269]",0.6445750330145728,0.013431909930861255,"[0.638, 0.651]",0.18429623621144176,0.024881473458253495,"[0.172, 0.197]",0.5685176163826678,0.20235223896971388,"[0.466, 0.671]"
HR Promotion,QSVC,pso,15,0.7252109863034488,0.06652958802904971,"[0.692, 0.759]",0.17025214634202407,0.02212460625434426,"[0.159, 0.181]",0.5473426193049981,0.09415296280886121,"[0.500, 0.595]",0.256171327391754,0.019785527828561997,"[0.246, 0.266]",0.6445561653897679,0.01729006231690001,"[0.636, 0.653]",0.18327594752634652,0.0222295605291194,"[0.172, 0.195]",0.590798008877851,0.1735970332572214,"[0.503, 0.679]"
HR Promotion,QSVC,random,15,0.7033594108180391,0.0567278200981229,"[0.675, 0.732]",0.16304053507600821,0.024435867372011397,"[0.151, 0.175]",0.576463527429879,0.06676853089692918,"[0.543, 0.610]",0.2515930677851874,0.02151986346239309,"[0.241, 0.262]",0.6458171911846909,0.013491976360858011,"[0.639, 0.653]",0.1794044522459993,0.023971575601639105,"[0.167, 0.192]",0.6628068358760452,0.10576001803329294,"[0.609, 0.716]"
HR Promotion,VQC,random,15,0.6756186384568937,0.08908230591836666,"[0.631, 0.721]",0.15926832203051428,0.03667721419942888,"[0.141, 0.178]",0.5964780171566322,0.12333754295536954,"[0.534, 0.659]",0.24311760985917294,0.022159844710038547,"[0.232, 0.254]",0.6397328258898437,0.01808831240535961,"[0.631, 0.649]",0.17190617245463216,0.025051132946131253,"[0.159, 0.185]",0.7032944537931826,0.025792564432086797,"[0.690, 0.716]"
