model,reduction,optimizer,Accuracy,Precision,Recall,F1,F1 95% CI (BCa)
SVC,LDA,gwo,0.800 ± 0.065,0.214 ± 0.055,0.430 ± 0.103,0.274 ± 0.026,"[0.263, 0.289]"
QSVC,LDA,gwo,0.710 ± 0.068,0.169 ± 0.030,0.579 ± 0.082,0.258 ± 0.025,"[0.247, 0.271]"
VQC,LDA,gwo,0.667 ± 0.133,0.165 ± 0.047,0.615 ± 0.147,0.249 ± 0.030,"[0.235, 0.264]"
MLP,LDA,default,0.674 ± 0.030,0.154 ± 0.012,0.625 ± 0.024,0.247 ± 0.016,"[0.239, 0.255]"
SVC,LDA,default,0.661 ± 0.036,0.153 ± 0.010,0.651 ± 0.043,0.247 ± 0.012,"[0.241, 0.253]"
QNN,LDA,default,0.659 ± 0.046,0.150 ± 0.017,0.635 ± 0.037,0.242 ± 0.020,"[0.234, 0.255]"
XGBoost,LDA,gwo,0.662 ± 0.049,0.151 ± 0.015,0.627 ± 0.042,0.242 ± 0.018,"[0.234, 0.252]"
LogReg,LDA,default,0.647 ± 0.027,0.148 ± 0.009,0.656 ± 0.024,0.241 ± 0.012,"[0.235, 0.246]"
DecisionTree,LDA,gwo,0.662 ± 0.061,0.150 ± 0.016,0.622 ± 0.078,0.240 ± 0.017,"[0.232, 0.248]"
LogReg,LDA,gwo,0.658 ± 0.027,0.148 ± 0.008,0.635 ± 0.037,0.240 ± 0.010,"[0.236, 0.245]"
QNN,LDA,gwo,0.644 ± 0.063,0.147 ± 0.014,0.646 ± 0.071,0.238 ± 0.016,"[0.230, 0.246]"
MLP,LDA,gwo,0.639 ± 0.044,0.146 ± 0.012,0.655 ± 0.048,0.238 ± 0.015,"[0.231, 0.245]"
RandomForest,LDA,gwo,0.649 ± 0.050,0.146 ± 0.015,0.634 ± 0.049,0.237 ± 0.018,"[0.229, 0.247]"
XGBoost,LDA,default,0.641 ± 0.028,0.136 ± 0.009,0.601 ± 0.037,0.222 ± 0.013,"[0.215, 0.228]"
DecisionTree,LDA,default,0.616 ± 0.022,0.131 ± 0.006,0.620 ± 0.031,0.216 ± 0.009,"[0.211, 0.220]"
RandomForest,LDA,default,0.613 ± 0.034,0.131 ± 0.010,0.621 ± 0.030,0.216 ± 0.013,"[0.209, 0.222]"
QSVC,LDA,default,0.653 ± 0.043,0.123 ± 0.014,0.497 ± 0.059,0.197 ± 0.020,"[0.186, 0.206]"
LogReg,PCA,default,0.598 ± 0.027,0.117 ± 0.006,0.568 ± 0.027,0.194 ± 0.009,"[0.190, 0.198]"
VQC,LDA,default,0.611 ± 0.051,0.117 ± 0.011,0.537 ± 0.056,0.191 ± 0.015,"[0.184, 0.199]"
LogReg,PCA,gwo,0.582 ± 0.022,0.114 ± 0.007,0.573 ± 0.035,0.190 ± 0.011,"[0.182, 0.194]"
SVC,PCA,gwo,0.584 ± 0.044,0.112 ± 0.010,0.561 ± 0.075,0.187 ± 0.016,"[0.177, 0.193]"
MLP,PCA,default,0.548 ± 0.067,0.110 ± 0.006,0.601 ± 0.100,0.184 ± 0.010,"[0.179, 0.189]"
SVC,PCA,default,0.540 ± 0.060,0.108 ± 0.007,0.605 ± 0.077,0.183 ± 0.010,"[0.179, 0.188]"
RandomForest,PCA,gwo,0.547 ± 0.052,0.107 ± 0.009,0.582 ± 0.063,0.180 ± 0.013,"[0.173, 0.185]"
MLP,PCA,gwo,0.562 ± 0.071,0.106 ± 0.008,0.551 ± 0.096,0.177 ± 0.013,"[0.168, 0.182]"
XGBoost,PCA,gwo,0.557 ± 0.050,0.105 ± 0.011,0.553 ± 0.052,0.176 ± 0.015,"[0.170, 0.185]"
VQC,PCA,gwo,0.544 ± 0.067,0.103 ± 0.013,0.558 ± 0.071,0.174 ± 0.019,"[0.164, 0.183]"
RandomForest,PCA,default,0.530 ± 0.028,0.101 ± 0.007,0.572 ± 0.040,0.172 ± 0.012,"[0.167, 0.178]"
QNN,PCA,default,0.523 ± 0.051,0.101 ± 0.006,0.580 ± 0.058,0.172 ± 0.008,"[0.168, 0.176]"
QNN,PCA,gwo,0.529 ± 0.060,0.101 ± 0.012,0.569 ± 0.072,0.171 ± 0.017,"[0.162, 0.179]"
XGBoost,PCA,default,0.539 ± 0.031,0.098 ± 0.005,0.539 ± 0.038,0.166 ± 0.009,"[0.162, 0.171]"
QDT,LDA,gwo,0.568 ± 0.068,0.100 ± 0.015,0.500 ± 0.084,0.165 ± 0.024,"[0.155, 0.179]"
DecisionTree,PCA,gwo,0.536 ± 0.161,0.103 ± 0.015,0.546 ± 0.195,0.165 ± 0.016,"[0.154, 0.171]"
DecisionTree,PCA,default,0.523 ± 0.039,0.093 ± 0.005,0.522 ± 0.039,0.157 ± 0.008,"[0.154, 0.161]"
QSVC,PCA,gwo,0.539 ± 0.068,0.093 ± 0.009,0.503 ± 0.105,0.156 ± 0.016,"[0.148, 0.163]"
QDT,LDA,default,0.566 ± 0.133,0.094 ± 0.009,0.473 ± 0.174,0.153 ± 0.021,"[0.140, 0.162]"
QSVC,PCA,default,0.507 ± 0.033,0.087 ± 0.004,0.504 ± 0.041,0.148 ± 0.006,"[0.145, 0.151]"
VQC,PCA,default,0.502 ± 0.021,0.086 ± 0.003,0.506 ± 0.032,0.147 ± 0.005,"[0.144, 0.150]"
QDT,PCA,gwo,0.511 ± 0.100,0.086 ± 0.002,0.493 ± 0.122,0.144 ± 0.016,"[0.126, 0.148]"
QDT,PCA,default,0.502 ± 0.116,0.084 ± 0.003,0.489 ± 0.139,0.142 ± 0.008,"[0.138, 0.145]"
