model,reduction,optimizer,Accuracy,Precision,Recall,F1,F1 95% CI (BCa)
SVC,LDA,gwo,0.808 ± 0.026,0.794 ± 0.023,0.974 ± 0.022,0.875 ± 0.017,"[0.868, 0.884]"
QSVC,LDA,gwo,0.802 ± 0.025,0.792 ± 0.024,0.967 ± 0.027,0.870 ± 0.015,"[0.863, 0.878]"
VQC,LDA,gwo,0.795 ± 0.019,0.794 ± 0.018,0.949 ± 0.036,0.864 ± 0.014,"[0.857, 0.870]"
SVC,LDA,default,0.781 ± 0.031,0.795 ± 0.025,0.920 ± 0.041,0.852 ± 0.022,"[0.842, 0.863]"
XGBoost,LDA,gwo,0.761 ± 0.059,0.799 ± 0.028,0.872 ± 0.088,0.832 ± 0.050,"[0.800, 0.852]"
MLP,LDA,gwo,0.756 ± 0.056,0.801 ± 0.035,0.858 ± 0.060,0.828 ± 0.042,"[0.808, 0.848]"
RandomForest,LDA,gwo,0.750 ± 0.040,0.798 ± 0.031,0.855 ± 0.070,0.824 ± 0.032,"[0.808, 0.840]"
LogReg,LDA,gwo,0.748 ± 0.028,0.795 ± 0.026,0.857 ± 0.067,0.823 ± 0.026,"[0.810, 0.835]"
QNN,LDA,default,0.746 ± 0.037,0.806 ± 0.018,0.830 ± 0.067,0.817 ± 0.033,"[0.798, 0.832]"
DecisionTree,LDA,gwo,0.745 ± 0.078,0.804 ± 0.044,0.843 ± 0.170,0.811 ± 0.089,"[0.751, 0.844]"
MLP,LDA,default,0.732 ± 0.041,0.807 ± 0.024,0.802 ± 0.064,0.803 ± 0.037,"[0.785, 0.820]"
LogReg,LDA,default,0.724 ± 0.045,0.809 ± 0.030,0.785 ± 0.069,0.795 ± 0.039,"[0.775, 0.815]"
QNN,LDA,gwo,0.713 ± 0.143,0.757 ± 0.214,0.774 ± 0.287,0.748 ± 0.236,"[0.576, 0.828]"
RandomForest,LDA,default,0.666 ± 0.030,0.814 ± 0.034,0.669 ± 0.046,0.733 ± 0.029,"[0.719, 0.746]"
XGBoost,LDA,default,0.662 ± 0.037,0.811 ± 0.035,0.665 ± 0.051,0.729 ± 0.035,"[0.712, 0.745]"
DecisionTree,LDA,default,0.646 ± 0.049,0.791 ± 0.048,0.661 ± 0.040,0.720 ± 0.038,"[0.703, 0.741]"
QNN,PCA,gwo,0.586 ± 0.067,0.688 ± 0.028,0.727 ± 0.144,0.701 ± 0.071,"[0.667, 0.736]"
SVC,PCA,gwo,0.579 ± 0.054,0.713 ± 0.043,0.656 ± 0.113,0.677 ± 0.064,"[0.645, 0.704]"
LogReg,PCA,default,0.583 ± 0.033,0.735 ± 0.025,0.615 ± 0.061,0.668 ± 0.037,"[0.650, 0.686]"
LogReg,PCA,gwo,0.567 ± 0.040,0.732 ± 0.029,0.586 ± 0.077,0.648 ± 0.048,"[0.627, 0.673]"
DecisionTree,PCA,gwo,0.568 ± 0.067,0.726 ± 0.034,0.602 ± 0.156,0.647 ± 0.095,"[0.593, 0.688]"
XGBoost,PCA,default,0.558 ± 0.041,0.731 ± 0.040,0.567 ± 0.053,0.637 ± 0.039,"[0.618, 0.655]"
RandomForest,PCA,gwo,0.546 ± 0.040,0.710 ± 0.035,0.574 ± 0.057,0.634 ± 0.041,"[0.614, 0.652]"
DecisionTree,PCA,default,0.554 ± 0.044,0.730 ± 0.047,0.561 ± 0.059,0.632 ± 0.043,"[0.612, 0.654]"
SVC,PCA,default,0.545 ± 0.038,0.713 ± 0.040,0.569 ± 0.061,0.631 ± 0.041,"[0.610, 0.650]"
VQC,LDA,default,0.557 ± 0.046,0.741 ± 0.042,0.550 ± 0.083,0.628 ± 0.057,"[0.599, 0.654]"
VQC,PCA,gwo,0.565 ± 0.125,0.656 ± 0.188,0.633 ± 0.292,0.625 ± 0.218,"[0.486, 0.702]"
RandomForest,PCA,default,0.547 ± 0.051,0.724 ± 0.041,0.553 ± 0.065,0.625 ± 0.050,"[0.606, 0.655]"
QSVC,PCA,default,0.543 ± 0.030,0.718 ± 0.030,0.555 ± 0.046,0.625 ± 0.032,"[0.610, 0.640]"
QSVC,PCA,gwo,0.554 ± 0.070,0.739 ± 0.050,0.546 ± 0.115,0.620 ± 0.101,"[0.539, 0.656]"
QNN,PCA,default,0.539 ± 0.042,0.715 ± 0.032,0.548 ± 0.081,0.617 ± 0.056,"[0.590, 0.643]"
MLP,PCA,default,0.534 ± 0.051,0.716 ± 0.051,0.538 ± 0.074,0.611 ± 0.055,"[0.582, 0.636]"
QSVC,LDA,default,0.551 ± 0.068,0.757 ± 0.077,0.515 ± 0.082,0.609 ± 0.068,"[0.578, 0.645]"
VQC,PCA,default,0.523 ± 0.047,0.702 ± 0.042,0.533 ± 0.085,0.602 ± 0.060,"[0.569, 0.627]"
MLP,PCA,gwo,0.532 ± 0.051,0.725 ± 0.043,0.518 ± 0.105,0.598 ± 0.073,"[0.557, 0.631]"
QDT,PCA,default,0.527 ± 0.087,0.701 ± 0.054,0.543 ± 0.216,0.586 ± 0.163,"[0.490, 0.653]"
XGBoost,PCA,gwo,0.508 ± 0.035,0.697 ± 0.040,0.507 ± 0.055,0.585 ± 0.039,"[0.563, 0.603]"
QDT,PCA,gwo,0.496 ± 0.062,0.710 ± 0.048,0.464 ± 0.148,0.543 ± 0.131,"[0.457, 0.592]"
QDT,LDA,default,0.476 ± 0.082,0.698 ± 0.068,0.419 ± 0.192,0.498 ± 0.167,"[0.401, 0.570]"
QDT,LDA,gwo,0.485 ± 0.076,0.719 ± 0.080,0.406 ± 0.186,0.494 ± 0.173,"[0.391, 0.562]"
