Model,Hyper-parameter,Type,"Search range (LB, UB)"
LogReg,C,log,"[0.001, 100] (log)"
SVC,C,log,"[0.01, 100] (log)"
SVC,gamma,log,"[0.0001, 10] (log)"
DecisionTree,max_depth,int,"[2, 16]"
DecisionTree,min_samples_leaf,int,"[1, 20]"
RandomForest,max_depth,int,"[2, 20]"
RandomForest,min_samples_leaf,int,"[1, 20]"
RandomForest,max_features,cat,"{sqrt, log2, None}"
MLP,alpha,log,"[1e-06, 0.1] (log)"
MLP,learning_rate_init,log,"[0.0001, 0.1] (log)"
VQC,n_layers,int,"[1, 6]"
VQC,learning_rate,log,"[0.001, 0.5] (log)"
VQC,map_reps,int,"[1, 3]"
VQC,feature_map,cat,"{zz, angle}"
VQC,entanglement,cat,"{linear, circular, full}"
VQC,init_scale,float,"[0.01, 0.5]"
QNN,n_layers,int,"[1, 6]"
QNN,learning_rate,log,"[0.001, 0.5] (log)"
QNN,feature_map,cat,"{angle, zz}"
QNN,entanglement,cat,"{linear, circular}"
QNN,init_scale,float,"[0.01, 0.5]"
QSVC,C,log,"[0.01, 100] (log)"
QSVC,map_reps,int,"[1, 3]"
QSVC,scale,float,"[0.25, 2]"
QSVC,entanglement,cat,"{linear, circular, full}"
QDT,max_depth,int,"[2, 12]"
QDT,min_samples_split,int,"[2, 32]"
QDT,map_reps,int,"[1, 3]"
QDT,entanglement,cat,"{linear, circular, full}"
XGBoost,max_depth,int,"[2, 10]"
XGBoost,learning_rate,log,"[0.001, 0.5] (log)"
XGBoost,subsample,float,"[0.5, 1]"
